Abbreviation,Meaning,Translation,More
2019-nCoV,2019 Novel Coronavirus,,https://en.wikipedia.org/wiki/Severe_acute_respiratory_syndrome_coronavirus_2
2VD,two vessels disease,,
3DCRT,three-dimensional conformal radiotherapy,,
3VD,three vessels diseases,,
5-ALA,5-aminolevulinic acid,,https://en.wikipedia.org/wiki/Aminolevulinic_acid
5-ASA,mesalamine,,https://en.wikipedia.org/wiki/Mesalazine
5-FU,fluorouracil 5%,,https://en.wikipedia.org/wiki/Fluorouracil
5ARI,5-alpha reductase inhibitor,,https://en.wikipedia.org/wiki/5%CE%B1-Reductase_inhibitor
5HT,5-hydroxytryptamine,,https://en.wikipedia.org/wiki/Serotonin
6-MP,mercaptopurine,,https://en.wikipedia.org/wiki/Mercaptopurine
6MWD,six-minute walking distance,,
