Abbreviation,Meaning,Translation,Wikipedia,Verified
A&O,alert and oriented,,,
A&W,alive and well,,https://en.wikipedia.org/wiki/Alive_%26_Well_AIDS_Alternatives,
A-F,aortofemoral,,,
A-T,Ataxia-Telangiectasia,,https://en.wikipedia.org/wiki/Ataxia%E2%80%93telangiectasia,
A-aDO2,alveolar arterial O2 difference of each,,,
A2,aortic component of second heart sound,,https://en.wikipedia.org/wiki/A2,
AA,alopecia areata,,https://en.wikipedia.org/wiki/Alopecia_areata,
AA,amino acid,,https://en.wikipedia.org/wiki/Amino_acid,
AA&O,"awake, alert, and oriented",,,
AAA,Abdominal Aortic Aneurysm,,https://en.wikipedia.org/wiki/Abdominal_aortic_aneurysm,
AAG,autoimmune autonomic ganglionopathy,,https://en.wikipedia.org/wiki/Autoimmune_autonomic_ganglionopathy,
AAGSV,anterior accessory great saphenous vein,,,
AAK1,AP2-associated protein kinase 1,,https://en.wikipedia.org/wiki/AAK1,
AAO,American Academy of Ophthalmology,,https://en.wikipedia.org/wiki/American_Academy_of_Ophthalmology,
AAROM,active assisted range of motion,,,
AASLD,American Association for the Study of Liver Disease,,https://www.aasld.org,
AAST,American Association for the Surgery of Trauma,,https://en.wikipedia.org/wiki/AAST,
AAV,adeno-associated virus,,https://en.wikipedia.org/wiki/Adeno-associated_virus,
AB,abortion,,https://en.wikipedia.org/wiki/Abortion,
AB,alpha blocker,,https://en.wikipedia.org/wiki/Alpha_blocker,
AB,antibody,,https://simple.wikipedia.org/wiki/Antibody,
ABA,applied behavior analysis,,https://en.wikipedia.org/wiki/Applied_behavior_analysis,
ABAS-3,"Adaptive Behavior Assessment System, Third Edition",,,
ABD,albumin-binding domain,,https://en.wikipedia.org/wiki/ABD,
ABG,Autogenous Bone Graft,,https://en.wikipedia.org/wiki/ABG,
ABG,arterial blood gas,,https://en.wikipedia.org/wiki/Arterial_blood_gas_test,
ABI,Ankle Brachial Index,,https://en.wikipedia.org/wiki/Ankle%E2%80%93brachial_pressure_index,
ABIC,"age, serum bilirubin, international normalized ratio, and serum creatinine",,https://en.wikipedia.org/wiki/Associa%C3%A7%C3%A3o_dos_Bolseiros_de_Investiga%C3%A7%C3%A3o_Cient%C3%ADfica,
ABLA,acute blood loss anemia,,https://en.wikipedia.org/wiki/Acute_posthemorrhagic_anemia,
ABLLS-R,"Assessment of Basic Language and Learning Skills, Revised",,https://en.wikipedia.org/wiki/Assessment_of_basic_language_and_learning_skills,
ABP,arterial blood pressure,,https://en.wikipedia.org/wiki/Blood_pressure,
ABPA,allergic bronchopulmonary aspergillosis,,https://en.wikipedia.org/wiki/Allergic_bronchopulmonary_aspergillosis,
ABx,antibiotic(s),,,
AC,Adriamycin + Cytoxan,,https://en.wikipedia.org/wiki/AC,
AC,acromioclavicular,,https://en.wikipedia.org/wiki/Acromioclavicular_joint,
AC,adrenal cortex,,https://en.wikipedia.org/wiki/Adrenal_cortex,
AC,alcoholic cirrhosis,,https://en.wikipedia.org/wiki/Cirrhosis,
AC,anticoagulation,,https://en.wikipedia.org/wiki/Anticoagulant,
AC,assist control,,https://en.wikipedia.org/wiki/Continuous_mandatory_ventilation,
AC,axiocervical,,https://en.wikipedia.org/wiki/AC,
ACC,American College of Cardiology,,https://en.wikipedia.org/wiki/American_College_of_Cardiology,
ACD,Anterior Cervical Discectomy,,https://en.wikipedia.org/wiki/ACD,
ACDF,Anterior Cervical Decompression & Fusion,,https://en.wikipedia.org/wiki/ACDF,
ACE,Angiotensin Converting Enzyme,,https://en.wikipedia.org/wiki/Angiotensin-converting_enzyme,
ACE-I,Angiotensin Converting Enzyme Inhibitor,,https://en.wikipedia.org/wiki/ACE_inhibitor,
ACE2,angiotensin-converting enzyme 2,,https://en.wikipedia.org/wiki/Angiotensin-converting_enzyme_2,
ACI,Autologous Cartilage Implantation,,https://en.wikipedia.org/wiki/ACI,
