Abbreviation,Meaning,Translation,More
C DIFF,Clostridium difficile,,https://en.wikipedia.org/wiki/Clostridium_difficile
C&S,culture and sensitivity,,https://en.wikipedia.org/wiki/Antibiotic_sensitivity_testing
C/B,complicated by,,
C/O,complaint of,,https://en.wikipedia.org/wiki/CO
CA,calcium,,https://en.wikipedia.org/wiki/Calcium
CA,cancer,,https://en.wikipedia.org/wiki/Cancer
CA,catheter ablation,,https://en.wikipedia.org/wiki/Catheter_ablation
CA,chronological age,,https://en.wikipedia.org/wiki/CA
CA-125,cancer antigen 125,,https://en.wikipedia.org/wiki/CA-125
CAA,cerebral amyloid angiopathy,,https://en.wikipedia.org/wiki/Cerebral_amyloid_angiopathy
CAB,coronary artery bypass,,https://en.wikipedia.org/wiki/Coronary_artery_bypass_surgery
CABG,coronary artery bypass graft,,https://en.wikipedia.org/wiki/Coronary_artery_bypass_surgery
CAD,coronary artery disease,,https://en.wikipedia.org/wiki/Coronary_artery_disease
CAD-3,three-vessel coronary artery disease,,
CADASIL,cerebral autosomal dominant arteriopathy with subcortical infarcts and leucoencephalopathy,,https://en.wikipedia.org/wiki/CADASIL
CAG,coronary angiography,,https://en.wikipedia.org/wiki/Coronary_catheterization
CAH,chronic active hepatitis,,https://en.wikipedia.org/wiki/Hepatitis
CAH,congenital adrenal hyperplasia,,https://en.wikipedia.org/wiki/Congenital_adrenal_hyperplasia
CAP,College of American Pathologists,,https://en.wikipedia.org/wiki/College_of_American_Pathologists
CAP,Competitive Acquisition Program,,https://en.wikipedia.org/wiki/CAP
CAP,community acquired pneumonia,,https://en.wikipedia.org/wiki/Community-acquired_pneumonia
CAP,prostate cancer,,https://en.wikipedia.org/wiki/Prostate_cancer
CAR-T,chimeric antigen receptor T-cell,,https://en.wikipedia.org/wiki/Chimeric_antigen_receptor_T_cell
CARS,Childhood Autism Rating Scale,,https://en.wikipedia.org/wiki/Childhood_Autism_Rating_Scale
CASL-2,"Comprehensive Assessment of Spoken Language, Second Edition",,
CAT,computerized axial tomography,,https://en.wikipedia.org/wiki/CT_scan
CAV,cardiac allograft vasculopathy,,https://en.wikipedia.org/wiki/Cardiac_allograft_vasculopathy
