Abbreviation,Meaning,Translation,More
D,diopter,,https://en.wikipedia.org/wiki/Dioptre
D&C,dilatation & curettage,,https://en.wikipedia.org/wiki/D%26C
D/C,discharge,,https://en.wikipedia.org/wiki/Discharge
DAA,direct-acting antiviral,,https://en.wikipedia.org/wiki/DAA
DAC,dose-adjustment coefficient,,https://en.wikipedia.org/wiki/DAC
DAD,diffuse alveolar damage,,https://en.wikipedia.org/wiki/Diffuse_alveolar_damage
DAO,diamine oxidase,,https://en.wikipedia.org/wiki/Diamine_oxidase
DAPT,dual antiplatelet therapy,,https://en.wikipedia.org/wiki/Antiplatelet_drug#Dual_antiplatelet_therapy
DASH,"Disabilities of the Arm, Shoulder and Hand",,
DBP,diastolic blood pressure,,https://en.wikipedia.org/wiki/Blood_pressure
DBS,deep brain stimulation,,https://en.wikipedia.org/wiki/Deep_brain_stimulation
DBT,dialectical behavior therapy,,https://en.wikipedia.org/wiki/Dialectical_behavior_therapy
DCB,drug-coated balloon,,https://en.wikipedia.org/wiki/DCB
DCI,distal contractile integral,,https://en.wikipedia.org/wiki/DCI
DCIS,ductal carcinoma in situ,,https://en.wikipedia.org/wiki/Ductal_carcinoma_in_situ
DCM,dilated cardiomyopathy,,https://en.wikipedia.org/wiki/Dilated_cardiomyopathy
DDD,degenerative disc disease,,https://en.wikipedia.org/wiki/Degenerative_disc_disease
DDI,drug to drug interaction,,https://en.wikipedia.org/wiki/DDI
DDX,differential diagnosis,,https://en.wikipedia.org/wiki/Differential_diagnosis
DE,donor egg,,https://en.wikipedia.org/wiki/DE
DEB,diepoxybutane,,https://en.wikipedia.org/wiki/Diepoxybutane
DED,dry eye disease,,https://en.wikipedia.org/wiki/Dry_eye_syndrome
DES,drug-eluting stent,,https://en.wikipedia.org/wiki/Drug-eluting_stent
DEXA,dual-energy x-ray absorption,,https://en.wikipedia.org/wiki/Dual-energy_X-ray_absorptiometry
DFE,dilated fundus examination,,https://en.wikipedia.org/wiki/Dilated_fundus_examination
DFS,disease-free survival,,https://en.wikipedia.org/wiki/Survival_rate
DFV,Doppler flow velocimetry,,https://en.wikipedia.org/wiki/DFV
DGE,Delayed Gastric Emptying,,https://en.wikipedia.org/wiki/DGE
DGL,deglycyrrhizinated licorice,,https://en.wikipedia.org/wiki/Deglycyrrhizinated_licorice
DHA,docosahexaenoic acid,,https://en.wikipedia.org/wiki/Docosahexaenoic_acid
DHT,dihydrotestosteron,,https://en.wikipedia.org/wiki/Dihydrotestosterone
DI,diabetes insipidus,,https://en.wikipedia.org/wiki/Diabetes_insipidus
DIC,disseminated intravascular coagulation,,https://en.wikipedia.org/wiki/Disseminated_intravascular_coagulation
DILI,drug-induced liver injury,,https://en.wikipedia.org/wiki/Hepatotoxicity
DIPG,diffuse intrinsic pontine glioma,,https://en.wikipedia.org/wiki/Diffuse_intrinsic_pontine_glioma
DISE,drug-induced sleep endoscopy,,
DISIDA,cholescintigraphy,,https://en.wikipedia.org/wiki/Cholescintigraphy
DJD,degenerative joint disease,,https://en.wikipedia.org/wiki/Osteoarthritis
DKA,diabetic ketoacidosis,,https://en.wikipedia.org/wiki/Diabetic_ketoacidosis
DL,Direct Laryngoscopy,,https://en.wikipedia.org/wiki/Laryngoscopy
DL,distal latency,,https://en.wikipedia.org/wiki/DL
DL,dyslipidemia,,https://en.wikipedia.org/wiki/Dyslipidemia
DLCT,dual-layer CT,,
DLGNT,diffuse leptomeningeal glioneuronal tumor,,
DLT,decongestive lymphatic therapy,,https://en.wikipedia.org/wiki/DLT
DM,diabetes mellitus,,https://en.wikipedia.org/wiki/Diabetes
DMARD,disease-modifying antirheumatic drug,,https://en.wikipedia.org/wiki/Disease-modifying_antirheumatic_drug
DMD,Duchenne muscular dystrophy,,https://en.wikipedia.org/wiki/Duchenne_muscular_dystrophy
DMDD,disruptive mood dysregulated disorder,,https://en.wikipedia.org/wiki/Disruptive_mood_dysregulation_disorder
DMEM,Dulbecco’s modified Eagle’s medium,,https://en.wikipedia.org/wiki/Eagle%27s_minimal_essential_medium
DMR,differentially methylated region,,https://en.wikipedia.org/wiki/Differentially_methylated_region
DMSO,dimethyl sulfoxide,,https://en.wikipedia.org/wiki/Dimethyl_sulfoxide
DMT,disease-modifying therapy,,https://en.wikipedia.org/wiki/DMT
DNA,deoxyribonucleic acid,,https://en.wikipedia.org/wiki/DNA
DNI,do not intubate,,https://en.wikipedia.org/wiki/DNI
DNR,do not resuscitate,,https://en.wikipedia.org/wiki/Do_not_resuscitate
DNS,Deviated Nasal Septum,,https://en.wikipedia.org/wiki/Domain_Name_System
DOAC,directly acting oral anticoagulants,,https://en.wikipedia.org/wiki/Anticoagulant#Directly_acting_oral_anticoagulants
DOB,date of birth,,https://en.wikipedia.org/wiki/Birthday
DOC,deoxycorticosterone,,https://en.wikipedia.org/wiki/Deoxycorticosterone
DOE,dyspnea on exertion,,https://en.wikipedia.org/wiki/Shortness_of_breath
DOS,date of service,,https://en.wikipedia.org/wiki/DOS
DOT,directly observed therapy,,"https://en.wikipedia.org/wiki/Directly_observed_treatment,_short-course"
DP,Dorsalis pedis,,https://en.wikipedia.org/wiki/Dorsalis_pedis_artery
DP,double prong,,https://en.wikipedia.org/wiki/DP
DPD,dihydropyrimidine dehydrogenase,,https://en.wikipedia.org/wiki/Dihydropyrimidine_dehydrogenase_(NADP%2B)
DPP4,Dipeptidyl Peptidase-4,,https://en.wikipedia.org/wiki/Dipeptidyl_peptidase-4
DQ,developmental quotient,,https://en.wikipedia.org/wiki/Developmental_disability#developmental_quotient
DRE,digital rectal exam,,https://en.wikipedia.org/wiki/Rectal_examination
DRESS,drug rash with eosinophilia and systemic symptoms,,https://en.wikipedia.org/wiki/Drug_reaction_with_eosinophilia_and_systemic_symptoms
DRG,diagnosis-related group,,https://en.wikipedia.org/wiki/Diagnosis-related_group
DRG,dorsal root ganglion,,https://en.wikipedia.org/wiki/Dorsal_root_ganglion
DS,Down syndrome,,https://en.wikipedia.org/wiki/Down_syndrome
DS,duodenal switch,,https://en.wikipedia.org/wiki/Duodenal_switch
DSA,Digital Subtraction Angiography,,https://en.wikipedia.org/wiki/DSA
DSA,donor-specific antibodies,,https://en.wikipedia.org/wiki/Donor-specific_antibody
DSB,double-strand break,,https://en.wikipedia.org/wiki/DNA_repair#Double-strand_breaks
DSD,dynamic stabilization device,,https://en.wikipedia.org/wiki/DSD
DSM,Diagnostic and Statistical Manual of Mental Disorders,,https://en.wikipedia.org/wiki/Diagnostic_and_Statistical_Manual_of_Mental_Disorders
DT,delirium tremens,,https://en.wikipedia.org/wiki/Delirium_tremens
DTP,"diphtheria, tetanus, pertussis",,https://en.wikipedia.org/wiki/DTP
DTR,deep tendon reflexes,,https://en.wikipedia.org/wiki/Stretch_reflex
DUS,Duplex Ultrasonography,,
DVIU,Direct Visual Internal Urethrotomy,,https://en.wikipedia.org/wiki/Urethrotomy
DVR,Double Valve Replacement,,https://en.wikipedia.org/wiki/DVR
DVS,double-V scrotoplasty,,https://en.wikipedia.org/wiki/DVS
DVT,deep venous thrombosis,,https://en.wikipedia.org/wiki/Deep_vein_thrombosis
DZ,disease,,https://en.wikipedia.org/wiki/Disease
d/c,discontinue,,https://en.wikipedia.org/wiki/D/C
dTMS,Deep Transcranial Magnetic Stimulation,,
dsDNA,double-stranded DNA,,https://en.wikipedia.org/wiki/DNA
