Abbreviation,Meaning,Translation,More
E/M,evaluation and management,,
EA,electroacupuncture,,https://en.wikipedia.org/wiki/Electroacupuncture
EA,episodic ataxia,,https://en.wikipedia.org/wiki/Episodic_ataxia
EAC,External Auditory Canal,,https://en.wikipedia.org/wiki/Ear_canal
EAEC,Enteroaggregative Escherichia coli,,https://en.wikipedia.org/wiki/Enteroaggregative_Escherichia_coli
EASI,Eczema Area and Severity Index,,https://en.wikipedia.org/wiki/Eczema_Area_and_Severity_Index
EATT,epicardial adipose tissue thickness,,
EBL,estimated blood loss,,https://en.wikipedia.org/wiki/EBL
EBL,estimated surgical blood loss,,https://en.wikipedia.org/wiki/EBL
EBRT,external beam radiation therapy,,https://en.wikipedia.org/wiki/External_beam_radiotherapy
EBUS,endobronchial ultrasound,,https://en.wikipedia.org/wiki/Ultrasound
EBV,Epstein Barr virus,,https://en.wikipedia.org/wiki/Epstein%E2%80%93Barr_virus
EC,endometrial cancer,,https://en.wikipedia.org/wiki/Endometrial_cancer
ECA,extracellular agent,,https://en.wikipedia.org/wiki/ECA
ECF,extracellular fluid,,https://en.wikipedia.org/wiki/Extracellular_fluid
ECG,electrocardiogram,,https://en.wikipedia.org/wiki/Electrocardiography
ECMO,extracorporeal membrane oxygenation,,https://en.wikipedia.org/wiki/Extracorporeal_membrane_oxygenation
ECP,extracorporeal photopheresis,,https://en.wikipedia.org/wiki/Photopheresis
ECPR,ECMO-assisted cardiopulmonary resuscitation,,https://en.wikipedia.org/wiki/European_Consortium_for_Political_Research
ECS,elective cesarean section,,https://en.wikipedia.org/wiki/Caesarean_section
ECT,electroconvulsive therapy,,https://en.wikipedia.org/wiki/Electroconvulsive_therapy
ECV,external cephalic version,,https://en.wikipedia.org/wiki/External_cephalic_version
ED,emergency department,,https://en.wikipedia.org/wiki/Emergency_department
ED,erectile dysfunction,,https://en.wikipedia.org/wiki/Erectile_dysfunction
EDACS,Eating and Drinking Ability Classification System,,https://en.wikipedia.org/wiki/EDACS
EDG,endothelial differentiation gene,,https://en.wikipedia.org/wiki/Lysophospholipid_receptor
EDL,Extensor Digitorum Longus,,https://en.wikipedia.org/wiki/Extensor_digitorum_longus_muscle
EDS,Eye Dryness Score,,https://en.wikipedia.org/wiki/EDS
EDS,excessive daytime sleepiness,,https://en.wikipedia.org/wiki/Excessive_daytime_sleepiness
EDV,end diastolic volume,,https://en.wikipedia.org/wiki/End-diastolic_volume
EEG,electroencephalogram,,https://en.wikipedia.org/wiki/Electroencephalography
EES,everolimus eluting stent,,https://en.wikipedia.org/wiki/EES
EF,ejection fraction,,https://en.wikipedia.org/wiki/Ejection_fraction
EFL,expiratory flow limitation,,https://en.wikipedia.org/wiki/EFL
EFLI,expiratory flow limitation index,,https://en.wikipedia.org/wiki/Elite_Football_League_of_India
EFM,electronic fetal monitoring,,https://en.wikipedia.org/wiki/Cardiotocography
EGA,estimated gestational age,,https://en.wikipedia.org/wiki/Ega
EGD,esophagogastroduodenoscopy,,https://en.wikipedia.org/wiki/Esophagogastroduodenoscopy
EGFR,epidermal growth factor receptor,,https://en.wikipedia.org/wiki/Epidermal_growth_factor_receptor
EGJ,esophagogastric junction,,https://en.wikipedia.org/wiki/Stomach#Sections
EH,endolymphatic hydrops,,https://en.wikipedia.org/wiki/Endolymphatic_hydrops
EHL,extensor halluces longus,,https://en.wikipedia.org/wiki/EHL
EI,endotracheal intubation,,https://en.wikipedia.org/wiki/Tracheal_intubation
EIA,External Iliac Artery,,https://en.wikipedia.org/wiki/EIA
EIA,enzyme immunoassay,,https://en.wikipedia.org/wiki/Enzyme_immunoassay
EKG,electrocardiogram,,https://en.wikipedia.org/wiki/Electrocardiography
ELAD,extracorporeal liver support device,,
ELF,Enhanced Liver Fibrosis Panel,,
ELF,endoluminal fundoplication,,
ELISA,enzyme-linked immunosorbent assays,,https://en.wikipedia.org/wiki/ELISA
ELSO,Extracorporeal Life Support Organization,,https://en.wikipedia.org/wiki/Extracorporeal_Life_Support_Organization
EM,episodic migraine,,https://en.wikipedia.org/wiki/EM
EMDR,eye movement desensitization and reprocessing,,https://en.wikipedia.org/wiki/Eye_movement_desensitization_and_reprocessing
EMG,electromyelogram,,https://en.wikipedia.org/wiki/EMG
EMR,electronic medical record,,https://en.wikipedia.org/wiki/Electronic_health_record
EMS,emergency medical services,,https://en.wikipedia.org/wiki/Emergency_medical_services
ENCODE,ENCyclopedia of DNA Elements,,https://en.wikipedia.org/wiki/ENCODE
ENT,"ear, nose, throat/otolaryngology",,https://en.wikipedia.org/wiki/ENT
ENoG,Electroneurography,,
EOB,explanation of benefits,,https://en.wikipedia.org/wiki/Explanation_of_benefits
EOG,electrooculogram,,https://en.wikipedia.org/wiki/Electrooculography
EOL,end of life,,https://en.wikipedia.org/wiki/End-of-life
EOM,extraocular muscles (movements),,https://en.wikipedia.org/wiki/EOM
EP,electrophysiology,,https://en.wikipedia.org/wiki/Electrophysiology
EP,etoposide and cisplatin (chemotherapy),,https://en.wikipedia.org/wiki/EP
EPEC,enteropathogenic E. coli,,https://en.wikipedia.org/wiki/Pathogenic_Escherichia_coli#Virulence_properties
EPS,electrophysiology study,,https://en.wikipedia.org/wiki/Electrophysiology_study
EPS,encapsulated peritoneal sclerosis,,https://en.wikipedia.org/wiki/EPS
ER,emergency room,,https://en.wikipedia.org/wiki/Emergency_department
ER,estrogen receptor,,https://en.wikipedia.org/wiki/Estrogen_receptor
ERA,endothelin receptor antagonist,,https://en.wikipedia.org/wiki/Endothelin_receptor_antagonist
ERAS,Early Recovery after Surgery,,https://en.wikipedia.org/wiki/ERAS
ERCP,endoscopic retrograde cholangiopancreatography,,https://en.wikipedia.org/wiki/Endoscopic_retrograde_cholangiopancreatography
ERP,Exposure with Response Prevention,,https://en.wikipedia.org/wiki/ERP
ERP,event-related potential,,https://en.wikipedia.org/wiki/Event-related_potential
ERV,endogenous retrovirus,,https://en.wikipedia.org/wiki/Endogenous_retrovirus
ES,epidural steroids,,https://en.wikipedia.org/wiki/ES
