Abbreviation,Meaning,Translation,More
F/U,follow up,,
FABER,"Flexion, Abduction and External Rotation",,
FAD,flavin adenine dinucleotide,,
FAI,Femoral-Acetabular Impingement,,
FAP,familial adenomatous polyposis,,
FASPS,familial advanced sleep phase syndrome,,
FB,foreign body,,
FBS,fasting blood sugar,,
FBS,fetal bovine serum,,
FBSS,Failed Back Surgery Syndrome,,
FC,functional class,,
FC,fecal calprotectin,,
FCR,"fludarabine, cyclophosphamide and rituximab",,
FDA,Food and Drug Administration,,
FDG,fluorodeoxyglucose,,
FDP,flexor digitorum profundus,,
FDR,false discovery rate,,
FeNO,fractional exhaled nitric oxide,,
FET,frozen embryo transfer,,
FEV1,forced expiratory volume 1 second,,
fEVAR,fenestrated endovascular aneurysm repair,,
FF,follicular fluid,,
FFDM,freedom from widespread distant metastasis,,
FFPE,formalin-fixed paraffin-embedded ,,
FFR,filtering facepiece respirator,,
FG,Fournier’s gangrene,,
FHF,fulminant hepatic failure,,
FHM,familial hemiplegic migraine,,
FHO,Femoral Head Ostectomy,,
FiO2,fractional inspired oxygen concentration,,
FIP,Feline Infektiöse Peritonitis,,
FISH,fluorescence in situ hybridization,,
FIT,fellow in training,,
FITC,fluorescein isothiocyanate,,
FLAIR,fluid-attenuated inversion recovery,,
FLIM,fluorescence lifetime imaging microscopy,,
FM,fibromyalgia,,
FM,fetal monitor,,
FMF,Familial Mediterranean Fever,,
FMN,flavin mononucleotide,,
FMS,fibromyalgia syndrome,,
FN,femoral nerve,,
FN,false negative,,
FNA,fine needle aspiration,,
FNAB,fine needle aspiration biopsy,,
FO,fluid overload,,
FOB,father of baby,,
FOBT,fecal occult blood testing,,
FP,false positive,,
FPL,flexor pollicis longus,,
fPSA,free prostate specific antigen,,
FRAX,fracture risk assessment,,
FRC,functional residual capacity,,
FSG,fasting serum glucose,,
FSG,finger stick glucose,,
FSGS,focal segmental glomerulosclerosis,,
FSH,follicle stimulating hormone,,
FSP,familial spastic paraparesis,,
FSS,Freeman-Sheldon syndrome,,
FT,functional threshold,,
FT,first trimester,,
FTM,female-to-male,,
FTSG,Full Thickness Skin Graft,,
FTT,failure to thrive,,
FUO,Fever of Unknown Origin,,
FVC,forced vital capacity,,
FVL,factor V Leiden,,
Fx,fracture,,
