Abbreviation,Meaning,Translation,More
G-CSF,granulocyte colony-stimulating factor,,https://en.wikipedia.org/wiki/Granulocyte_colony-stimulating_factor
G-J,gastrostomy-jejunostomy/Gastro-Jejunal,,
G-POEM,gastric per oral endoscopic myotomy,,
GA,general anesthesia,,https://en.wikipedia.org/wiki/General_anaesthesia
GABA,Gamma-Aminobutyric acid,,https://en.wikipedia.org/wiki/Gamma-Aminobutyric_acid
GABHS,group A β-hemolytic streptococcal,,https://en.wikipedia.org/wiki/Group_A_streptococcal_infection
GAD,general anxiety disorder,,https://en.wikipedia.org/wiki/Generalized_anxiety_disorder
GAG,glycosaminoglycan,,https://en.wikipedia.org/wiki/Glycosaminoglycan
GAHS,Glasgow Alcoholic Hepatitis Score,,https://en.wikipedia.org/wiki/Gahs
GAK,Cyclin G-associated kinase,,https://en.wikipedia.org/wiki/GAK
GAS,Gender Affirmation Surgery,,
GAS,Group A Streptococcus,,
GB,gallbladder,,https://en.wikipedia.org/wiki/Gallbladder
GBM,glioblastoma multiforme,,https://en.wikipedia.org/wiki/Glioblastoma
GBM-PNC,glioblastomas with primitive neuronal components,,
GBS,Group B streptococcal,,https://en.wikipedia.org/wiki/GBS
GC,Gonorrhea,,https://en.wikipedia.org/wiki/Gonorrhea
GC-rich,Guanine/Cytosine-rich,,
GCS,Glasgow coma scale,,https://en.wikipedia.org/wiki/Glasgow_Coma_Scale
GCSI,Gastroparesis Cardinal Symptoms Index,,https://en.wikipedia.org/wiki/Order_of_the_Star_of_India
GDNF,glial cell line-derived neurotrophic factor,,https://en.wikipedia.org/wiki/Glial_cell_line-derived_neurotrophic_factor
GEF,guanosine nucleotide exchange factor,,https://en.wikipedia.org/wiki/GEF
GEP,gene expression profiling,,https://en.wikipedia.org/wiki/Gene_expression_profiling
GEP-NET,gastroenteropancreatic neuroendocrine tumor,,https://en.wikipedia.org/wiki/Neuroendocrine_tumor
GER,gastroesophageal reflux,,https://en.wikipedia.org/wiki/Gastroesophageal_reflux_disease
GERD,gastroesophageal reflux disease,,https://en.wikipedia.org/wiki/Gastroesophageal_reflux_disease
GES,gastric emptying scintigraphy,,https://en.wikipedia.org/wiki/GES
GFMCS,Gross Motor Function Classification System,,https://en.wikipedia.org/wiki/Gross_Motor_Function_Classification_System
GFP,green fluorescent protein,,https://en.wikipedia.org/wiki/Green_fluorescent_protein
GFR,Glomerular filtration rate,,https://en.wikipedia.org/wiki/Glomerular_filtration_rate
GGA,Genioglossus Advancement,,https://en.wikipedia.org/wiki/Genioglossus_advancement
GGO,ground-glass opacity,,https://en.wikipedia.org/wiki/Ground-glass_opacity
GGT,gamma-glutamyltransferase,,https://en.wikipedia.org/wiki/Gamma-glutamyltransferase
GH,growth hormone,,https://en.wikipedia.org/wiki/Growth_hormone
GHBP,growth hormone binding protein,,https://en.wikipedia.org/wiki/Growth_hormone-binding_protein
GHD,growth hormone deficiency,,https://en.wikipedia.org/wiki/Growth_hormone_deficiency
GHR,growth hormone receptor,,https://en.wikipedia.org/wiki/Growth_hormone_receptor
GI,gastroenterologist,,https://en.wikipedia.org/wiki/Gastroenterology
GI,gastrointestinal,,https://en.wikipedia.org/wiki/Gastrointestinal_tract
GIB,gastrointestinal bleeding,,https://en.wikipedia.org/wiki/Gastrointestinal_bleeding
GIPP,Gastrointestinal Pathogen Panel,,
GIST,gastrointestinal stromal tumor,,https://en.wikipedia.org/wiki/Gastrointestinal_stromal_tumor
GJ,Gastro-Jejunal,,https://en.wikipedia.org/wiki/GJ
GLP-1,glucagon-like peptide-1,,https://en.wikipedia.org/wiki/Glucagon-like_peptide-1
GLT,glucose loading test,,https://en.wikipedia.org/wiki/GLT
GLUT,glucose transport proteins,,https://en.wikipedia.org/wiki/Glut
GM-CSF,granulocyte macrophage colony-stimulating factor,,https://en.wikipedia.org/wiki/Granulocyte-macrophage_colony-stimulating_factor
GMFCS,Gross Motor Function Classification System,,https://en.wikipedia.org/wiki/Gross_Motor_Function_Classification_System
GNR,gram negative rod,,https://en.wikipedia.org/wiki/GNR
GOF,gain-of-function,,https://en.wikipedia.org/wiki/Mutation#By_effect_on_function
GPB,glycophorin B,,https://en.wikipedia.org/wiki/GPB
GPBB,glycogen phosphorylase BB isoenzyme,,https://en.wikipedia.org/wiki/Glycogen_phosphorylase_isoenzyme_BB
GPC,gram positive coccus,,https://en.wikipedia.org/wiki/GPC
GPCR,G-protein-coupled receptor,,https://en.wikipedia.org/wiki/G_protein-coupled_receptor
GPR,gram positive rods,,https://en.wikipedia.org/wiki/GPR
GPS,Genomic Prostate Score,,https://en.wikipedia.org/wiki/Global_Positioning_System
GRADE,"Grading of Recommendations, Assessment, Development, and Evaluations",,"https://en.wikipedia.org/wiki/The_Grading_of_Recommendations_Assessment,_Development_and_Evaluation_(GRADE)_approach"
GRB2,growth factor receptor-bound protein 2,,https://en.wikipedia.org/wiki/GRB2
GRE,gradient recalled echo,,https://en.wikipedia.org/wiki/Graduate_Record_Examinations
GRS,Gender Reassignment Surgery,,https://en.wikipedia.org/wiki/Sex_reassignment_surgery
GS,general surgery,,https://en.wikipedia.org/wiki/General_surgery
GS,gram stain,,https://en.wikipedia.org/wiki/Gram_stain
GSD,glycogen storage disease,,https://en.wikipedia.org/wiki/Glycogen_storage_disease
GSV,great saphenous vein,,https://en.wikipedia.org/wiki/Great_saphenous_vein
GSW,gunshot wound,,https://en.wikipedia.org/wiki/Gunshot_wound
GTC seizure,generalized tonic-clonic seizure,,https://en.wikipedia.org/wiki/Generalized_tonic%E2%80%93clonic_seizure
GTT,drop(s),,https://en.wikipedia.org/wiki/GTT
GTT,glucose tolerance test,,https://en.wikipedia.org/wiki/Glucose_tolerance_test
GTV,gross tumor volume,,https://en.wikipedia.org/wiki/GTV
GU,genitourinary,,https://en.wikipedia.org/wiki/Genitourinary_system
GVHD,graft versus host disease,,https://en.wikipedia.org/wiki/Graft-versus-host_disease
GWAS,genome-wide association study,,https://en.wikipedia.org/wiki/Genome-wide_association_study
Gluc,glucose,,https://en.wikipedia.org/wiki/Glucose
GnRH,gonadotropin-releasing hormone,,https://en.wikipedia.org/wiki/Gonadotropin-releasing_hormone
GnRHa,gonadotropin-releasing hormone agonist,,https://en.wikipedia.org/wiki/Gonadotropin-releasing_hormone_agonist
Gyn,gynecology,,https://en.wikipedia.org/wiki/Gynaecology
gDNA,genomic DNA,,https://en.wikipedia.org/wiki/Genomic_DNA
