Abbreviation,Meaning,Translation,Wikipedia,Verified
H&H,hemoglobin and hematocrit,,https://en.wikipedia.org/wiki/H%26H,
H&P,history and physical,,https://en.wikipedia.org/wiki/Admission_note,
H/H,hemoglobin/hematocrit,,,
H20,water,,https://en.wikipedia.org/wiki/Water,
H2O2,hydrogen peroxide,,https://en.wikipedia.org/wiki/Hydrogen_peroxide,
HA,headache,,https://en.wikipedia.org/wiki/Headache,
HA,hearing aid,,https://en.wikipedia.org/wiki/Hearing_aid,
HA,histamine,,https://en.wikipedia.org/wiki/Histamine,
HA,hyaluronic acid,,https://en.wikipedia.org/wiki/Hyaluronic_acid,
HA-R,histamine receptor,,https://en.wikipedia.org/wiki/Histamine_receptor,
HAART,highly active antiretroviral therapy,,https://en.wikipedia.org/wiki/Management_of_HIV/AIDS,
HAE,human airway epithelia,,https://en.wikipedia.org/wiki/Hae,
HAGMA,High Anion Gap Metabolic Acidosis,,,
HAL,hexaminolevulinate,,https://en.wikipedia.org/wiki/HAL,
HAM-D,Hamilton Depression Rating Scale,,https://en.wikipedia.org/wiki/Hamilton_Rating_Scale_for_Depression,
HAP,hospital-acquired pneumonia,,https://en.wikipedia.org/wiki/Hospital-acquired_pneumonia,
HAPE,high altitude pulmonary edema,,https://en.wikipedia.org/wiki/High-altitude_pulmonary_edema,
HAS-BLED,"hypertension, abnormal renal and liver function, stroke, bleeding, labile INR, elderly, drugs or alcohol",,https://en.wikipedia.org/wiki/HAS-BLED,
HAT,"hypoxanthine, aminopterin, thymidine",,,
HAV,hepatitis A virus,,https://en.wikipedia.org/wiki/Hepatitis_A#Virology,
HAVB,high-grade atrioventricular block,,,
HBA,hepatobiliary agent,,https://en.wikipedia.org/wiki/HBA,
HBI,HARVEY-BRADSHAW INDEX,,https://en.wikipedia.org/wiki/HBI,
HBO,hyperbaric oxygen,,https://en.wikipedia.org/wiki/Hyperbaric_medicine,
HBV,hepatitis B virus,,,
HBeAg,hepatitis B e-antigen,,https://en.wikipedia.org/wiki/HBeAg,
HBsAg,Hepatitis B surface antigen,,https://en.wikipedia.org/wiki/HBsAg,
HC,hydroxycarbamide,,https://en.wikipedia.org/wiki/Hydroxycarbamide,
HCAP,healthcare-associated pneumonia,,https://en.wikipedia.org/wiki/Hospital-acquired_pneumonia,
HCC,Hepatocellular Carcinoma ,,https://en.wikipedia.org/wiki/HCC,
HCG,Human Chorionic Gonadotropin,,https://en.wikipedia.org/wiki/Human_chorionic_gonadotropin,
HCM,hypertrophic cardiomyopathy,,https://en.wikipedia.org/wiki/Hypertrophic_cardiomyopathy,
HCMV,human cytomegalovirus,,https://en.wikipedia.org/wiki/Human_betaherpesvirus_5,
HCO3,bicarbonate,,https://en.wikipedia.org/wiki/Bicarbonate,
HCPCS,Healthcare Common Procedure Coding System,,https://en.wikipedia.org/wiki/Healthcare_Common_Procedure_Coding_System,
HCQ,hydroxychloroquine,,https://en.wikipedia.org/wiki/Hydroxychloroquine,
HCTZ,hydrochlorothiazide,,https://en.wikipedia.org/wiki/Hydrochlorothiazide,
HCV,Hepatitis C virus,,https://en.wikipedia.org/wiki/Hepatitis_C_virus,
HCVD,hypertensive cardiovascular disease,,,
HCoV-229E,human coronavirus 229E,,https://en.wikipedia.org/wiki/Human_coronavirus_229E,
