Abbreviation,Meaning,Translation,More
i-TIMI,initial-thrombolysis in myocardial infarction,,
I&D,incision and drainage,,
I&D,irrigation and debridement,,
I&O,intake and output,,
IA,imidazole acetaldehyde,,
IAA,Iliac Artery Aneurysm,,
IAA,imidazole acetic acid,,
IAAR,imidazole acetic acid riboside,,
IABP,intra-aortic balloon pump,,
IAC,Internal Auditory Canal,,
IAD,incontinence-associated dermatitis,,
IADL,instrumental activities of daily living,,
IAH,Intra-abdominal Hypertension,,
IAHA,intra-articular hyaluronic acid,,
IAP,intra-abdominal pressure,,
IBD,identity by descent,,
IBD,inflammatory bowel disease,,
IBM,inclusion body myositis,,
IBS,irritable bowel syndrome,,
IBS-C,constipation-predominant irritable bowel syndrome,,
IBS-D,Irritable Bowel Syndrome with Diarrhea,,
IBW,ideal body weight,,
ICCA,infantile convulsions and choreoarthetosis,,
ICD,implantable cardioverter defibrillator,,
ICH,intracranial hypertension,,
ICH,intracranial hemorrhage,,
ICL,interstrand crosslinks,,
ICM,ischemic cardiomyopathy,,
ICP,intracranial pressure,,
ICP,Intracranial Pressure,,
ICPP,idiopathic central precocious puberty,,
ICR,insulin-to-carbohydrate ratio,,
ICS,International Continence Society,,
ICS,inhaled corticosteroids,,
ICSI,intracytoplasmic sperm injection,,
ICU,intensive care unit,,
ID,infectious disease(s),,
IDDM,insulin-dependent diabetes mellitus,,
IDE,Investigational Device Exemption,,
IDP,intrinsically disordered protein,,
IDSA,Infectious Diseases Society of America,,
IDU,intravenous drug use,,
IED,intermittent explosive disorder,,
IFA,immunofluorescent assay,,
IFITM,interferon-induced transmembrane,,
IFN,interferon,,
IFU,Instructions For Use,,
IFX,infliximab,,
Ig,immunoglobulin,,
IgA,Immunoglobulin A,,
IGA,Investigator's Global Assessment,,
IgD,immunoglobulin D,,
IgE,immunoglobulin E,,
IGF-1,insulin-like growth factor 1,,
IGFBP3,insulin-like growth factor binding protein 3,,
IgG,immunoglobulin G,,
IgM,immunoglobulin M,,
IGR-SRS,image-guided robotic stereotactic radiosurgery ,,
IGR-SRS,image-guided robotic stereotactic radiosurgery,,
IGRA,interferon-gamma release assay,,
IGRT,image guided radiation therapy,,
IH,idiopathic hypersomnia,,
IH,Inguinal Hernia,,
IHC,inner hair cell,,
IHF,intrahepatic fat,,
IHSS,Idiopathic Hypersomnia Severity Scale,,
IIA,Internal Iliac Artery,,
IIH,idiopathic intracranial hypertension,,
IKDC,International Knee Documentation Committee,,
IL-13,Interleukin 13,,
IL-17,Interleukin-17,,
IL-4,Interleukin 4,,
IL-4Ra,interleukin 4 receptor,,
IL-5,Interleukin 5,,
ILD,interstitial lung disease,,
ILK,intralesional Kenalog,,
ILR,implantable loop recorder,,
IM,intramuscular,,
IMA,ischemia-modified albumin,,
IMA,inferior mesenteric artery,,
IMA,Internal Mammary Artery,,
IMH,Intramural Haematoma,,
IMM,immunomodulator,,
IMPT,Intensity-Modulated Proton Beam Therapy,,
IMRT,intensity-modulated radiation therapy,,
IMS,Intra‐Metatarsal Space,,
IN,intranasal,,
indel,insertion-deletion,,
InflAAA,Inflammatory Abdominal Aortic Aneurysm,,
INH,Isoniazid,,
iNKT,invariant natural killer T,,
INPH,idiopathic normal pressure hydrocephalus,,
INR,international normalized ratio,,
IOC,Intraoperative Cholangiogram,,
IOL,Intraocular Lens,,
IOM,intraoperative monitoring,,
IONM,Intraoperative Neurophysiological Monitoring,,
IOP,Intensive Outpatient Program,,
IOP,intraocular pressure,,
IP,interphalangeal,,
IPA,isopropyl alcohol,,
IPAH,idiopathic pulmonary arterial hypertension,,
IPC,inner pillar cell,,
IPC,intermittent pneumatic compression,,
IPF,idiopathic pulmonary fibrosis,,
IPG,implanted pulse generator,,
IPJ,Intra‐Phalangeal Joint,,
iPSA,intact prostate specific antigen,,
iPSC,induced pluripotent stem cell,,
IPSET-Thrombosis,International Prognostic Score of Thrombosis for ET,,
IPSS,International Prostate Symptom Score,,
IR,internal rotation,,
IR,interventional radiology,,
IR,implantation rate,,
IRB,institutional review board,,
IRMA,immunoradiometric assay,,
IRP,Integrated Relaxation Pressure,,
IS,insulin sensitivity,,
IS,infarct size,,
ISF,Insulin Sensitivity Factor,,
ISG,interferon-stimulated gene,,
ISIB,intrasphincteric injection of Botox,,
ISR,in-stent restenosis,,
ISS,idiopathic short stature,,
ISS,Interspinous Spacer,,
ISSNHL,idiopathic sudden sensorineural hearing loss,,
IT,iliotibial,,
IT,time from symptom onset to coronary intervention,,
IT,intratympanic,,
ITB,intrathecal baclofen,,
ITB,iliotibial band,,
ITI,Inner to Inner,,
ITP,immune thrombocytopenic purpura,,
ITR,Inferior Turbinate Reduction,,
ITT,Intent-to-Treat,,
ITU,intensive therapy unit,,
IU,international units,,
IUD,intrauterine device,,
IUGR,intrauterine growth restriction,,
IUP,intrauterine pregnancy,,
IUPC,intrauterine pressure catheter,,
IV,intravenous,,
IVC,inferior vena cava,,
IVD,intervertebral disc,,
IVDA,Intravenous Drug Abuse,,
IVDU,intravenous drug use,,
IVF,intravenous fluids,,
IVF,In Vitro Fertilization,,
IVIG,intravenous immunoglobulin,,
IVUS,intravascular ultrasound,,
