Abbreviation,Meaning,Translation,Wikipedia,Verified
L,left,,https://en.wikipedia.org/wiki/Left,
L&D,labor and delivery,,https://en.wikipedia.org/wiki/Childbirth,
LA,left atrium,,https://en.wikipedia.org/wiki/Atrium_(heart),
LA,leukoaraiosis,,https://en.wikipedia.org/wiki/Leukoaraiosis,
LAA ,left atrial appendage,,https://en.wikipedia.org/wiki/Atrium_(heart),
LAAC,left atrial appendage closure,,https://en.wikipedia.org/wiki/LAAC,
LAAEV,left atrium appendage emptying velocity,,,
LAAO,left atrial appendage occlusion,,https://en.wikipedia.org/wiki/Left_atrial_appendage_occlusion,
LAAT,left atrial appendage thrombus,,"https://en.wikipedia.org/wiki/List_of_Star_Wars_air,_aquatic,_and_ground_vehicles#Republic_attack_gunship",
LABA,long-acting b2-agonist,,https://en.wikipedia.org/wiki/Long-acting_beta-adrenoceptor_agonist,
LABD,linear IgA bullous dermatosis ,,https://en.wikipedia.org/wiki/Linear_IgA_bullous_dermatosis,
LAD,left anterior descending artery,,,
LAD,linear IgA dermatosis,,https://en.wikipedia.org/wiki/Linear_IgA_bullous_dermatosis,
LAD,lymphadenopathy,,https://en.wikipedia.org/wiki/Lymphadenopathy,
LAER,late auditory evoked response,,https://en.wikipedia.org/wiki/State_Implementation_Plan,
LAFB,left anterior fascicular block,,https://en.wikipedia.org/wiki/Left_anterior_fascicular_block,
LAHB,left anterior hemiblock,,https://en.wikipedia.org/wiki/Left_anterior_fascicular_block,
LASIK,laser-assisted in situ keratomileusis,,https://en.wikipedia.org/wiki/LASIK,
LAT,large neutral amino acid transporter,,https://en.wikipedia.org/wiki/CD98,
LAVH,Laparoscopic Assisted Vaginal Hysterectomy,,https://en.wikipedia.org/wiki/Hysterectomy#Technique,
LAVI,left atrium volume index,,,
LBBB,left bundle branch block,,https://en.wikipedia.org/wiki/Left_bundle_branch_block,
LBM,lean body mass,,https://en.wikipedia.org/wiki/Lean_body_mass,
LBN,latanoprostene bunod,,https://en.wikipedia.org/wiki/Latanoprostene_bunod,
LBO,large bowel obstruction,,https://en.wikipedia.org/wiki/Bowel_obstruction,
LBP,lower back pain,,https://en.wikipedia.org/wiki/Low_back_pain,
LC,local control,,https://en.wikipedia.org/wiki/LC,
LCIS,lobular carcinoma in situ,,https://en.wikipedia.org/wiki/Lobular_carcinoma_in_situ,
LCSW,licensed clinical social worker,,https://en.wikipedia.org/wiki/List_of_credentials_in_psychology#Professional_licenses,
LCX,left circumflex (coronary artery),,https://en.wikipedia.org/wiki/LCX,
LD,lumbar drain,,https://en.wikipedia.org/wiki/LD,
LDCT,low-dose computed tomography,,,
LDH,lactic acid dehydrogenase,,https://en.wikipedia.org/wiki/Lactate_dehydrogenase,
LDH,lumbar disc herniation,,https://en.wikipedia.org/wiki/Spinal_disc_herniation#lumbar,
LDL,low density lipoprotein,,https://en.wikipedia.org/wiki/Low-density_lipoprotein,
