Abbreviation,Meaning,Translation,Wikipedia,Verified
M/H,medical history,,https://en.wikipedia.org/wiki/Medical_history,
M/R/G,"murmurs, rubs, gallops",,,
MA,migraine with aura,,https://en.wikipedia.org/wiki/Aura_(symptom),
MAA,Mycotic Aortic Aneurysm,,https://en.wikipedia.org/wiki/Maa,
MAC,Mycobacterium avium complex,,https://en.wikipedia.org/wiki/Mycobacterium_avium_complex,
MAC,monitored anesthesia care,,https://en.wikipedia.org/wiki/Mac,
MACE,major adverse cardiac events,,https://en.wikipedia.org/wiki/Major_adverse_cardiovascular_events,
MACI,matrix autologous chondrocyte implant ,,https://en.wikipedia.org/wiki/Autologous_cultured_chondrocytes_on_porcine_collagen_membrane,
MACS,Manual Ability Classification System,,https://en.wikipedia.org/wiki/Manual_Ability_Classification_System,
MADRS,MontgomeryЁsberg Depression Rating Scale,,https://en.wikipedia.org/wiki/Montgomery%E2%80%93%C3%85sberg_Depression_Rating_Scale,
MAF,mitral annular flutter,,https://en.wikipedia.org/wiki/MAF,
MAG,myelin-associated glycoprotein,,https://en.wikipedia.org/wiki/Myelin-associated_glycoprotein,
MAI,Mycobacterium avium-intracellulare infection,,https://en.wikipedia.org/wiki/Mycobacterium_avium-intracellulare_infection,
MALT,mucosa-associated lymphoid tissue,,https://en.wikipedia.org/wiki/Mucosa-associated_lymphoid_tissue,
MAO-B,monoamine oxidase B,,https://en.wikipedia.org/wiki/Monoamine_oxidase_B,
MAP,mean arterial pressure,,https://en.wikipedia.org/wiki/Mean_arterial_pressure,
MAPK,mitogen-activated protein kinase,,https://en.wikipedia.org/wiki/Mitogen-activated_protein_kinase,
MARS,molecular absorbents recirculation system,,,
MASCC,Multinational Association for Supportive Care,,,
MB,microbleed,,https://en.wikipedia.org/wiki/MB,
MCA,middle cerebral artery,,https://en.wikipedia.org/wiki/Middle_cerebral_artery,
MCB,monochlorobimane,,https://en.wikipedia.org/wiki/MCB,
MCH,mean corpuscular hemoglobin,,https://en.wikipedia.org/wiki/Mean_corpuscular_hemoglobin,
MCHC,mean corpuscular hemoglobin concentration,,https://en.wikipedia.org/wiki/Mean_corpuscular_hemoglobin_concentration,
MCII,minimum clinically important improvement,,https://en.wikipedia.org/wiki/MCII,
MCL,medial collateral ligament,,https://en.wikipedia.org/wiki/Medial_collateral_ligament,
MCM,major congenital malformation,,https://en.wikipedia.org/wiki/Birth_defect,
MCTD,Mixed Connective Tissue Disease,,https://en.wikipedia.org/wiki/Mixed_connective_tissue_disease,
MCTD,mixed connective tissue disease,,https://en.wikipedia.org/wiki/Mixed_connective_tissue_disease,
MCV,mean corpuscular volume,,https://en.wikipedia.org/wiki/Mean_corpuscular_volume,
MD,muscular dystrophy,,https://en.wikipedia.org/wiki/Muscular_dystrophy,
MDD,major depressive disorder,,https://en.wikipedia.org/wiki/Major_depressive_disorder,
MDF,Maddrey discriminant function,,https://en.wikipedia.org/wiki/MDF,
MDI,metered dose inhaler,,https://en.wikipedia.org/wiki/Metered-dose_inhaler,
MDR,multidrug-resistant,,https://en.wikipedia.org/wiki/Multiple_drug_resistance,
MDS,myelodysplastic syndrome,,https://en.wikipedia.org/wiki/Myelodysplastic_syndrome,
MECC,Minimal Extracorporeal Circulation,,https://en.wikipedia.org/wiki/MECC,
MELAS,"mitochondrial encephalopathy, lactic acidosis, and stroke-like episodes",,https://en.wikipedia.org/wiki/MELAS_syndrome,
MELD,Model for End Stage Liver Disease,,https://en.wikipedia.org/wiki/MELD,
MELS,modular extracorporeal liver support system,,https://en.wikipedia.org/wiki/MELS,
MEP,motor evoked potential,,https://en.wikipedia.org/wiki/MEP,
MERRF,myoclonic epilepsy with ragged red fibers,,https://en.wikipedia.org/wiki/MERRF_syndrome,
MERS,Middle East Respiratory Syndrome,,https://en.wikipedia.org/wiki/Middle_East_respiratory_syndrome,
MERS-CoV,Middle East Respiratory Syndrome Coronavirus,,https://en.wikipedia.org/wiki/Middle_East_respiratory_syndrome%E2%80%93related_coronavirus,
MET,Metabolic Equivalent,,https://en.wikipedia.org/wiki/Met,
MET,motivational enhancement therapy,,https://en.wikipedia.org/wiki/Motivational_enhancement_therapy,
MFC,medial femoral condyle,,https://en.wikipedia.org/wiki/MFC,
MFS,metastasis-free survival,,https://en.wikipedia.org/wiki/MFS,
MG,myasthenia gravis,,https://en.wikipedia.org/wiki/Myasthenia_gravis,
MGMT,O[6]-methylguanine-DNA methyltransferase,,https://en.wikipedia.org/wiki/MGMT,
MHOP,mental health outpatient services,,,
MHV,Murine Hepatitis Virus,,https://en.wikipedia.org/wiki/MHV,
MHV,mouse hepatitis virus,,https://en.wikipedia.org/wiki/Murine_coronavirus,
MI,myocardial infarction,,https://en.wikipedia.org/wiki/Myocardial_infarction,
MILD,minimally invasive lumbar decompression,,,
