Abbreviation,Meaning,Translation,Wikipedia,Verified
N-MIA,N-methylimidazole acetaldehyde,,,
N-MIAA,N-methylimidazole acetic acid,,,
N/V,nausea or vomiting,,,
NABS,normal active bowel sounds,,,
NAC,N-acetylcysteine,,https://en.wikipedia.org/wiki/Acetylcysteine,
NAD,no active disease,,https://en.wikipedia.org/wiki/NAD,
NAD,no acute distress,,https://en.wikipedia.org/wiki/NAD,
NAFL,non‐alcoholic fatty liver,,https://en.wikipedia.org/wiki/NAFL,
NAFLD,non‐alcoholic fatty liver disease,,https://en.wikipedia.org/wiki/Non-alcoholic_fatty_liver_disease,
NAK,numb-associated kinase,,https://en.wikipedia.org/wiki/Acknowledgement_(data_networks),
NAS,NAFLD Activity Score,,,
NASH,nonalcoholic steatohepatitis,,https://en.wikipedia.org/wiki/Non-alcoholic_fatty_liver_disease,
NAT,non-accidental trauma,,https://en.wikipedia.org/wiki/Abuse,
NAT,nucleic acid testing,,https://en.wikipedia.org/wiki/Nucleic_acid_test,
NBCCS,nevoid basal cell carcinoma syndrome,,https://en.wikipedia.org/wiki/Nevoid_basal-cell_carcinoma_syndrome,
NBNB,"non-bloody, non-bilious",,,
NBS,no bowel sounds,,https://en.wikipedia.org/wiki/NBS,
NBUVB,narrowband ultraviolet B,,,
NC,nasal cannula,,https://en.wikipedia.org/wiki/Nasal_cannula,
NCCAH,non-classical congenital adrenal hyperplasia,,,
NCCN,National Comprehensive Cancer Network,,https://en.wikipedia.org/wiki/National_Comprehensive_Cancer_Network,
NCI,National Cancer Institute,,https://en.wikipedia.org/wiki/National_Cancer_Institute,
NCP,nursing care plan,,https://en.wikipedia.org/wiki/Nursing_care_plan,
NCS,nerve conduction study,,https://en.wikipedia.org/wiki/Nerve_conduction_study,
NCT,national clinical trial,,https://en.wikipedia.org/wiki/NCT,
NCV,Nerve Conduction Velocity,,https://en.wikipedia.org/wiki/NCV,
NEB,nebulizer,,https://en.wikipedia.org/wiki/Nebulizer,
NED,no evidence of disease,,https://en.wikipedia.org/wiki/No_evidence_of_disease,
NF,Nissen fundoplication,,https://en.wikipedia.org/wiki/Nissen_fundoplication,
NF1,neurofibromatosis type 1,,https://en.wikipedia.org/wiki/Neurofibromatosis_type_I,
NG,nasogastric,,https://en.wikipedia.org/wiki/Ng,
NGS,next-generation sequencing,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3841808/,
NGT,nasogastric tube,,https://en.wikipedia.org/wiki/Nasogastric_intubation,
NHEJ,non-homologous end joining,,https://en.wikipedia.org/wiki/Non-homologous_end_joining,
NHL,non-Hodgkin's lymphoma,,https://en.wikipedia.org/wiki/Non-Hodgkin_lymphoma,
NIAAA,National Institute on Alcohol Abuse and Alcoholism,,https://en.wikipedia.org/wiki/National_Institute_on_Alcohol_Abuse_and_Alcoholism,
NICM,nonischemic cardiomyopathy,,https://en.wikipedia.org/wiki/Cardiomyopathy,
NICU,neonatal intensive care unit,,https://en.wikipedia.org/wiki/Neonatal_intensive_care_unit,
NICVD,National Institute of Cardiovascular Diseases,,https://en.wikipedia.org/wiki/National_Institute_of_Cardiovascular_Diseases,
NIDDM,non-insulin dependent diabetes mellitus,,https://en.wikipedia.org/wiki/Type_2_diabetes,
NIH,National Institutes of Health,,https://en.wikipedia.org/wiki/National_Institutes_of_Health,
NIHSS,National Institutes of Health stroke scale,,https://en.wikipedia.org/wiki/National_Institutes_of_Health_Stroke_Scale,
NIPS,noninvasive prenatal screening,,https://en.wikipedia.org/wiki/NIPS,
NIPT,noninvasive prenatal testing,,https://en.wikipedia.org/wiki/NIPT,
NK,natural killer,,https://en.wikipedia.org/wiki/Natural_killer_cell,
NK,neurotrophic keratitis,,https://en.wikipedia.org/wiki/Neurotrophic_keratitis,
NKA,no known allergies,,https://en.wikipedia.org/wiki/NKA,
NKDA,no known drug allergies,,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_N,
NLM,National Library of Medicine,,https://en.wikipedia.org/wiki/United_States_National_Library_of_Medicine,
NM,nonsense mutation,,https://en.wikipedia.org/wiki/Nonsense_mutation,
NMD,neurosurgery for mental disorder,,https://en.wikipedia.org/wiki/NMD,
