Abbreviation,Meaning,Translation,Wikipedia,Verified
O&P,ova and parasites,,,
O2,oxygen,,https://en.wikipedia.org/wiki/Oxygen,
OA,orbital atherectomy,,https://en.wikipedia.org/wiki/OA,
OA,osteoarthritis,,https://en.wikipedia.org/wiki/Osteoarthritis,
OAG,open-angle glaucoma,,https://en.wikipedia.org/wiki/Glaucoma#Primary_glaucoma_and_its_variants_.28H40.1-H40.2.29,
OAR,organs at risk,,https://en.wikipedia.org/wiki/OAR,
OASAS,NY Office of Alcoholism and Substance Abuse Services,,,
OAT,oral appliance therapy,,,
OATS,osteochondral allograft transplantation surgery ,,https://en.wikipedia.org/wiki/OATS,
OB,occult blood,,https://en.wikipedia.org/wiki/Occult_blood,
OC,oral contraceptive,,https://en.wikipedia.org/wiki/Oral_contraceptive_pill,
OCD,obsessive-compulsive disorder,,https://www.nimh.nih.gov/health/topics/obsessive-compulsive-disorder-ocd/index.shtml,
OCD,osteochondral defects,,https://en.wikipedia.org/wiki/Obsessive%E2%80%93compulsive_disorder,
OCP,oral contraceptive pill,,https://en.wikipedia.org/wiki/Oral_contraceptive_pill,
OCT,optical coherence tomography,,https://en.wikipedia.org/wiki/Optical_coherence_tomography,
OCT3,organic cation transporter 3,,https://en.wikipedia.org/wiki/OCT3,
OD,overdose,,https://en.wikipedia.org/wiki/Drug_overdose,
OD,right eye,,https://en.wikipedia.org/wiki/OD,
ODD,oppositional defiant disorder,,https://en.wikipedia.org/wiki/Oppositional_defiant_disorder,
ODG,Official Disability Guidelines,,https://en.wikipedia.org/wiki/ODG,
ODI,oxygen desaturation index,,https://en.wikipedia.org/wiki/ODI,
OGTT,oral glucose tolerance test,,https://en.wikipedia.org/wiki/Glucose_tolerance_test,
OHCA,out-of-hospital cardiac arrest,,https://en.wikipedia.org/wiki/OHCA,
OHSS,ovarian hyperstimulation syndrome,,https://en.wikipedia.org/wiki/Ovarian_hyperstimulation_syndrome,
OHT,ocular hypertension,,https://en.wikipedia.org/wiki/Ocular_hypertension,
OM,Otitis Media,,,
OM,obtuse marginal branch,,,
OM1,obtuse marginal branch 1,,https://en.wikipedia.org/wiki/OM1,
OM2,obtuse marginal branch 2,,,
OM3,obtuse marginal branch 3,,,
ONH,optic nerve head,,https://en.wikipedia.org/wiki/Optic_disc,
ONLS,Overall Neuropathy Limitation Scale,,,
OPC,oropharyngeal cancer,,https://en.wikipedia.org/wiki/Oropharyngeal_cancer,
OPC,outer pillar cell,,https://en.wikipedia.org/wiki/OPC,
OPLL,ossification of the posterior longitudinal ligament,,https://en.wikipedia.org/wiki/Ossification_of_the_posterior_longitudinal_ligament,
OPTN,Organ Procurement and Transplantation Network,,https://en.wikipedia.org/wiki/United_Network_for_Organ_Sharing,
OPUS,Oral Passage Understanding Scale,,https://en.wikipedia.org/wiki/Opus,
OR,operating room,,https://en.wikipedia.org/wiki/Operating_theater,
ORF,open reading frame,,https://en.wikipedia.org/wiki/Open_reading_frame,
ORIF,open reduction internal fixation,,https://en.wikipedia.org/wiki/Internal_fixation,
ORS,oral rehydration solution,,https://en.wikipedia.org/wiki/Oral_rehydration_therapy,
OS,left eye,,https://en.wikipedia.org/wiki/OS,
OS,overall survival,,https://en.wikipedia.org/wiki/Survival_rate,
OSA,obstructive sleep apnea,,https://en.wikipedia.org/wiki/Obstructive_sleep_apnea,
OSAS,Obstructive Sleep Apnea Syndrome,,https://en.wikipedia.org/wiki/OSAS,
OSCC,oropharyngeal squamous cell carcinoma,,https://en.wikipedia.org/wiki/OSCC,
OSH,outside hospital,,https://en.wikipedia.org/wiki/OSH,
OSR,Open Surgical Repair,,https://en.wikipedia.org/wiki/OSR,
OT,occupational therapy,,https://en.wikipedia.org/wiki/Occupational_therapy,
OTC,over-the-counter,,https://en.wikipedia.org/wiki/Over-the-counter_drug,
OTO,Outer to Outer,,https://en.wikipedia.org/wiki/Oto,
OTW,over-the-wire,,https://en.wikipedia.org/wiki/OTW,
OU,both eyes,,https://en.wikipedia.org/wiki/OU,
OV,office visit,,https://en.wikipedia.org/wiki/OV,
OVB,oral viscous budesonide,,https://en.wikipedia.org/wiki/OVB,
OW,overweight,,https://en.wikipedia.org/wiki/Overweight,
