Abbreviation,Meaning,Translation,Wikipedia,Verified
P,pulse,,https://en.wikipedia.org/wiki/Pulse,
P&A,percussion & auscultation,,https://en.wikipedia.org/wiki/P%26A,
PA,periapical,,https://en.wikipedia.org/wiki/Dental_anatomy#Surfaces,
PAC,premature atrial complexes,,https://en.wikipedia.org/wiki/PAC,
PACAP,pituitary adenylate cyclase-activating polypeptide,,https://en.wikipedia.org/wiki/Pituitary_adenylate_cyclase-activating_peptide,
PACU,post anesthesia care unit,,https://en.wikipedia.org/wiki/Post-anesthesia_care_unit,
PAD,peripheral arterial disease,,https://en.wikipedia.org/wiki/Peripheral_artery_disease,
PAH,predicted adult height,,https://en.wikipedia.org/wiki/PAH,
PAH,pulmonary arterial hypertension,,https://en.wikipedia.org/wiki/Pulmonary_hypertension,
PAM,protospacer adjacent motif,,https://en.wikipedia.org/wiki/Protospacer_adjacent_motif,
PAMG-1,placental alpha microglobulin-1,,,
PANDAS,Pediatric Autoimmune Neuropsychiatric Disorders Associated with Streptococcal Infections,,https://en.wikipedia.org/wiki/PANDAS,
PANS,Pediatric Acute-onset Neuropsychiatric Syndrome,,https://en.wikipedia.org/wiki/PANDAS,
PAOD,Peripheral Arterial Occlusive Disease,,https://en.wikipedia.org/wiki/Peripheral_artery_disease,
PAP,positive airway pressure,,https://en.wikipedia.org/wiki/Positive_airway_pressure,
PAPR,Powered Air Purifying Respirator,,https://en.wikipedia.org/wiki/Powered_air-purifying_respirator,
PARDS,pediatric acute respiratory distress syndrome,,https://en.wikipedia.org/wiki/Acute_respiratory_distress_syndrome#Terminology,
PAS,personal assistance service(s),,https://en.wikipedia.org/wiki/PAS,
PAU,Penetrating Aortic Ulcer,,https://en.wikipedia.org/wiki/Pau,
PAWP,pulmonary arterial wedge pressure,,https://en.wikipedia.org/wiki/Pulmonary_wedge_pressure,
PAWS,post-acute-withdrawal syndrome,,https://en.wikipedia.org/wiki/Post-acute-withdrawal_syndrome,
PBC,primary biliary cholangitis,,https://en.wikipedia.org/wiki/Primary_biliary_cholangitis,
PBP,penicillin-binding protein,,https://en.wikipedia.org/wiki/Penicillin-binding_proteins,
PBRT,proton beam radiation therapy,,https://en.wikipedia.org/wiki/Proton_therapy,
PBS,pencil-beam scanning,,https://en.wikipedia.org/wiki/Pencil-beam_scanning,
PBS,phosphate-buffered saline,,https://en.wikipedia.org/wiki/Phosphate-buffered_saline,
PBT,perioperative blood transfusion,,https://en.wikipedia.org/wiki/PBT,
PBT,proton beam therapy,,https://en.wikipedia.org/wiki/Proton_therapy,
PCA,Posterior Carotid Artery,,https://en.wikipedia.org/wiki/PCA,
PCA,patient controlled analgesia,,https://en.wikipedia.org/wiki/Patient-controlled_analgesia,
PCA,personal care aide,,https://en.wikipedia.org/wiki/PCA,
PCCM,Pediatric Critical Care Medicine,,https://en.wikipedia.org/wiki/Pediatric_Critical_Care_Medicine,
PCD,pneumatic compression device,,https://en.wikipedia.org/wiki/PCD,
PCDAI,Pediatric Crohn's Disease Activity Index,,,
PCI,percutaneous coronary intervention,,https://en.wikipedia.org/wiki/Percutaneous_coronary_intervention,
PCKD,polycystic kidney disease,,https://en.wikipedia.org/wiki/Polycystic_kidney_disease,
PCL,posterior cruciate ligament,,https://en.wikipedia.org/wiki/Posterior_cruciate_ligament,
PCNL,Percutaneous Nephrolithotomy,,https://en.wikipedia.org/wiki/Percutaneous_nephrolithotomy,
PCNSL,primary central nervous system lymphoma,,https://en.wikipedia.org/wiki/Primary_central_nervous_system_lymphoma,
PCOS,polycystic ovarian syndrome,,https://en.wikipedia.org/wiki/Polycystic_ovary_syndrome,
PCP,pneumocystis pneumonia,,https://en.wikipedia.org/wiki/Pneumocystis_pneumonia,
PCP,primary care provider,,https://en.wikipedia.org/wiki/Primary_care,
PCR,pharyngeal constriction ratio,,https://en.wikipedia.org/wiki/Polymerase_chain_reaction,
PCR,polymerase chain reaction,,https://en.wikipedia.org/wiki/Polymerase_chain_reaction,
PCSK9,proprotein convertase subtilisin kexin 9,,https://en.wikipedia.org/wiki/PCSK9,
PCT,procalcitonin,,https://en.wikipedia.org/wiki/Procalcitonin,
PCU,progressive care unit,,https://en.wikipedia.org/wiki/Coronary_care_unit#Subacute_coronary_care,
PCa,prostate cancer,,https://en.wikipedia.org/wiki/Prostate_cancer,
PD,Parkinson's disease,,https://en.wikipedia.org/wiki/Parkinson%27s_disease,
PD,Peritoneal Dialysis,,https://en.wikipedia.org/wiki/PD,
PD,pneumatic dilation,,https://en.wikipedia.org/wiki/Esophageal_dilatation,
PD,postural drainage,,https://en.wikipedia.org/wiki/Postural_drainage,
PD,progressive disease,,https://en.wikipedia.org/wiki/Progressive_disease,
PDE4,phosphodiesterase 4,,https://en.wikipedia.org/wiki/Phosphodiesterase_4,
PDN,private duty nursing,,https://en.wikipedia.org/wiki/Private_duty_nursing,
PDT,Photodynamic Therapy,,https://www.cancer.gov/about-cancer/treatment/types/surgery/photodynamic-fact-sheet,
PE,Pressure Equalizer,,https://en.wikipedia.org/wiki/PE,
PE,physical examination,,https://en.wikipedia.org/wiki/Physical_examination,
PE,pulmonary embolism,,https://en.wikipedia.org/wiki/Pulmonary_embolism,
PEA,pulseless electrical activity,,https://en.wikipedia.org/wiki/Pulseless_electrical_activity,
