Abbreviation,Meaning,Translation,Wikipedia,Verified
R,right,,https://en.wikipedia.org/wiki/Rights,
R/O,rule out,,https://en.wikipedia.org/wiki/Gestalt_Pattern_Matching,
R0,reproduction number,,https://en.wikipedia.org/wiki/R0,
RA,rheumatoid arthritis,,https://en.wikipedia.org/wiki/Rheumatoid_arthritis,
RA,right atrium,,https://en.wikipedia.org/wiki/Atrium_(heart),
RA,room air,,,
RA,rotational atherectomy,,,
RAC,recovery audit contractor,,https://en.wikipedia.org/wiki/RAC,
RAS,resistance-associated substitution,,https://en.wikipedia.org/wiki/Ras,
RBAS,radiosurgery-based AVM score,,,
RBBB,right bundle branch block,,https://en.wikipedia.org/wiki/Right_bundle_branch_block,
RBC,red blood cells,,https://en.wikipedia.org/wiki/Red_blood_cell,
RBC,red blood count,,https://en.wikipedia.org/wiki/Complete_blood_count,
RBD,receptor binding domain,,https://en.wikipedia.org/wiki/RBD,
RC,radical cystectomy,,https://en.wikipedia.org/wiki/Cystectomy#Radical_cystectomy,
RCA,right coronary artery,,https://en.wikipedia.org/wiki/Right_coronary_artery,
RCC,renal cell carcinoma,,https://en.wikipedia.org/wiki/Renal_cell_carcinoma,
RCG,radiocardiography,,https://en.wikipedia.org/wiki/RCG,
RCM,reflectance confocal microcopy,,https://en.wikipedia.org/wiki/RCM,
RCM,reflectance confocal microscopy,,https://en.wikipedia.org/wiki/RCM,
RCT,randomized controlled trial,,https://en.wikipedia.org/wiki/Randomized_controlled_trial,
RCT,rotator cuff tear,,https://en.wikipedia.org/wiki/Rotator_cuff_tear,
RD,retinal detachment,,https://en.wikipedia.org/wiki/Retinal_detachment,
RDF,roof-dependent flutter,,https://en.wikipedia.org/wiki/RDF,
RDI,respiratory disturbance index,,https://en.wikipedia.org/wiki/Respiratory_disturbance_index,
RDS,respiratory distress syndrome,,https://en.wikipedia.org/wiki/Respiratory_distress_syndrome,
RDV,remdesivir,,https://en.wikipedia.org/wiki/Remdesivir,
REM,rapid eye movement,,https://en.wikipedia.org/wiki/Rapid_eye_movement,
RERA,respiratory-effort related arousal,,"https://en.wikipedia.org/wiki/Real_Estate_(Regulation_and_Development)_Act,_2016",
RETU,Rapid Evaluation and Treatment Unit,,,
RF,risk factor,,https://en.wikipedia.org/wiki/Risk_factor,
RFA,radiofrequency ablation,,https://en.wikipedia.org/wiki/Radiofrequency_ablation,
RFA,right femoral artery,,https://en.wikipedia.org/wiki/RFA,
RFFP,radial forearm flap phalloplasty,,,
RFP,red fluorescent protein,,https://en.wikipedia.org/wiki/Red_fluorescent_protein,
RFS,Reflux Finding Score,,https://en.wikipedia.org/wiki/RFS,
RFS,recurrence-free survival,,https://en.wikipedia.org/wiki/RFS,
RFT,renal function test,,https://en.wikipedia.org/wiki/Assessment_of_kidney_function,
RFVTA,radiofrequency volumetric thermal ablation,,,
RIC,radiation-induced change,,https://en.wikipedia.org/wiki/RIC,
RIMA,right internal mammary artery,,,
RIPC,remote ischaemic preconditioning,,,
RIS,reflux injury score,,https://en.wikipedia.org/wiki/RIS,
RITLS,Rossetti Infant-Toddler Language Scale,,,
RLE,right lower extremity,,https://en.wikipedia.org/wiki/RLE,
RLF,Retrolental Fibroplasia,,https://en.wikipedia.org/wiki/RLF,
RLL,right lower lobe,,https://en.wikipedia.org/wiki/RLL,
RLQ,right lower quadrant,,https://en.wikipedia.org/wiki/Quadrants_and_regions_of_abdomen,
RML,right middle lobe,,https://en.wikipedia.org/wiki/RML,
RMS,relapsing multiple sclerosis,,https://en.wikipedia.org/wiki/Multiple_sclerosis,
RNA,ribonucleic acid,,https://en.wikipedia.org/wiki/RNA,
RNFL,retinal nerve fiber layer,,https://en.wikipedia.org/wiki/Retinal_nerve_fiber_layer,
RNP,ribonucleoprotein,,https://en.wikipedia.org/wiki/Nucleoprotein#Ribonucleoproteins,
ROC,receiver operating characteristic,,https://en.wikipedia.org/wiki/Receiver_operating_characteristic,
ROM,range of motion,,https://en.wikipedia.org/wiki/Range_of_motion,
ROM,rupture of membranes,,https://en.wikipedia.org/wiki/Rupture_of_membranes,
ROS,review of systems,,https://en.wikipedia.org/wiki/Review_of_systems,
ROSAH,"retinal dystrophy, optic nerve edema, splenomegaly, anhidrosis and migraine headache",,,
ROSC,return of spontaneous circulation,,https://en.wikipedia.org/wiki/Return_of_spontaneous_circulation,
RP,radiation pneumonitis,,https://en.wikipedia.org/wiki/Radiation-induced_lung_injury,
RP PCR,respiratory polymerase chain reaction,,,
RPE,retinal pigment epithelium,,https://en.wikipedia.org/wiki/Retinal_pigment_epithelium,
RPG,Retrograde Pyelogram,,https://en.wikipedia.org/wiki/Retrograde_pyelogram,
RPL,recurrent pregnancy loss,,https://en.wikipedia.org/wiki/Recurrent_miscarriage,
RPLV,right posterolateral ventricular branch,,,
RPP,Respiratory Pathogen Panel,,https://en.wikipedia.org/wiki/RPP,
RPR,rapid plasma regain,,https://en.wikipedia.org/wiki/RPR,
RPT,Rifapentine,,https://en.wikipedia.org/wiki/Rifapentine,
RR,relative risk,,https://en.wikipedia.org/wiki/Relative_risk,
RR,respiratory rate,,https://en.wikipedia.org/wiki/Respiratory_rate,
RRR,regular rate and rhythm,,https://en.wikipedia.org/wiki/RRR,
RRT,renal replacement therapy,,https://en.wikipedia.org/wiki/Renal_replacement_therapy,
RSD,reflex sympathetic dystrophy,,https://en.wikipedia.org/wiki/Complex_regional_pain_syndrome,
RST,renal support therapy,,https://en.wikipedia.org/wiki/RST,
RSV,respiratory syncytial virus,,https://en.wikipedia.org/wiki/Human_orthopneumovirus,
RT,radiation therapy,,https://en.wikipedia.org/wiki/Radiation_therapy,
RT,respiration therapy,,https://en.wikipedia.org/wiki/RT,
RT-PCR,reverse transcription polymerase chain reaction,,https://en.wikipedia.org/wiki/Reverse_transcription_polymerase_chain_reaction,
RTA,renal tubular acidosis,,https://en.wikipedia.org/wiki/Renal_tubular_acidosis,
RTC,replicase-transcriptase complex,,https://en.wikipedia.org/wiki/RTC,
RTK,receptor tyrosine kinase,,https://en.wikipedia.org/wiki/Receptor_tyrosine_kinase,
RTOG,Radiation Therapy Oncology Group,,https://en.wikipedia.org/wiki/Radiation_Therapy_Oncology_Group,
RUE,right upper extremity,,,
RUL,right upper lobe,,,
RUQ,right upper quadrant,,https://en.wikipedia.org/wiki/Quadrants_and_regions_of_abdomen,
RV,right ventricle,,https://en.wikipedia.org/wiki/Ventricle_(heart),
RVFWS,RV free wall longitudinal systolic strain,,,
RVP,respiratory viral panel,,https://en.wikipedia.org/wiki/RVP,
RVR,rapid ventricular response,,https://en.wikipedia.org/wiki/RVR,
RYR2,ryanodine receptor-2,,https://en.wikipedia.org/wiki/Ryanodine_receptor_2,
RasGEF,Ras guanine nucleotide exchange factor,,,
RdRp,RNA-dependent RNA polymerase,,https://en.wikipedia.org/wiki/RNA-dependent_RNA_polymerase,
Rh,rhesus factor,,https://en.wikipedia.org/wiki/Rh_blood_group_system,
rAAA,Ruptured Abdominal Aortic Aneurysm,,https://en.wikipedia.org/wiki/Regional_Aviation_Association_of_Australia,
rRT-PCR,real-time reverse transcriptase polymerase chain reaction,,https://en.wikipedia.org/wiki/Reverse_transcription_polymerase_chain_reaction,
rTMS,repetitive transcranial magnetic stimulation,,https://en.wikipedia.org/wiki/Transcranial_magnetic_stimulation,
rUTI,recurrent urinary tract infection,,,
rhGH,recombinant human growth hormone,,https://en.wikipedia.org/wiki/Growth_hormone,
