Abbreviation,Meaning,Translation,More
S/P,status post,,https://en.wikipedia.org/wiki/Sequela
SAAG,serum-ascites albumin gradient,,https://en.wikipedia.org/wiki/Serum-ascites_albumin_gradient
SAB,spontaneous abortion,,https://en.wikipedia.org/wiki/Miscarriage
SABR,spontaneous abortion rate,,https://en.wikipedia.org/wiki/Society_for_American_Baseball_Research
SACH,"solid ankle, cushioned heel",,
SAD,seasonal affective disorder,,https://en.wikipedia.org/wiki/Seasonal_affective_disorder
SAE,serious adverse event,,https://en.wikipedia.org/wiki/Serious_adverse_event
SAEF,Secondary Aortoenteric Fistula,,
SALT,Severity of Alopecia Tool,,https://en.wikipedia.org/wiki/Strategic_Arms_Limitation_Talks
SAMe,S-adenosylmethionine,,https://en.wikipedia.org/wiki/S-Adenosyl_methionine
SARI,Severe Acute Respiratory Infections,,
SARS,severe acute respiratory syndrome,,https://en.wikipedia.org/wiki/Severe_acute_respiratory_syndrome
SARS-CoV,severe acute respiratory syndrome coronavirus,,https://en.wikipedia.org/wiki/Severe_acute_respiratory_syndrome_coronavirus
SARS-CoV-2,Severe Acute Respiratory Syndrome Coronavirus-2 Virus,,https://en.wikipedia.org/wiki/Severe_acute_respiratory_syndrome_coronavirus_2
SAVR,surgical aortic valve replacement,,https://en.wikipedia.org/wiki/Aortic_valve_replacement
SB,small bowel,,https://en.wikipedia.org/wiki/Small_intestine
SBFT,small bowel follow through,,https://en.wikipedia.org/wiki/Upper_gastrointestinal_series
SBO,small bowel obstruction,,https://en.wikipedia.org/wiki/Bowel_obstruction#Small_bowel_obstruction
SBP,spontaneous bacterial peritonitis,,https://en.wikipedia.org/wiki/Spontaneous_bacterial_peritonitis
SBP,systolic blood pressure,,https://en.wikipedia.org/wiki/Blood_pressure
SBRT,Stereotactic Body Radiation Therapy,,https://en.wikipedia.org/wiki/Radiosurgery#Clinical_applications
SC,Sydenham chorea,,https://en.wikipedia.org/wiki/Sydenham%27s_chorea
SC,subcutaneous,,https://en.wikipedia.org/wiki/Subcutaneous
SCA,sudden cardiac arrest,,https://en.wikipedia.org/wiki/Cardiac_arrest
SCA,superior cerebellar artery,,https://en.wikipedia.org/wiki/Superior_cerebellar_artery
SCC,squamous cell carcinoma,,https://en.wikipedia.org/wiki/Squamous_cell_carcinoma
SCD,sudden cardiac death,,https://en.wikipedia.org/wiki/Cardiac_arrest
SCEP,spinal cord evoked potentials,,https://en.wikipedia.org/wiki/SCEP
SCI,spinal cord injury,,https://en.wikipedia.org/wiki/Spinal_cord_injury
SCID,Severe Combined Immune Deficiency,,https://en.wikipedia.org/wiki/SCID
SCIg,subcutaneous immunoglobulin,,https://en.wikipedia.org/wiki/Immunoglobulin_therapy
SCS,spinal cord stimulator,,https://en.wikipedia.org/wiki/Spinal_cord_stimulator
SCT,specialty care transport,,https://en.wikipedia.org/wiki/SCT
SCT,stem cell transplantation,,https://en.wikipedia.org/wiki/Hematopoietic_stem_cell_transplantation
SD,standard deviation,,https://en.wikipedia.org/wiki/Standard_deviation
SDB,sleep disordered breathing,,https://en.wikipedia.org/wiki/Sleep_and_breathing#Sleep-disordered_breathing_(abnormal_sleep_and_breathing_or_sleep-related_breathing_disorders)
SDH,subdural hematoma,,https://en.wikipedia.org/wiki/Subdural_hematoma
SDS,standard deviation score,,https://en.wikipedia.org/wiki/SDS
SEC,spontaneous echo contrast,,https://en.wikipedia.org/wiki/SEC
SEC,squamous epithelial cell,,https://en.wikipedia.org/wiki/Epithelium#Cell_types
SECD,Swine Enteric Coronavirus Disease,,https://en.wikipedia.org/wiki/SECD_machine
SEMLS,single-event multilevel surgery,,
SEP,somatosensory evoked potential,,https://en.wikipedia.org/wiki/Somatosensory_evoked_potential
SERM,selective-estrogen receptor modulator,,https://en.wikipedia.org/wiki/SERM
SES-CD,Simple Endoscopic Score for Crohn Disease,,
SFA,superficial femoral artery,,https://en.wikipedia.org/wiki/Femoral_artery
SG,sleeve gastrectomy,,https://en.wikipedia.org/wiki/Sleeve_gastrectomy
SGLT-2,sodium-glucose cotransporter-2,,https://en.wikipedia.org/wiki/Sodium/glucose_cotransporter_2
SGOT,serum glutamic oxaloacetic transaminase,,https://en.wikipedia.org/wiki/Aspartate_transaminase
SGPT,serum glutamic pyruvic transaminase,,https://en.wikipedia.org/wiki/Alanine_transaminase
SHBG,Sex Hormone Binding Globulin,,https://en.wikipedia.org/wiki/Sex_hormone-binding_globulin
SHM,sporadic hemiplegic migraine,,https://en.wikipedia.org/wiki/Sporadic_hemiplegic_migraine
SI,sacroiliac,,https://en.wikipedia.org/wiki/Sacroiliac_joint
SI,suicidal ideation,,https://en.wikipedia.org/wiki/Suicidal_ideation
SIBO,small intestinal bacterial overgrowth,,https://en.wikipedia.org/wiki/Small_intestinal_bacterial_overgrowth
SIDS,sudden infant death syndrome,,https://en.wikipedia.org/wiki/Sudden_infant_death_syndrome
SIJ,sacroiliac joint,,https://en.wikipedia.org/wiki/Sacroiliac_joint
SIMV,synchronized intermittent mandatory ventilation,,https://en.wikipedia.org/wiki/Intermittent_mandatory_ventilation
SIRS,Systemic Inflammatory Response Syndrome,,https://en.wikipedia.org/wiki/SIRS
SIRT,selective internal radiation therapy,,https://en.wikipedia.org/wiki/Selective_internal_radiation_therapy
SL,stool lactoferrin,,https://en.wikipedia.org/wiki/SL
SL,sublingual,,https://en.wikipedia.org/wiki/Sublingual_administration
SLE,systemic lupus erythematosus,,https://en.wikipedia.org/wiki/Lupus
SLNB,sentinel lymph node biopsy,,https://en.wikipedia.org/wiki/Sentinel_lymph_node
SLP,speech and language pathology,,https://en.wikipedia.org/wiki/Speech-language_pathology
SLRT,Straight Leg Raising Test,,https://en.wikipedia.org/wiki/Bukit_Panjang_LRT_line
SM,self massage,,https://en.wikipedia.org/wiki/SM
SM grade,Spetzler-Martin grade,,
SMA,Superior Mesenteric Artery,,https://en.wikipedia.org/wiki/Superior_mesenteric_artery
SMA,smooth muscle antibody,,https://en.wikipedia.org/wiki/SMA
SMA,spinal muscular atrophy,,https://en.wikipedia.org/wiki/Spinal_muscular_atrophy
SMART,Self-Management and Recovery Training,,https://en.wikipedia.org/wiki/Smart
SMART,Sepsis Management Alert Response Team,,https://en.wikipedia.org/wiki/Smart
SMBG,Self-Monitoring of Blood Glucose,,
SMILE,submucosal minimally invasive lingual excision,,
SMX-TMP,sulfamethoxazole-trimethoprim,,https://en.wikipedia.org/wiki/Trimethoprim/sulfamethoxazole
SNC1,serum nadir creatinine level in the first year of life,,
SND,sinus node dysfunction,,https://en.wikipedia.org/wiki/SND
SNF,skilled nursing facility,,https://en.wikipedia.org/wiki/Nursing_home
SNHL,sensorineural hearing loss,,https://en.wikipedia.org/wiki/Sensorineural_hearing_loss
SNP,Single Nucleotide Polymorphism,,https://en.wikipedia.org/wiki/Single-nucleotide_polymorphism
SNRI,serotonin-norepinephrine reuptake inhibitor,,https://en.wikipedia.org/wiki/Serotonin%E2%80%93norepinephrine_reuptake_inhibitor
SNV,single nucleotide variant,,https://en.wikipedia.org/wiki/Single-nucleotide_polymorphism
SOAP,"subjective, objective, assessment, plan",,https://en.wikipedia.org/wiki/SOAP
SOB,shortness of breath,,https://en.wikipedia.org/wiki/Shortness_of_breath
SOCS,suppressors of cytokine signaling,,https://en.wikipedia.org/wiki/Suppressor_of_cytokine_signalling
SOD,sinus ostial dilation,,
SOS,Son of Sevenless,,https://en.wikipedia.org/wiki/Son_of_Sevenless
SOT,solid organ transplant,,https://en.wikipedia.org/wiki/Sot
SPCCT,spectral photon-counting CT,,
SPECT,single photon emission computed tomography,,https://en.wikipedia.org/wiki/Single-photon_emission_computed_tomography
SQ,subcutaneous,,https://en.wikipedia.org/wiki/Subcutaneous
SR,sinus rhythm,,https://en.wikipedia.org/wiki/Sinus_rhythm
SR,survival rate,,https://en.wikipedia.org/wiki/Survival_rate
SRAAA,Suprarenal Abdominal Aortic Aneurysm,,
SRBD,sleep related breathing disorders,,https://en.wikipedia.org/wiki/Samsung_Electronics
SROM,spontaneous rupture of membranes,,https://en.wikipedia.org/wiki/Rupture_of_membranes
SRP,signal recognition peptide,,https://en.wikipedia.org/wiki/SRP
SRS,stereotactic radiosurgery,,https://en.wikipedia.org/wiki/Stereotactic_surgery
SRT,septal reduction therapy,,https://en.wikipedia.org/wiki/SRT
SSD,splice-site disruptions,,https://en.wikipedia.org/wiki/Solid-state_drive
SSED,summary of safety and effectiveness data,,
SSEP,spinal somatosensory evoked potential,,https://en.wikipedia.org/wiki/SSEP
SSI,supplemental security income,,https://en.wikipedia.org/wiki/SSI
SSI,surgical site infection,,https://en.wikipedia.org/wiki/Perioperative_mortality#Infection
SSIS,Social Skills Improvement System,,https://en.wikipedia.org/wiki/SSIS
SSNHL,sudden sensorineural hearing loss,,
SSPT,spot-scanning proton therapy,,https://en.wikipedia.org/wiki/SSPT
SSR,showed sinus rhythm,,https://en.wikipedia.org/wiki/SSR
SSRI,selective serotonin reuptake inhibitor,,https://en.wikipedia.org/wiki/Selective_serotonin_reuptake_inhibitor
SSTI,skin and soft tissue infection,,https://en.wikipedia.org/wiki/Skin_and_skin_structure_infection
SSZ,sulfasalazine,,https://en.wikipedia.org/wiki/Sulfasalazine
ST,stent thrombosis,,https://en.wikipedia.org/wiki/ST
STAT,signal transducer and activator of transcription,,https://en.wikipedia.org/wiki/STAT
STD,sexually transmitted disease,,https://en.wikipedia.org/wiki/Sexually_transmitted_infection
STEC,Shiga toxin–producing E. coli,,https://en.wikipedia.org/wiki/Stec
STEMI,ST elevation myocardial infarction,,https://en.wikipedia.org/wiki/Myocardial_infarction#STEMI
STI,sexuallty transmitted infection,,https://en.wikipedia.org/wiki/STI
STOPAH,Steroids or Pentoxifylline for Alcoholic Hepatitis,,
STRN,Soft tissue radionecrosis,,https://en.wikipedia.org/wiki/STRN
STS,Society of Thoracic Surgeons,,https://en.wikipedia.org/wiki/Society_of_Thoracic_Surgeons
STS,soft tissue sarcoma,,https://en.wikipedia.org/wiki/Soft-tissue_sarcoma
STSG,Split Thickness Skin Graft,,https://en.wikipedia.org/wiki/Skin_grafting
SUD,substance use disorder,,https://en.wikipedia.org/wiki/Substance_use_disorder
SUVmax,Maximum Standard Uptake Value,,
SVC,superior vena cava,,https://en.wikipedia.org/wiki/Superior_vena_cava
SVD,single vessel disease,,https://en.wikipedia.org/wiki/SVD
SVD,small-vessel disease,,https://en.wikipedia.org/wiki/SVD
SVD,spontaneous vaginal delivery,,https://en.wikipedia.org/wiki/Vaginal_delivery
SVG,saphenous vein graft,,https://en.wikipedia.org/wiki/Great_saphenous_vein
SVR,sustained virologic response,,https://en.wikipedia.org/wiki/SVR
SVT,supraventricular tachycardia,,https://en.wikipedia.org/wiki/Supraventricular_tachycardia
SW,social work,,https://en.wikipedia.org/wiki/Social_work
SW,stab wound,,https://en.wikipedia.org/wiki/Stab_wound
SWI,Susceptibility Weighted Imaging,,https://en.wikipedia.org/wiki/Susceptibility_weighted_imaging
SWS,Sturge–Weber syndrome,,https://en.wikipedia.org/wiki/Sturge%E2%80%93Weber_syndrome
SpO2,pulse oximetry,,https://en.wikipedia.org/wiki/Pulse_oximetry
Sx,symptoms,,https://en.wikipedia.org/wiki/Symptom
sEMG,surface electromyography,,https://en.wikipedia.org/wiki/Electromyography
sat,saturation,,https://en.wikipedia.org/wiki/Saturation
siRNA,small interfering RNA,,https://en.wikipedia.org/wiki/Small_interfering_RNA
