Abbreviation,Meaning,Translation,Wikipedia,Subject,Verified
2019-nCoV,2019 Novel Coronavirus,2019新型冠状病毒,https://en.wikipedia.org/wiki/Severe_acute_respiratory_syndrome_coronavirus_2,,
2VD,two vessels disease,两血管疾病,,,
3DCRT,three-dimensional conformal radiotherapy,三维保形放射治疗,,,
3VD,three vessels diseases,三脉疾病,,,
5-ALA,5-aminolevulinic acid,5-氨基乙酰丙酸,https://en.wikipedia.org/wiki/Aminolevulinic_acid,,
5-ASA,mesalamine,美沙拉敏,https://en.wikipedia.org/wiki/Mesalazine,,
5-FU,fluorouracil 5%,氟尿嘧啶5％,https://en.wikipedia.org/wiki/Fluorouracil,,
5ARI,5-alpha reductase inhibitor,5-α还原酶抑制剂,https://en.wikipedia.org/wiki/5%CE%B1-Reductase_inhibitor,,
5HT,5-hydroxytryptamine,5-羟色胺,https://en.wikipedia.org/wiki/Serotonin,,
6-MP,mercaptopurine,巯基嘌呤,https://en.wikipedia.org/wiki/Mercaptopurine,,
6MWD,six-minute walking distance,步行六分钟,,,
