Abbreviation,Meaning,Translation,Wikipedia,Subject,Verified
A&O,alert and oriented,机警而定向,,,
A&W,alive and well,好好地活着,https://en.wikipedia.org/wiki/Alive_%26_Well_AIDS_Alternatives,,
A-F,aortofemoral,股前,,,
A-T,Ataxia-Telangiectasia,共济失调-毛细血管扩张,,,
A-a gradient,alveolar-arterial gradient,肺泡动脉梯度,https://en.wikipedia.org/wiki/Alveolar%E2%80%93arterial_gradient,,
A-aDO2,alveolar arterial O2 difference of each,每个肺泡动脉O2的差异,,,
A2,aortic component of second heart sound,第二心音的主动脉成分,,,
AA,alopecia areata,圆秃,https://en.wikipedia.org/wiki/Alopecia_areata,,
AA,amino acid,氨基酸,https://en.wikipedia.org/wiki/Amino_acid,,
AA&O,"awake, alert, and oriented",醒着，警觉而定向,,,
AAA,Abdominal Aortic Aneurysm,腹主动脉瘤,https://en.wikipedia.org/wiki/Abdominal_aortic_aneurysm,,
AAG,autoimmune autonomic ganglionopathy,自身免疫性自主神经节病,https://en.wikipedia.org/wiki/Autoimmune_autonomic_ganglionopathy,,
AAGSV,anterior accessory great saphenous vein,前副大隐静脉,,,
AAK1,AP2-associated protein kinase 1,AP2相关蛋白激酶1,,,
AAO,American Academy of Ophthalmology,美国眼科学院,https://en.wikipedia.org/wiki/American_Academy_of_Ophthalmology,,
AAROM,active assisted range of motion,主动辅助运动范围,,,
AASLD,American Association for the Study of Liver Disease,美国肝病研究协会,https://www.aasld.org,,
AAST,American Association for the Surgery of Trauma,美国创伤外科协会,,,
AAV,adeno-associated virus,腺相关病毒,https://en.wikipedia.org/wiki/Adeno-associated_virus,,
AB,abortion,人工流产,https://en.wikipedia.org/wiki/Abortion,,
AB,alpha blocker,阿尔法阻滞剂,https://en.wikipedia.org/wiki/Alpha_blocker,,
AB,antibody,抗体,https://en.wikipedia.org/wiki/Antibody,,
ABA,applied behavior analysis,应用行为分析,https://en.wikipedia.org/wiki/Applied_behavior_analysis,,
ABAS-3,"Adaptive Behavior Assessment System, Third Edition",自适应行为评估系统，第三版,,,
ABD,albumin-binding domain,白蛋白结合域,,,
ABG,Autogenous Bone Graft,自体骨移植,,,
ABG,arterial blood gas,动脉血气,https://en.wikipedia.org/wiki/Arterial_blood_gas_test,,
ABI,Ankle Brachial Index,踝肱指数,https://en.wikipedia.org/wiki/Ankle%E2%80%93brachial_pressure_index,,
ABIC,"age, serum bilirubin, international normalized ratio, and serum creatinine",年龄，血清胆红素，国际标准化比率和血清肌酐,,,
ABLA,acute blood loss anemia,急性失血性贫血,https://en.wikipedia.org/wiki/Acute_posthemorrhagic_anemia,,
ABLLS-R,"Assessment of Basic Language and Learning Skills, Revised",基本语言和学习技能评估，修订,,,
ABP,arterial blood pressure,血压,https://en.wikipedia.org/wiki/Blood_pressure,,
ABPA,allergic bronchopulmonary aspergillosis,过敏性支气管肺曲霉病,https://en.wikipedia.org/wiki/Allergic_bronchopulmonary_aspergillosis,,
ABx,antibiotic(s),抗生素,,,
AC,Adriamycin + Cytoxan,阿霉素+细胞毒素,,,
AC,acromioclavicular,肩锁骨,https://en.wikipedia.org/wiki/Acromioclavicular_joint,,
AC,adrenal cortex,肾上腺皮质,https://en.wikipedia.org/wiki/Adrenal_cortex,,
AC,alcoholic cirrhosis,肝硬化,https://en.wikipedia.org/wiki/Cirrhosis,,
AC,anticoagulation,抗凝剂,https://en.wikipedia.org/wiki/Anticoagulant,,
AC,assist control,辅助控制,https://en.wikipedia.org/wiki/Continuous_mandatory_ventilation,,
AC,axiocervical,轴颈的,,,
ACC,American College of Cardiology,美国心脏病学院,https://en.wikipedia.org/wiki/American_College_of_Cardiology,,
ACD,Anterior Cervical Discectomy,颈前路椎间盘切除术,,,
ACDF,Anterior Cervical Decompression & Fusion,颈椎前路减压融合术,,,
ACE,Angiotensin Converting Enzyme,血管紧张素Ⅰ转化酶,https://en.wikipedia.org/wiki/Angiotensin-converting_enzyme,,
ACE-I,Angiotensin Converting Enzyme Inhibitor,血管紧张素转换酶抑制剂,,,
ACE2,angiotensin-converting enzyme 2,血管紧张素转化酶2,https://en.wikipedia.org/wiki/Angiotensin-converting_enzyme_2,,
ACI,Autologous Cartilage Implantation,自体软骨植入,,,
ACL,anterior cruciate ligament,前十字韧带,https://en.wikipedia.org/wiki/Anterior_cruciate_ligament,,
ACLS,advanced cardiac life support,高级生命支持,https://en.wikipedia.org/wiki/Advanced_cardiac_life_support,,
ACM,arrhythmogenic cardiomyopathy,心律失常性心肌病,https://en.wikipedia.org/wiki/Arrhythmogenic_cardiomyopathy,,
ACOG,American College of Obstetricians and Gynecologists,美国妇产科学院,https://en.wikipedia.org/wiki/American_College_of_Obstetricians_and_Gynecologists,,
ACP,American College of Physicians,美国医师学院,https://en.wikipedia.org/wiki/American_College_of_Physicians,,
ACR,American College of Radiology,美国放射学院,https://en.wikipedia.org/wiki/American_College_of_Radiology,,
ACR,Anterior Column Realignment,前柱重排,,,
ACS,Abdominal Compartment Syndrome,腹腔综合症,,,
ACS,Administration for Children’s Services,儿童服务管理局,,,
ACS,American College of Surgeons,美国外科医生学院,https://en.wikipedia.org/wiki/American_College_of_Surgeons,,
ACS,abnormally contracting segments,异常收缩段,,,
ACS,acute coronary syndrome,急性冠状动脉综合症,https://en.wikipedia.org/wiki/Acute_coronary_syndrome,,
ACT,Activating Clotting Time,激活凝血时间,,,
ACT,assertive community treatment,自信的社区待遇,https://en.wikipedia.org/wiki/Assertive_community_treatment,,
ACTH,adrenocorticotropic hormone,促肾上腺皮质激素,https://en.wikipedia.org/wiki/Adrenocorticotropic_hormone,,
ACV,assist control ventilation,协助控制通风,,,
ACVD,arteriosclerotic cardiovascular disease,动脉粥样硬化,https://en.wikipedia.org/wiki/Atherosclerosis,,
ACh,acetylcholine,乙酰胆碱,https://en.wikipedia.org/wiki/Acetylcholine,,Y
AChE,acetylcholinesterase,乙酰胆碱酯酶,https://en.wikipedia.org/wiki/Acetylcholinesterase,,Y
AChR,acetylcholine receptor,乙酰胆碱受体,https://en.wikipedia.org/wiki/Acetylcholine_receptor,,Y
AD,Alzheimer's disease,阿尔茨海默病,https://en.wikipedia.org/wiki/Alzheimer%27s_disease,,
AD,atopic dermatitis,异位性皮炎,https://en.wikipedia.org/wiki/Atopic_dermatitis,,
AD,right ear,右耳,,,
ADA,adenosine deaminase,腺苷脱氨酶,https://en.wikipedia.org/wiki/Adenosine_deaminase,,
ADD,attention deficit disorder,注意力缺陷多动障碍,https://en.wikipedia.org/wiki/Attention_deficit_hyperactivity_disorder,,
ADH,antidiuretic hormone,抗利尿激素,https://en.wikipedia.org/wiki/Vasopressin,,
ADHD,attention deficit hyperactivity disorder,注意力缺陷多动障碍,https://en.wikipedia.org/wiki/Attention_deficit_hyperactivity_disorder,,
ADHF,acute diastolic heart failure,急性舒张性心力衰竭,,,
ADL,activities of daily living,日常生活活动,https://en.wikipedia.org/wiki/Activities_of_daily_living,,
ADOS-2,"Autism Diagnostic Observation Schedule, Second Edition",自闭症诊断观察时间表，第二版,,,
ADP,adenosine diphosphate,二磷酸腺苷,https://en.wikipedia.org/wiki/Adenosine_diphosphate,,
ADR,Artificial Disc Replacement,人工椎间盘置换,https://en.wikipedia.org/wiki/Intervertebral_disc_arthroplasty,,
ADR,adverse drug reaction,药物不良反应,https://en.wikipedia.org/wiki/Adverse_drug_reaction,,
AE,acute exacerbation,急性加重,,,
AE,adverse event,不良事件,https://en.wikipedia.org/wiki/Adverse_event,,
AECOPD,acute exacerbations of chronic obstructive pulmonary disease,慢性阻塞性肺疾病的急性加重,,,
AED,anti-epileptic drug,抗癫痫药,,,
AED,automatic external defibrillator,自动体外心脏除颤器,https://en.wikipedia.org/wiki/Automated_external_defibrillator,,
AET,alternating esotropia,交替性内斜视,https://en.wikipedia.org/wiki/Esotropia,,
AF,ancillary feature,辅助功能,,,
AFAFP,Amniotic Fluid Alpha-Fetoprotein,羊水甲胎蛋白,,,
AFB,acid fast bacillus,耐酸杆菌,https://en.wikipedia.org/wiki/Acid-fastness,,
AFB,acid fast bacterium,耐酸细菌,,,
AFIB,atrial fibrillation,心房颤动,https://en.wikipedia.org/wiki/Atrial_fibrillation,,
AFL,atrial flutter,心房扑动,https://en.wikipedia.org/wiki/Atrial_flutter,,
AFLS,Assessment of Functional Living Skills,功能生活技能评估,,,
AFO,ankle foot orthosis,装具,https://en.wikipedia.org/wiki/Orthotics#Ankle-foot_orthosis_(AFO),,
AFP,alpha-fetoprotein,α-胎儿蛋白,https://en.wikipedia.org/wiki/Alpha-fetoprotein,,
AFT,Autologous Fat Transfer,自体脂肪转移,,,
AFV,amniotic fluid volume,羊水量,,,
AGA,appropriate for gestational age,产前发育,https://en.wikipedia.org/wiki/Prenatal_development#Growth_rate,,
AGB,Adjustable Gastric Banding,可调胃束带,,,
AGE,acute gastroenteritis,肠胃炎,https://en.wikipedia.org/wiki/Gastroenteritis,,
AH,abductor hallucis,外展幻觉,https://en.wikipedia.org/wiki/Abductor_hallucis_muscle,,
AH,alcoholic hepatitis,酒精性肝炎,https://en.wikipedia.org/wiki/Alcoholic_hepatitis,,
AHI,apnea-hypopnea index,呼吸紊乱指数,https://en.wikipedia.org/wiki/Apnea%E2%80%93hypopnea_index,,
AI,aortic insufficiency,主动脉瓣关闭不全,https://en.wikipedia.org/wiki/Aortic_insufficiency,,
AI,apnea index,呼吸暂停指数,,,
AIBV,Avian Infectious Bronchitis Virus,禽传染性支气管炎病毒,,,
AICD,automatic implantable cardioverter defibrillator,自动植入式心脏复律除颤器,,,
AIDP,Acute Inflammatory Demyelinating Polyneuropathy,急性炎症性脱髓鞘性多发性神经病,,,
AIDS,acquired immune deficiency syndrome,艾滋病,https://en.wikipedia.org/wiki/HIV/AIDS,,
AIED,Autoimmune Inner Ear Disease,自身免疫性内耳疾病,,,
AIIRD,autoimmune inflammatory rheumatic disease,自身免疫性炎性风湿病,,,
AIS,ASIA impairment scale,亚洲减损量表,,,
AIS,acute ischemic stroke,急性缺血性中风,,,
AIUM,American Institute of Ultrasound in Medicine,美国超声医学研究所,https://en.wikipedia.org/wiki/American_Institute_of_Ultrasound_in_Medicine,,
AJ,ankle jerk,脚踝混蛋,https://en.wikipedia.org/wiki/Ankle_jerk_reflex,,
AJCC,American Joint Committee on Cancer,美国癌症联合委员会,https://en.wikipedia.org/wiki/American_Joint_Committee_on_Cancer,,
AK,Arcuate keratotomy,弓形角膜切开术,,,
AK,above knee,膝盖以上,,,
AK,actinic keratosis,光化性角化病,https://en.wikipedia.org/wiki/Actinic_keratosis,,
AKA,above knee amputation,截肢,https://en.wikipedia.org/wiki/Amputation#Types,,
AKI,acute kidney injury,急性肾损伤,https://en.wikipedia.org/wiki/Acute_kidney_injury,,
ALA,5-aminolevulinic acid,5-氨基乙酰丙酸,https://en.wikipedia.org/wiki/Aminolevulinic_acid,,
ALA-PDT,5-aminolevulinic acid-mediated photodynamic therapy,5-氨基乙酰丙酸介导的光动力疗法,,,
ALD,Assistive Listening Device,辅助听力装置,https://en.wikipedia.org/wiki/Assistive_listening_device,,
ALDH,aldehyde dehydrogenase,醛脱氢酶,https://en.wikipedia.org/wiki/Aldehyde_dehydrogenase,,
ALF,acute liver failure,急性肝衰竭,https://en.wikipedia.org/wiki/Acute_liver_failure,,
ALI,Acute Limb Ischemia,急性肢体缺血,,,
ALI,acute lung injury,急性呼吸窘迫综合症,https://en.wikipedia.org/wiki/Acute_respiratory_distress_syndrome,,
ALIF,Anterior Lumbar Interbody Fusion,前腰椎椎间融合,,,
ALK,anaplastic lymphoma kinase,间变性淋巴瘤激酶,https://en.wikipedia.org/wiki/Anaplastic_lymphoma_kinase,,
ALL,Acute lymphoblastic leukemia,急性淋巴性白血病,https://en.wikipedia.org/wiki/Acute_lymphoblastic_leukemia,,Y
ALL,allergies,过敏,https://en.wikipedia.org/wiki/Allergy,,
ALNT,Autologous Lymph Node Transfer,自体淋巴结转移,,,
ALP,alkaline phosphatase,碱性磷酸酶,https://en.wikipedia.org/wiki/Alkaline_phosphatase,,
ALS,advanced life support,先进的生活支持,https://en.wikipedia.org/wiki/Advanced_life_support,,
ALS,amyotrophic lateral sclerosis,肌萎缩性脊髓侧索硬化症,https://en.wikipedia.org/wiki/Amyotrophic_lateral_sclerosis,,
ALT,alanine aminotransferase,谷丙转氨酶,https://en.wikipedia.org/wiki/Alanine_transaminase,,
ALTE,Apparent Life-Threatening Event,明显威胁生命的事件,,,
AMA,advanced maternal age,高龄产妇,https://en.wikipedia.org/wiki/Advanced_maternal_age,,
AMA,against medical advice,反对医疗建议,https://en.wikipedia.org/wiki/Against_medical_advice,,
AMA,antimitochondrial antibody,抗线粒体抗体,https://en.wikipedia.org/wiki/Anti-mitochondrial_antibody,,
AMC-BAL,Amsterdam Medical Center bioartificial liver,阿姆斯特丹医学中心生物人工肝,,,
AMD,aging macular degeneration,黄斑变性,,,
AMH,anti-mullerian hormone,抗穆氏管荷尔蒙,https://en.wikipedia.org/wiki/Anti-M%C3%BCllerian_hormone,,
AMI,acute myocardial infarction,心肌梗死,https://en.wikipedia.org/wiki/Myocardial_infarction,,
AML,acute myelogenous leukemia,急性骨髓性白血病,https://en.wikipedia.org/wiki/Acute_myeloid_leukemia,,
AMLS,advanced medical life support,先进的医疗生活支持,,,
AMML,acute myelomonocytic leukemia,急性粒细胞性白血病,https://en.wikipedia.org/wiki/Acute_myelomonocytic_leukemia,,
AMP,amphetamine,苯丙胺,https://en.wikipedia.org/wiki/Amphetamine,,
AMS,altered mental status,精神状态改变,https://en.wikipedia.org/wiki/Altered_level_of_consciousness,,
ANA,antinuclear antibody,抗核抗体,https://en.wikipedia.org/wiki/Anti-nuclear_antibody,,
ANC,absolute neutrophil count,中性粒细胞绝对计数,https://en.wikipedia.org/wiki/Absolute_neutrophil_count,,
ANED,alive no evidence of disease,活着没有疾病的证据,,,
ANF,atrial natriuretic factor,心房钠尿肽,https://en.wikipedia.org/wiki/Atrial_natriuretic_peptide,,
ANOVA,analysis of variance,方差分析,https://en.wikipedia.org/wiki/Analysis_of_variance,,
ANP,atrial natriuretic peptide,心房钠尿肽,https://en.wikipedia.org/wiki/Atrial_natriuretic_peptide,,
AOB,Aortic Occlusion Balloon,主动脉阻塞球囊,,,
AOB,assignment of benefits,利益分配,,,
AOCD,Anemia of Chronic Disease,慢性疾病性贫血,https://en.wikipedia.org/wiki/Anemia_of_chronic_disease,,
AOD,atlanto-occipital dislocation,寰枕脱位,https://en.wikipedia.org/wiki/Atlanto-occipital_dislocation,,
AODM,adult-onset diabetes mellitus,成人发病的糖尿病,,,
AOM,Acute Otitis Media,急性中耳炎,,,
AOT,Assisted Outpatient Treatment,辅助门诊治疗,,,
AP,abdomen/pelvis,腹部/骨盆,,,
AP,anteroposterior,人体解剖学方位,https://en.wikipedia.org/wiki/Anatomical_terms_of_location#Anterior_and_posterior,,
AP,attending physician,主治医师,https://en.wikipedia.org/wiki/Attending_physician,,
AP-MS,affinity-purification mass spectrometry,亲和纯化质谱,,,
APAAP,alkaline phosphatase monoclonal anti-alkaline phosphatase,碱性磷酸酶单克隆抗碱性磷酸酶,,,
APAP,acetaminophen,对乙酰氨基酚,https://en.wikipedia.org/wiki/Paracetamol,,
APAP,autotitrating positive airway pressure,自动滴定气道正压,,,
APC,adenomatous polyposis coli,腺瘤性息肉病,https://en.wikipedia.org/wiki/Adenomatous_polyposis_coli,,
APC,atrial premature contraction,心房过早收缩,https://en.wikipedia.org/wiki/Premature_atrial_contraction,,
APCD,advanced pneumatic compression device,先进的气动压缩装置,,,
APD,Auditory Processing Disorder,听觉处理障碍,https://en.wikipedia.org/wiki/Auditory_processing_disorder,,
APD,Automated Peritoneal Dialysis,自动化腹膜透析,,,
APHE,arterial phase hyperenhancement,动脉期过度增强,,,
APL,abductor pollicis longus,外阴长牙,https://en.wikipedia.org/wiki/Abductor_pollicis_longus_muscle,,
APR,Abdominal Perineal Resection,腹部会阴切除,,,
APRV,airway pressure release ventilation,气道压力释放通气,https://en.wikipedia.org/wiki/Airway_pressure_release_ventilation,,
AQ,aquapheresis,水分置换疗法,https://en.wikipedia.org/wiki/Aquapheresis,,
AQLQ,Asthma Quality of Life Questionnaire,哮喘生活质量问卷,,,
AR,Allergic Rhinitis,过敏性鼻炎,,,
AR,androgen receptor,雄激素受体,https://en.wikipedia.org/wiki/Androgen_receptor,,
AR,aortic regurgitation,主动脉瓣关闭不全,https://en.wikipedia.org/wiki/Aortic_insufficiency,,
ARA,accessory renal arteries,副肾动脉,,,
ARA,arachidonic acid,花生四烯酸,https://en.wikipedia.org/wiki/Arachidonic_acid,,
ARAG,autosomal recessive agammaglobulinemia,常染色体隐性隐球蛋白球蛋白血症,,,
ARB,angiotensin II receptor blocker,血管紧张素II受体拮抗剂,https://en.wikipedia.org/wiki/Angiotensin_II_receptor_blocker,,
ARDS,acute respiratory distress syndrome,急性呼吸窘迫综合症,https://en.wikipedia.org/wiki/Acute_respiratory_distress_syndrome,,
ARF,acute renal failure,急性肾损伤,https://en.wikipedia.org/wiki/Acute_kidney_injury,,
ARF,acute rheumatic fever,风湿热,https://en.wikipedia.org/wiki/Rheumatic_fever,,
ARM,anorectal malformation,肛肠畸形,https://en.wikipedia.org/wiki/Imperforate_anus,,
AROM,artificial rupture of membranes,膜的人为破裂,https://en.wikipedia.org/wiki/Artificial_rupture_of_membranes,,
