Abbreviation,Meaning,Translation,Wikipedia,Subject,Verified
B-ALL,B-cell acute lymphoblastic leukemia,急性淋巴性白血病,https://en.wikipedia.org/wiki/Acute_lymphoblastic_leukemia,,
BA,blood alcohol,血液酒精浓度,https://en.wikipedia.org/wiki/Blood_alcohol_content,,
BAC,blood alcohol concentration,血液酒精浓度,https://en.wikipedia.org/wiki/Blood_alcohol_content,,
BAHA,Bone Anchored Hearing Aid,骨锚式助听器,https://en.wikipedia.org/wiki/Bone-anchored_hearing_aid,,
BAK,benzalkonium chloride,苯扎氯铵,https://en.wikipedia.org/wiki/Benzalkonium_chloride,,
BAL,blood alcohol level,血液酒精浓度,https://en.wikipedia.org/wiki/Blood_alcohol_content,,
BAL,bronchoalveolar lavage,支气管肺泡灌洗,https://en.wikipedia.org/wiki/Bronchoalveolar_lavage,,
BB-AVF,brachiobasilic arteriovenous fistula,腕肱动静脉瘘,,,
BBB,blood-brain barrier,血脑屏障,https://en.wikipedia.org/wiki/Blood%E2%80%93brain_barrier,,
BBB,bundle branch block,束支传导阻滞,https://en.wikipedia.org/wiki/Bundle_branch_block,,
BCBA,board-certified behavior analyst,董事会认证的行为分析师,,,
BCC,basal cell carcinoma,基底细胞癌,https://en.wikipedia.org/wiki/Basal-cell_carcinoma,,
BCG,Bacillus Calmette-Guerin,卡介苗,https://en.wikipedia.org/wiki/BCG_vaccine,,
BCL,bandage contact lens,隐形眼镜,https://en.wikipedia.org/wiki/Contact_lens#Therapeutic_soft_lenses,,
BCP,birth control pills,避孕药,https://en.wikipedia.org/wiki/Oral_contraceptive_pill,,
BCRL,breast cancer-related lymphedema,乳腺癌相关淋巴水肿,,,
BCS,breast-conserving surgery,保乳手术,https://en.wikipedia.org/wiki/Breast-conserving_surgery,,
BCSVA,best spectacle-corrected visual acuity,最佳眼镜矫正视力,,,
BD,bile duct,胆管,https://en.wikipedia.org/wiki/Bile_duct,,
BD,bronchodilator,支气管扩张药,https://en.wikipedia.org/wiki/Bronchodilator,,
BE,barium enema,大肠钡剂灌肠造影,https://en.wikipedia.org/wiki/Lower_gastrointestinal_series,,
BFIE,benign familial infantile epilepsy,良性家族性婴儿癫痫,https://en.wikipedia.org/wiki/Benign_familial_infantile_epilepsy,,
BG,blood glucose,血糖,https://en.wikipedia.org/wiki/Blood_sugar_level,,
BHR,Birmingham Hip Resurfacing,伯明翰髋关节重铺,https://en.wikipedia.org/wiki/Hip_resurfacing,,
BIBEMS,brought in by emergency medical services,由紧急医疗服务带来,,,
BID,twice daily,每天两次,,,
BIV,Biventricular,双心室,,,
BJ,body jacket,身体外套,,,
BK,below knee,膝盖以下,,,
BKA,below knee amputation,截肢,https://en.wikipedia.org/wiki/Amputation#Types,,
BLAF,Behavior Language Assessment Form,行为语言评估表,,,
BLC,blue-light cystoscopy,蓝光膀胱镜,,,
BLE,bilateral lower extremities,双下肢,,,
BLSI,blunt liver and spleen injury,肝脾脏钝性损伤,,,
BM,bone marrow,骨髓,https://en.wikipedia.org/wiki/Bone_marrow,,
BM,bowel movement,排便,https://en.wikipedia.org/wiki/Defecation,,
BMD,bone mineral density,骨密度,https://en.wikipedia.org/wiki/Bone_density,,
BMI,body mass index,身高体重指数,https://en.wikipedia.org/wiki/Body_mass_index,,
BMP,basic metabolic panel,基本代谢小组,https://en.wikipedia.org/wiki/Basic_metabolic_panel,,
BMP,bone morphogenetic protein,骨塑型蛋白,https://en.wikipedia.org/wiki/Bone_morphogenetic_protein,,
BMR,basal metabolic rate,基础代谢率,https://en.wikipedia.org/wiki/Basal_metabolic_rate,,
BMS,bare metal stent,裸金属支架,,,
BMS,bare metal stent,裸金属支架,,,
BMT,bone marrow transplantation,骨髓移植,https://en.wikipedia.org/wiki/Hematopoietic_stem_cell_transplantation,,
BNP,brain natriuretic peptide,脑利钠肽,https://en.wikipedia.org/wiki/Ventricular_natriuretic_peptide,,
BO,bowel obstruction,肠梗阻,https://en.wikipedia.org/wiki/Bowel_obstruction,,
BOC,biopsy of cervix,宫颈活检,,,
BOOP,Bronchiolitis Obliterans Organizing Pneumonia,闭塞性细支气管炎组织性肺炎,,,
BOTOX,botulinum toxin,肉毒杆菌毒素,https://en.wikipedia.org/wiki/Botulinum_toxin,,
