Abbreviation,Meaning,Translation,Wikipedia,Subject,Verified
D,diopter,屈光度,https://en.wikipedia.org/wiki/Dioptre,,
D&C,dilatation & curettage,刮除术,,,
D/C,discharge,卸货,https://en.wikipedia.org/wiki/Discharge,,
D/W,dextrose in water,水中的葡萄糖,,,
DAA,direct-acting antiviral,直接作用抗病毒药,,,
DAC,dose-adjustment coefficient,剂量调整系数,,,
DAD,diffuse alveolar damage,弥漫性肺泡损伤,https://en.wikipedia.org/wiki/Diffuse_alveolar_damage,,
DAO,diamine oxidase,胺氧化酶,https://en.wikipedia.org/wiki/Diamine_oxidase,,
DAPT,dual antiplatelet therapy,双重抗血小板治疗,https://en.wikipedia.org/wiki/Antiplatelet_drug#Dual_antiplatelet_therapy,,
DASH,"Disabilities of the Arm, Shoulder and Hand",手臂，肩膀和手的残疾,,,
DBP,diastolic blood pressure,血压,https://en.wikipedia.org/wiki/Blood_pressure,,
DBS,deep brain stimulation,脑深层刺激手术,https://en.wikipedia.org/wiki/Deep_brain_stimulation,,
DBT,dialectical behavior therapy,辩证行为疗法,https://en.wikipedia.org/wiki/Dialectical_behavior_therapy,,
DCB,drug-coated balloon,药物涂层气球,,,
DCI,distal contractile integral,远端收缩积分,,,
DCIS,ductal carcinoma in situ,乳腺导管原位癌,https://en.wikipedia.org/wiki/Ductal_carcinoma_in_situ,,
DCM,dilated cardiomyopathy,扩张型心肌病,https://en.wikipedia.org/wiki/Dilated_cardiomyopathy,,
DDD,degenerative disc disease,椎间盘退行性疾病,https://en.wikipedia.org/wiki/Degenerative_disc_disease,,
DDI,drug to drug interaction,药物间相互作用,,,
DDX,differential diagnosis,鉴别诊断,https://en.wikipedia.org/wiki/Differential_diagnosis,,
DE,donor egg,供体卵,,,
DEB,diepoxybutane,二环氧丁烷,https://en.wikipedia.org/wiki/Diepoxybutane,,
DED,dry eye disease,干眼症,https://en.wikipedia.org/wiki/Dry_eye_syndrome,,
DES,drug-eluting stent,药物洗脱支架,https://en.wikipedia.org/wiki/Drug-eluting_stent,,
DEXA,dual-energy x-ray absorption,双能X射线吸收,,,
DFE,dilated fundus examination,眼底扩大检查,https://en.wikipedia.org/wiki/Dilated_fundus_examination,,
DFS,disease-free survival,无病生存,https://en.wikipedia.org/wiki/Survival_rate,,
DFV,Doppler flow velocimetry,多普勒流速仪,,,
DGE,Delayed Gastric Emptying,胃排空延迟,,,
DGL,deglycyrrhizinated licorice,去甘草的甘草,https://en.wikipedia.org/wiki/Deglycyrrhizinated_licorice,,
DHA,docosahexaenoic acid,二十二碳六烯酸,https://en.wikipedia.org/wiki/Docosahexaenoic_acid,,
DHT,dihydrotestosterone,双氢睾酮,https://en.wikipedia.org/wiki/Dihydrotestosterone,,
DI,diabetes insipidus,尿崩症,https://en.wikipedia.org/wiki/Diabetes_insipidus,,
DIC,disseminated intravascular coagulation,弥散性血管内凝血,https://en.wikipedia.org/wiki/Disseminated_intravascular_coagulation,,
DIEP,deep inferior epigastric artery perforator,上腹深部下动脉穿支器,,,
DILI,drug-induced liver injury,药物性肝损伤,https://en.wikipedia.org/wiki/Hepatotoxicity,,
DIPG,diffuse intrinsic pontine glioma,弥漫性桥脑神经胶质瘤,https://en.wikipedia.org/wiki/Diffuse_intrinsic_pontine_glioma,,
DISE,drug-induced sleep endoscopy,药物诱发的内窥镜检查,,,
DISIDA,cholescintigraphy,胆管造影,https://en.wikipedia.org/wiki/Cholescintigraphy,,
DJD,degenerative joint disease,骨关节炎,https://en.wikipedia.org/wiki/Osteoarthritis,,
DKA,diabetic ketoacidosis,糖尿病酮症酸中毒,https://en.wikipedia.org/wiki/Diabetic_ketoacidosis,,
DL,Direct Laryngoscopy,喉镜检查术,https://en.wikipedia.org/wiki/Laryngoscopy,,
DL,distal latency,远端潜伏期,,,
DL,dyslipidemia,血脂异常,https://en.wikipedia.org/wiki/Dyslipidemia,,
DLCT,dual-layer CT,双层CT,,,
DLGNT,diffuse leptomeningeal glioneuronal tumor,弥漫性软脑膜神经胶质瘤,,,
DLT,decongestive lymphatic therapy,减充血淋巴疗法,,,
DM,dermatomyositis,皮肌炎,https://en.wikipedia.org/wiki/Dermatomyositis,,
DM,diabetes mellitus,糖尿病,https://en.wikipedia.org/wiki/Diabetes,,
DMARD,disease-modifying antirheumatic drug,改变疾病的抗风湿药,https://en.wikipedia.org/wiki/Disease-modifying_antirheumatic_drug,,
DMD,Duchenne muscular dystrophy,杜兴氏肌肉营养不良症,https://en.wikipedia.org/wiki/Duchenne_muscular_dystrophy,,
DMDD,disruptive mood dysregulated disorder,破坏性情绪失调症,,,
DMEM,Dulbecco’s modified Eagle’s medium,Dulbecco改良的Eagle媒介,,,
DMR,differentially methylated region,差异甲基化区,https://en.wikipedia.org/wiki/Differentially_methylated_region,,
DMSO,dimethyl sulfoxide,二甲基亚砜,https://en.wikipedia.org/wiki/Dimethyl_sulfoxide,,
DMT,disease-modifying therapy,疾病缓解疗法,,,
DNA,deoxyribonucleic acid,脱氧核糖核酸,https://en.wikipedia.org/wiki/DNA,,
DNI,do not intubate,不要插管,,,
DNR,do not resuscitate,拒绝心肺复苏术,https://en.wikipedia.org/wiki/Do_not_resuscitate,,
DNS,Deviated Nasal Septum,鼻中隔偏斜,,,
