Abbreviation,Meaning,Translation,Wikipedia,Subject,Verified
F/U,follow up,跟进,https://en.wikipedia.org/wiki/Follow-up,,
FABER,"Flexion, Abduction and External Rotation",屈曲，外展和外旋,https://en.wikipedia.org/wiki/Patrick%27s_test,,
FAD,flavin adenine dinucleotide,黄素腺嘌呤二核苷酸,https://en.wikipedia.org/wiki/Flavin_adenine_dinucleotide,,
FAI,Femoral-Acetabular Impingement,股髋臼撞击,https://en.wikipedia.org/wiki/FAI,,
FAP,familial adenomatous polyposis,家族性腺瘤性息肉病,https://en.wikipedia.org/wiki/Familial_adenomatous_polyposis,,
FASPS,familial advanced sleep phase syndrome,家族性晚期睡眠相综合征,https://en.wikipedia.org/wiki/Advanced_sleep_phase_disorder,,
FB,foreign body,异物,https://en.wikipedia.org/wiki/Foreign_body,,
FBS,fasting blood sugar,空腹血糖,https://en.wikipedia.org/wiki/Glucose_test,,
FBS,fetal bovine serum,胎牛血清,https://en.wikipedia.org/wiki/Fetal_bovine_serum,,
FBSS,Failed Back Surgery Syndrome,失败的背部手术综合症,https://en.wikipedia.org/wiki/Failed_back_syndrome,,
FC,fecal calprotectin,粪钙卫蛋白,https://en.wikipedia.org/wiki/Faecal_calprotectin,,
FC,functional class,功能类,https://en.wikipedia.org/wiki/Functional_classification,,
FCR,"fludarabine, cyclophosphamide and rituximab",氟达拉滨，环磷酰胺和利妥昔单抗,https://en.wikipedia.org/wiki/FCR,,
FDA,Food and Drug Administration,食品和药物管理局,https://en.wikipedia.org/wiki/Food_and_Drug_Administration,,
FDG,fluorodeoxyglucose,氟脱氧葡萄糖,https://en.wikipedia.org/wiki/Fluorodeoxyglucose_(18F),,
FDP,flexor digitorum profundus,趾深屈肌,https://en.wikipedia.org/wiki/Flexor_digitorum_profundus_muscle,,
FDR,false discovery rate,错误发现率,https://en.wikipedia.org/wiki/False_discovery_rate,,
FET,frozen embryo transfer,冷冻胚胎移植,https://en.wikipedia.org/wiki/Embryo_transfer#Fresh_versus_frozen,,
FEV1,forced expiratory volume 1 second,强制呼气量1秒,https://en.wikipedia.org/wiki/Spirometry#Forced_expiratory_volume_in_1_second_(FEV1),,
FF,fluticasone furoate,氟替卡松糠酸酯,https://en.wikipedia.org/wiki/Fluticasone_furoate,,
FF,follicular fluid,卵泡液,https://en.wikipedia.org/wiki/Follicular_fluid,,
FFDM,freedom from widespread distant metastasis,免于广泛的远处转移,,,
FFPE,formalin-fixed paraffin-embedded ,福尔马林固定石蜡包埋,,,
FFR,filtering facepiece respirator,过滤式面罩呼吸器,https://en.wikipedia.org/wiki/Mechanical_filter_(respirator)#Filtering_facepiece_respirators,,
FG,Fournier’s gangrene,弗尼尔氏坏疽,https://en.wikipedia.org/wiki/FG,,
FHF,fulminant hepatic failure,暴发性肝衰竭,https://en.wikipedia.org/wiki/Acute_liver_failure,,
FHM,familial hemiplegic migraine,家族性偏瘫偏头痛,https://en.wikipedia.org/wiki/Familial_hemiplegic_migraine,,
FHO,Femoral Head Ostectomy,股骨头骨切除术,https://en.wikipedia.org/wiki/Femoral_head_ostectomy,,
FIP,Feline Infektiöse Peritonitis,猫传染性腹膜炎,https://en.wikipedia.org/wiki/FIP,,
FISH,fluorescence in situ hybridization,荧光原位杂交,https://en.wikipedia.org/wiki/Fluorescence_in_situ_hybridization,,
FIT,fellow in training,培训研究员,https://en.wikipedia.org/wiki/Fit,,
FITC,fluorescein isothiocyanate,异硫氰酸荧光素,https://en.wikipedia.org/wiki/Fluorescein_isothiocyanate,,
FLAIR,fluid-attenuated inversion recovery,流体衰减反演恢复,https://en.wikipedia.org/wiki/Fluid-attenuated_inversion_recovery,,
FLIM,fluorescence lifetime imaging microscopy,荧光寿命成像显微镜,https://en.wikipedia.org/wiki/Fluorescence-lifetime_imaging_microscopy,,
FM,fetal monitor,胎儿监护仪,https://en.wikipedia.org/wiki/FM,,
FM,fibromyalgia,纤维肌痛,https://en.wikipedia.org/wiki/Fibromyalgia,,
FMF,Familial Mediterranean Fever,家族性地中海热,https://en.wikipedia.org/wiki/Familial_Mediterranean_fever,,
FMN,flavin mononucleotide,黄素单核苷酸,https://en.wikipedia.org/wiki/Flavin_mononucleotide,,
FMS,fibromyalgia syndrome,纤维肌痛综合征,https://en.wikipedia.org/wiki/Fibromyalgia,,
FN,false negative,假阴性,https://en.wikipedia.org/wiki/False_positives_and_false_negatives#False_negative_error,,
FN,femoral nerve,股神经,https://en.wikipedia.org/wiki/Femoral_nerve,,
FNA,fine needle aspiration,细针抽吸,https://en.wikipedia.org/wiki/Fine-needle_aspiration,,
FNAB,fine needle aspiration biopsy,细针穿刺活检,https://en.wikipedia.org/wiki/Fine-needle_aspiration,,
FO,fluid overload,流体过载,https://en.wikipedia.org/wiki/Hypervolemia,,
FOB,father of baby,宝贝的父亲,https://en.wikipedia.org/wiki/Fob,,
FOBT,fecal occult blood testing,粪便潜血测试,https://en.wikipedia.org/wiki/FOBT,,
FP,false positive,假阳性,https://en.wikipedia.org/wiki/False_positives_and_false_negatives#False_positive_error,,
FPL,flexor pollicis longus,长屈肌,https://en.wikipedia.org/wiki/Flexor_pollicis_longus_muscle,,
FRAX,fracture risk assessment,骨折风险评估,https://en.wikipedia.org/wiki/FRAX,,
FRC,functional residual capacity,功能剩余容量,https://en.wikipedia.org/wiki/Functional_residual_capacity,,
FSG,fasting serum glucose,空腹血糖,https://en.wikipedia.org/wiki/FSG,,
FSG,finger stick glucose,指棒葡萄糖,https://en.wikipedia.org/wiki/FSG,,
FSGS,focal segmental glomerulosclerosis,局灶节段性肾小球硬化,https://en.wikipedia.org/wiki/Focal_segmental_glomerulosclerosis,,
FSH,follicle stimulating hormone,卵泡刺激素,https://en.wikipedia.org/wiki/Follicle-stimulating_hormone,,
FSP,familial spastic paraparesis,家族性痉挛性轻瘫,https://en.wikipedia.org/wiki/Hereditary_spastic_paraplegia,,
FSS,Freeman-Sheldon syndrome,Freeman-Sheldon综合征,https://en.wikipedia.org/wiki/Freeman%E2%80%93Sheldon_syndrome,,
FT,first trimester,前三个月,https://en.wikipedia.org/wiki/Pregnancy#First_trimester,,
FT,functional threshold,功能阈值,https://en.wikipedia.org/wiki/FT,,
FTM,female-to-male,女性对男性,https://en.wikipedia.org/wiki/Trans_man#Terminology,,
FTSG,Full Thickness Skin Graft,全厚度植皮,,,
FTT,failure to thrive,thr壮成长,https://en.wikipedia.org/wiki/Failure_to_thrive,,
FUO,Fever of Unknown Origin,来历不明的热,https://en.wikipedia.org/wiki/FUO,,
FVC,forced vital capacity,强制肺活量,https://en.wikipedia.org/wiki/Spirometry#Forced_vital_capacity_(FVC),,
FVL,factor V Leiden,V因子莱顿,https://en.wikipedia.org/wiki/Factor_V_Leiden,,
FeNO,fractional exhaled nitric oxide,呼出气一氧化氮,,,
FiO2,fractional inspired oxygen concentration,吸入氧气分数,https://en.wikipedia.org/wiki/Fraction_of_inspired_oxygen,,
Fx,fracture,断裂,https://en.wikipedia.org/wiki/Fracture,,
fEVAR,fenestrated endovascular aneurysm repair,有孔的血管内动脉瘤修复,https://en.wikipedia.org/wiki/Endovascular_aneurysm_repair#Fenestrated_EVAR,,
fPSA,free prostate specific antigen,游离前列腺特异抗原,,,
