Abbreviation,Meaning,Translation,Wikipedia,Subject,Verified
G-CSF,granulocyte colony-stimulating factor,粒细胞集落刺激因子,https://en.wikipedia.org/wiki/Granulocyte_colony-stimulating_factor,,
G-J,gastrostomy-jejunostomy/Gastro-Jejunal,胃造口-空肠造口/胃-空肠,,,
G-POEM,gastric per oral endoscopic myotomy,胃内镜下肌切开术,,,
GA,general anesthesia,全身麻醉,https://en.wikipedia.org/wiki/General_anaesthesia,,
GABA,Gamma-Aminobutyric acid,γ-氨基丁酸,https://en.wikipedia.org/wiki/Gamma-Aminobutyric_acid,,
GABHS,group A β-hemolytic streptococcal,A组β溶血性链球菌,https://en.wikipedia.org/wiki/Group_A_streptococcal_infection,,
GAD,general anxiety disorder,一般性焦虑症,https://en.wikipedia.org/wiki/Generalized_anxiety_disorder,,
GAG,glycosaminoglycan,糖胺聚糖,https://en.wikipedia.org/wiki/Glycosaminoglycan,,
GAHS,Glasgow Alcoholic Hepatitis Score,格拉斯哥酒精性肝炎评分,https://en.wikipedia.org/wiki/Gahs,,
GAK,Cyclin G-associated kinase,细胞周期蛋白G相关激酶,https://en.wikipedia.org/wiki/GAK,,
GAS,Gender Affirmation Surgery,性别确认手术,,,
GAS,Group A Streptococcus,A组链球菌,,,
GB,gallbladder,胆囊,https://en.wikipedia.org/wiki/Gallbladder,,
GBM,glioblastoma multiforme,胶质母细胞瘤,https://en.wikipedia.org/wiki/Glioblastoma,,
GBM-PNC,glioblastomas with primitive neuronal components,具有原始神经元成分的胶质母细胞瘤,,,
GBS,Group B streptococcal,B组链球菌,https://en.wikipedia.org/wiki/GBS,,
GC,Gonorrhea,淋病,https://en.wikipedia.org/wiki/Gonorrhea,,
GC-rich,Guanine/Cytosine-rich,鸟嘌呤/富含胞嘧啶,,,
GCS,Glasgow coma scale,格拉斯哥昏迷量表,https://en.wikipedia.org/wiki/Glasgow_Coma_Scale,,
GCSI,Gastroparesis Cardinal Symptoms Index,胃轻瘫主要症状指数,https://en.wikipedia.org/wiki/Order_of_the_Star_of_India,,
