Abbreviation,Meaning,Translation,Wikipedia,Subject,Verified
H&H,hemoglobin and hematocrit,血红蛋白和血细胞比容,,,
H&P,history and physical,历史和身体,https://en.wikipedia.org/wiki/Admission_note,,
H/H,hemoglobin/hematocrit,血红蛋白/血细胞比容,,,
H20,water,水,https://en.wikipedia.org/wiki/Water,,
H2O2,hydrogen peroxide,过氧化氢,https://en.wikipedia.org/wiki/Hydrogen_peroxide,,
HA,headache,头痛,https://en.wikipedia.org/wiki/Headache,,
HA,hearing aid,助听器,https://en.wikipedia.org/wiki/Hearing_aid,,
HA,histamine,组胺,https://en.wikipedia.org/wiki/Histamine,,
HA,hyaluronic acid,玻尿酸,https://en.wikipedia.org/wiki/Hyaluronic_acid,,
HA-R,histamine receptor,组胺受体,https://en.wikipedia.org/wiki/Histamine_receptor,,
HAART,highly active antiretroviral therapy,抗逆转录病毒药物,https://en.wikipedia.org/wiki/Management_of_HIV/AIDS,,
HAE,human airway epithelia,人气道上皮,,,
HAGMA,High Anion Gap Metabolic Acidosis,高阴离子间隙代谢性酸中毒,,,
HAL,hexaminolevulinate,六乙酰基乙酰丙酸酯,,,
HAM-D,Hamilton Depression Rating Scale,汉密尔顿抑郁量表,https://en.wikipedia.org/wiki/Hamilton_Rating_Scale_for_Depression,,
HAP,hospital-acquired pneumonia,医院获得性肺炎,https://en.wikipedia.org/wiki/Hospital-acquired_pneumonia,,
HAPE,high altitude pulmonary edema,高原肺水肿,https://en.wikipedia.org/wiki/High-altitude_pulmonary_edema,,
HAS-BLED,"hypertension, abnormal renal and liver function, stroke, bleeding, labile INR, elderly, drugs or alcohol",高血压，肾和肝功能异常，中风，出血，INR不稳定，老年人，药物或酒精,,,
HAT,"hypoxanthine, aminopterin, thymidine",次黄嘌呤，氨基蝶呤，胸苷,,,
HAV,hepatitis A virus,甲型肝炎,https://en.wikipedia.org/wiki/Hepatitis_A#Virology,,
HAVB,high-grade atrioventricular block,高档房室传导阻滞,,,
HBA,hepatobiliary agent,肝胆病,,,
HBI,HARVEY-BRADSHAW INDEX,哈维·布拉索夫指数,,,
HBO,hyperbaric oxygen,高压氧治疗,https://en.wikipedia.org/wiki/Hyperbaric_medicine,,
HBOT,hyperbaric oxygen therapy,高压氧治疗,https://en.wikipedia.org/wiki/Hyperbaric_medicine,,
HBV,hepatitis B virus,乙型肝炎病毒,https://en.wikipedia.org/wiki/Hepatitis_B_virus,,
HBeAg,hepatitis B e-antigen,乙型肝炎电子抗原,,,
HBsAg,Hepatitis B surface antigen,乙肝表面抗原,https://en.wikipedia.org/wiki/HBsAg,,
