Abbreviation,Meaning,Translation,Wikipedia,Subject,Verified
I&D,incision and drainage,切开引流,https://en.wikipedia.org/wiki/Incision_and_drainage,,
I&D,irrigation and debridement,灌溉和清创术,,,
I&O,intake and output,摄入和输出,,,
IA,imidazole acetaldehyde,咪唑乙醛,,,
IAA,Iliac Artery Aneurysm,lia动脉瘤,,,
IAA,imidazole acetic acid,咪唑乙酸,,,
IAAR,imidazole acetic acid riboside,咪唑乙酸核糖苷,,,
IABP,intra-aortic balloon pump,主动脉内气球泵,https://en.wikipedia.org/wiki/Intra-aortic_balloon_pump,,
IAC,Internal Auditory Canal,内部听觉运河,,,
IAD,incontinence-associated dermatitis,失禁相关性皮炎,,,
IADL,instrumental activities of daily living,日常生活活动,https://en.wikipedia.org/wiki/Activities_of_daily_living#Instrumental_ADLs,,
IAH,Intra-abdominal Hypertension,腹内高压,,,
IAHA,intra-articular hyaluronic acid,关节内透明质酸,,,
IAP,intra-abdominal pressure,腹内压,,,
IBD,identity by descent,血统身份,https://en.wikipedia.org/wiki/Identity_by_descent,,
IBD,inflammatory bowel disease,炎症性肠病,https://en.wikipedia.org/wiki/Inflammatory_bowel_disease,,
IBM,inclusion body myositis,包涵体肌炎,https://en.wikipedia.org/wiki/Inclusion_body_myositis,,
IBS,irritable bowel syndrome,大肠激躁症,https://en.wikipedia.org/wiki/Irritable_bowel_syndrome,,
IBS-C,constipation-predominant irritable bowel syndrome,便秘型肠易激综合征,,,
IBS-D,Irritable Bowel Syndrome with Diarrhea,肠易激综合症腹泻,,,
IBW,ideal body weight,体重,https://en.wikipedia.org/wiki/Human_body_weight#Ideal_body_weight,,
ICCA,infantile convulsions and choreoarthetosis,婴儿惊厥和舞蹈性动脉粥样硬化,,,
ICD,implantable cardioverter defibrillator,植入式心脏复律除颤器,https://en.wikipedia.org/wiki/Implantable_cardioverter-defibrillator,,
ICF,intracellular fluid,细胞内液,https://en.wikipedia.org/wiki/Fluid_compartments#Intracellular_compartment,,
ICH,intracranial hemorrhage,颅内出血,https://en.wikipedia.org/wiki/Intracranial_hemorrhage,,
ICH,intracranial hypertension,颅内压,https://en.wikipedia.org/wiki/Intracranial_pressure,,
ICL,interstrand crosslinks,链间交联,https://en.wikipedia.org/wiki/Crosslinking_of_DNA,,
