Abbreviation,Meaning,Translation,Wikipedia,Subject,Verified
L,left,剩下,https://en.wikipedia.org/wiki/Left,,
L&D,labor and delivery,分娩,https://en.wikipedia.org/wiki/Childbirth,,
LA,left atrium,心房,https://en.wikipedia.org/wiki/Atrium_(heart),,
LA,leukoaraiosis,脑白质疏松症,https://en.wikipedia.org/wiki/Leukoaraiosis,,
LAA ,left atrial appendage,心房,https://en.wikipedia.org/wiki/Atrium_(heart),,
LAAC,left atrial appendage closure,左心耳封堵,,,
LAAEV,left atrium appendage emptying velocity,左心耳附件排空速度,,,
LAAO,left atrial appendage occlusion,左心耳闭塞,https://en.wikipedia.org/wiki/Left_atrial_appendage_occlusion,,
LAAT,left atrial appendage thrombus,左心耳血栓,,,
LABA,long-acting b2-agonist,长效b2-激动剂,,,
LABD,linear IgA bullous dermatosis ,线性IgA大疱性皮肤病,https://en.wikipedia.org/wiki/Linear_IgA_bullous_dermatosis,,
LAD,left anterior descending artery,左前降支动脉,https://en.wikipedia.org/wiki/Left_anterior_descending_artery,,
LAD,linear IgA dermatosis,线性IgA皮肤病,https://en.wikipedia.org/wiki/Linear_IgA_bullous_dermatosis,,
LAD,lymphadenopathy,淋巴结肿大,https://en.wikipedia.org/wiki/Lymphadenopathy,,
LAER,late auditory evoked response,晚期听觉诱发反应,,,
LAFB,left anterior fascicular block,左前束状传导阻滞,https://en.wikipedia.org/wiki/Left_anterior_fascicular_block,,
LAHB,left anterior hemiblock,左前半阻滞,https://en.wikipedia.org/wiki/Left_anterior_fascicular_block,,
LASIK,laser-assisted in situ keratomileusis,准分子激光原位角膜磨镶术,https://en.wikipedia.org/wiki/LASIK,,
LAT,large neutral amino acid transporter,大型中性氨基酸转运蛋白,https://en.wikipedia.org/wiki/CD98,,
LAVH,Laparoscopic Assisted Vaginal Hysterectomy,腹腔镜辅助阴道子宫切除术,,,
LAVI,left atrium volume index,左心房容积指数,,,
LBBB,left bundle branch block,左束支传导阻滞,https://en.wikipedia.org/wiki/Left_bundle_branch_block,,
LBM,lean body mass,瘦体重,https://en.wikipedia.org/wiki/Lean_body_mass,,
LBN,latanoprostene bunod,拉丁美洲前列腺素,https://en.wikipedia.org/wiki/Latanoprostene_bunod,,
LBO,large bowel obstruction,肠梗阻,https://en.wikipedia.org/wiki/Bowel_obstruction,,
LBP,lower back pain,下背痛,https://en.wikipedia.org/wiki/Low_back_pain,,
LC,local control,本地控制,,,
LCIS,lobular carcinoma in situ,小叶原位癌,https://en.wikipedia.org/wiki/Lobular_carcinoma_in_situ,,
LCSW,licensed clinical social worker,执照的临床社会工作者,,,
LCX,left circumflex (coronary artery),左旋支（冠状动脉）,,,
LD,lumbar drain,腰漏,,,
LDCT,low-dose computed tomography,低剂量计算机断层扫描,,,
LDH,lactic acid dehydrogenase,乳酸脱氢酶,https://en.wikipedia.org/wiki/Lactate_dehydrogenase,,
