Abbreviation,Meaning,Translation,Wikipedia,Subject,Verified
M/H,medical history,病史,https://en.wikipedia.org/wiki/Medical_history,,
M/R/G,"murmurs, rubs, gallops",杂音，摩擦，疾驰,,,
M0,Cancer has not spread to other parts of the body,癌症尚未扩散到身体的其他部位,https://www.cancer.gov/about-cancer/diagnosis-staging/staging,,
M1,Cancer has spread to other parts of the body,癌症已经扩散到身体的其他部位,https://www.cancer.gov/about-cancer/diagnosis-staging/staging,,
MA,migraine with aura,偏头痛与先兆,https://en.wikipedia.org/wiki/Aura_(symptom),,
MAA,Mycotic Aortic Aneurysm,霉菌性主动脉瘤,https://en.wikipedia.org/wiki/Maa,,
MAC,Mycobacterium avium complex,鸟分枝杆菌复合体,https://en.wikipedia.org/wiki/Mycobacterium_avium_complex,,
MAC,monitored anesthesia care,监测麻醉护理,https://en.wikipedia.org/wiki/Mac,,
MACE,major adverse cardiac events,重大不良心脏事件,https://en.wikipedia.org/wiki/Major_adverse_cardiovascular_events,,
MACI,matrix autologous chondrocyte implant ,基质自体软骨细胞植入物,https://en.wikipedia.org/wiki/Autologous_cultured_chondrocytes_on_porcine_collagen_membrane,,
MACS,Manual Ability Classification System,手动能力分类系统,https://en.wikipedia.org/wiki/Manual_Ability_Classification_System,,
MADRS,Montgomery–Åsberg Depression Rating Scale,蒙哥马利-奥斯伯格抑郁等级量表,https://en.wikipedia.org/wiki/Montgomery%E2%80%93%C3%85sberg_Depression_Rating_Scale,,
MAF,mitral annular flutter,二尖瓣环扑,https://en.wikipedia.org/wiki/MAF,,
MAG,myelin-associated glycoprotein,髓鞘相关糖蛋白,https://en.wikipedia.org/wiki/Myelin-associated_glycoprotein,,
MAI,Mycobacterium avium-intracellulare infection,鸟分枝杆菌胞内感染,https://en.wikipedia.org/wiki/Mycobacterium_avium-intracellulare_infection,,
MALT,mucosa-associated lymphoid tissue,黏膜相关淋巴组织,https://en.wikipedia.org/wiki/Mucosa-associated_lymphoid_tissue,,
MAO-B,monoamine oxidase B,单胺氧化酶B,https://en.wikipedia.org/wiki/Monoamine_oxidase_B,,
MAP,mean arterial pressure,平均动脉压,https://en.wikipedia.org/wiki/Mean_arterial_pressure,,
MAPK,mitogen-activated protein kinase,丝裂原激活的蛋白激酶,https://en.wikipedia.org/wiki/Mitogen-activated_protein_kinase,,
MARS,molecular absorbents recirculation system,分子吸收剂再循环系统,,,
MASCC,Multinational Association for Supportive Care,多国支持治疗协会,,,
MB,microbleed,微出血,https://en.wikipedia.org/wiki/MB,,
MCA,middle cerebral artery,脑中动脉,https://en.wikipedia.org/wiki/Middle_cerebral_artery,,
MCB,monochlorobimane,一氯bimane,https://en.wikipedia.org/wiki/MCB,,
MCH,mean corpuscular hemoglobin,平均血红蛋白,https://en.wikipedia.org/wiki/Mean_corpuscular_hemoglobin,,
MCHC,mean corpuscular hemoglobin concentration,平均红细胞血红蛋白浓度,https://en.wikipedia.org/wiki/Mean_corpuscular_hemoglobin_concentration,,
MCII,minimum clinically important improvement,最小的临床重要改善,https://en.wikipedia.org/wiki/MCII,,
MCL,medial collateral ligament,内侧副韧带,https://en.wikipedia.org/wiki/Medial_collateral_ligament,,
MCM,major congenital malformation,先天性严重畸形,https://en.wikipedia.org/wiki/Birth_defect,,
MCTD,Mixed Connective Tissue Disease,混合性结缔组织病,https://en.wikipedia.org/wiki/Mixed_connective_tissue_disease,,
MCTD,mixed connective tissue disease,混合性结缔组织病,https://en.wikipedia.org/wiki/Mixed_connective_tissue_disease,,
MCV,mean corpuscular volume,平均红细胞体积,https://en.wikipedia.org/wiki/Mean_corpuscular_volume,,
MD,muscular dystrophy,肌营养不良症,https://en.wikipedia.org/wiki/Muscular_dystrophy,,
MDD,major depressive disorder,严重抑郁症,https://en.wikipedia.org/wiki/Major_depressive_disorder,,
MDF,Maddrey discriminant function,Maddrey判别函数,https://en.wikipedia.org/wiki/MDF,,
MDI,metered dose inhaler,计量吸入器,https://en.wikipedia.org/wiki/Metered-dose_inhaler,,
MDR,multidrug-resistant,耐多药,https://en.wikipedia.org/wiki/Multiple_drug_resistance,,
