Abbreviation,Meaning,Translation,Wikipedia,Subject,Verified
N-MIA,N-methylimidazole acetaldehyde,N-甲基咪唑乙醛,,,
N-MIAA,N-methylimidazole acetic acid,N-甲基咪唑乙酸,,,
N/V,nausea or vomiting,恶心或呕吐,,,
N0,Regional lymph node stage - There is no cancer in nearby lymph nodes,区域淋巴结分期-附近的淋巴结无癌症,https://www.cancer.gov/about-cancer/diagnosis-staging/staging,,
N1,Cancer in lymph node - Stage 1,淋巴结癌-1期,https://www.cancer.gov/about-cancer/diagnosis-staging/staging,,
N2,Cancer in lymph node - Stage 2,淋巴结癌-第二阶段,https://www.cancer.gov/about-cancer/diagnosis-staging/staging,,
N3,Cancer in lymph node - Stage 3,淋巴结癌-第三阶段,https://www.cancer.gov/about-cancer/diagnosis-staging/staging,,
NABS,normal active bowel sounds,正常活跃肠鸣音,,,
NAC,N-acetylcysteine,N-乙酰半胱氨酸,https://en.wikipedia.org/wiki/Acetylcysteine,,
NAD,no active disease,无活动性疾病,https://en.wikipedia.org/wiki/NAD,,
NAD,no acute distress,无急性困扰,https://en.wikipedia.org/wiki/NAD,,
NAFL,non‐alcoholic fatty liver,非酒精性脂肪肝,https://en.wikipedia.org/wiki/NAFL,,
NAFLD,non‐alcoholic fatty liver disease,非酒精性脂肪肝,https://en.wikipedia.org/wiki/Non-alcoholic_fatty_liver_disease,,
NAK,numb-associated kinase,麻木相关激酶,https://en.wikipedia.org/wiki/Acknowledgement_(data_networks),,
NAS,NAFLD Activity Score,NAFLD活动得分,,,
NASH,nonalcoholic steatohepatitis,非酒精性脂肪性肝炎,https://en.wikipedia.org/wiki/Non-alcoholic_fatty_liver_disease,,
NAT,non-accidental trauma,非偶然性创伤,https://en.wikipedia.org/wiki/Abuse,,
NAT,nucleic acid testing,核酸检测,https://en.wikipedia.org/wiki/Nucleic_acid_test,,
NBCCS,nevoid basal cell carcinoma syndrome,避免基底细胞癌综合征,https://en.wikipedia.org/wiki/Nevoid_basal-cell_carcinoma_syndrome,,
NBNB,"non-bloody, non-bilious",非血腥，非胆汁,,,
NBS,no bowel sounds,没有肠鸣音,https://en.wikipedia.org/wiki/NBS,,
NBUVB,narrowband ultraviolet B,窄带紫外线B,,,
NC,nasal cannula,鼻插管,https://en.wikipedia.org/wiki/Nasal_cannula,,
NCCAH,non-classical congenital adrenal hyperplasia,非经典先天性肾上腺增生,,,
NCCN,National Comprehensive Cancer Network,国家综合癌症网络,https://en.wikipedia.org/wiki/National_Comprehensive_Cancer_Network,,
NCI,National Cancer Institute,国立癌症研究所,https://en.wikipedia.org/wiki/National_Cancer_Institute,,
NCP,nursing care plan,护理计划,https://en.wikipedia.org/wiki/Nursing_care_plan,,
NCS,nerve conduction study,神经传导研究,https://en.wikipedia.org/wiki/Nerve_conduction_study,,
NCT,national clinical trial,国家临床试验,https://en.wikipedia.org/wiki/NCT,,
NCV,Nerve Conduction Velocity,神经传导速度,https://en.wikipedia.org/wiki/NCV,,
NEB,nebulizer,喷雾器,https://en.wikipedia.org/wiki/Nebulizer,,
NED,no evidence of disease,没有疾病迹象,https://en.wikipedia.org/wiki/No_evidence_of_disease,,
NF,Nissen fundoplication,尼森胃底折叠术,https://en.wikipedia.org/wiki/Nissen_fundoplication,,
NF1,neurofibromatosis type 1,1型神经纤维瘤病,https://en.wikipedia.org/wiki/Neurofibromatosis_type_I,,
NG,nasogastric,鼻胃,https://en.wikipedia.org/wiki/Ng,,
NGS,next-generation sequencing,下一代测序,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3841808/,,
NGT,nasogastric tube,鼻胃管,https://en.wikipedia.org/wiki/Nasogastric_intubation,,
NHEJ,non-homologous end joining,非同源末端连接,https://en.wikipedia.org/wiki/Non-homologous_end_joining,,
NHL,non-Hodgkin's lymphoma,非霍奇金淋巴瘤,https://en.wikipedia.org/wiki/Non-Hodgkin_lymphoma,,
NIAAA,National Institute on Alcohol Abuse and Alcoholism,国立酒精滥用和酒精中毒研究所,https://en.wikipedia.org/wiki/National_Institute_on_Alcohol_Abuse_and_Alcoholism,,
NICM,nonischemic cardiomyopathy,非缺血性心肌病,https://en.wikipedia.org/wiki/Cardiomyopathy,,
NICU,neonatal intensive care unit,新生儿重症监护室,https://en.wikipedia.org/wiki/Neonatal_intensive_care_unit,,
NICVD,National Institute of Cardiovascular Diseases,国立心血管病研究所,https://en.wikipedia.org/wiki/National_Institute_of_Cardiovascular_Diseases,,
NIDDM,non-insulin dependent diabetes mellitus,非胰岛素依赖型糖尿病,https://en.wikipedia.org/wiki/Type_2_diabetes,,
NIH,National Institutes of Health,国立卫生研究院,https://en.wikipedia.org/wiki/National_Institutes_of_Health,,
NIHSS,National Institutes of Health stroke scale,国立卫生研究院卒中量表,https://en.wikipedia.org/wiki/National_Institutes_of_Health_Stroke_Scale,,
NIPS,noninvasive prenatal screening,无创产前筛查,https://en.wikipedia.org/wiki/NIPS,,
NIPT,noninvasive prenatal testing,无创产前检查,https://en.wikipedia.org/wiki/NIPT,,
NK,natural killer,天生的杀手,https://en.wikipedia.org/wiki/Natural_killer_cell,,
NK,neurotrophic keratitis,神经营养性角膜炎,https://en.wikipedia.org/wiki/Neurotrophic_keratitis,,
NKA,no known allergies,没有已知的过敏,https://en.wikipedia.org/wiki/NKA,,
NKDA,no known drug allergies,没有已知的药物过敏,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_N,,
NLM,National Library of Medicine,国立医学图书馆,https://en.wikipedia.org/wiki/United_States_National_Library_of_Medicine,,
NM,nonsense mutation,无意义的突变,https://en.wikipedia.org/wiki/Nonsense_mutation,,
NMD,neurosurgery for mental disorder,精神障碍的神经外科,https://en.wikipedia.org/wiki/NMD,,
NMDA,N-methyl-D-aspartate,N-甲基-D-天冬氨酸,https://en.wikipedia.org/wiki/N-Methyl-D-aspartic_acid,,
NMH,N-methylhistamine,N-甲基组胺,https://en.wikipedia.org/wiki/Nmh,,
NMIBC,non-muscle invasive bladder cancer,非肌肉浸润性膀胱癌,https://en.wikipedia.org/wiki/Bladder_cancer,,
NMO,Neuromyelitis Optica,视神经脊髓炎,https://en.wikipedia.org/wiki/NMO,,
NMR,nuclear magnetic resonance,核磁共振,https://en.wikipedia.org/wiki/Nuclear_magnetic_resonance,,
NNIS,National Nosocomial Infection Surveillance System,国家医院感染监测系统,,,
NNT,numbers needed to treat,需要治疗的数字,https://en.wikipedia.org/wiki/Number_needed_to_treat,,
NOAC,non-vitamin K oral anticoagulants,非维生素K口服抗凝剂,https://en.wikipedia.org/wiki/Anticoagulant#Types,,
NOM,nonoperative management,非手术管理,https://en.wikipedia.org/wiki/Nom,,
NOS,not otherwise specified,没有特别说明,https://en.wikipedia.org/wiki/Not_Otherwise_Specified,,
NPH,Normal Pressure Hydrocephalus,常压性脑积水,https://en.wikipedia.org/wiki/Normal_pressure_hydrocephalus,,
NPH,neutral protamine Hagedorn,中性鱼精蛋白哈格多恩,https://en.wikipedia.org/wiki/NPH_insulin,,
NPN,non-protein nitrogen,非蛋白质氮,https://en.wikipedia.org/wiki/Non-protein_nitrogen,,
NPO,nothing by mouth,没什么,https://en.wikipedia.org/wiki/Nothing_by_mouth,,
NPPV,non-invasive positive pressure ventilation,无创正压通气,https://en.wikipedia.org/wiki/Mechanical_ventilation#Mechanical_ventilators,,
NPV,negative predictive value,阴性预测值,https://en.wikipedia.org/wiki/Positive_and_negative_predictive_values,,
NPWT,negative pressure wound therapy,负压伤口治疗,https://en.wikipedia.org/wiki/Negative-pressure_wound_therapy,,
