Abbreviation,Meaning,Translation,Wikipedia,Subject,Verified
P,pulse,脉冲,https://en.wikipedia.org/wiki/Pulse,,
P&A,percussion & auscultation,打击乐和听诊,https://en.wikipedia.org/wiki/P%26A,,
PA,periapical,根尖的,https://en.wikipedia.org/wiki/Dental_anatomy#Surfaces,,
PAC,premature atrial complexes,房性早搏,https://en.wikipedia.org/wiki/PAC,,
PACAP,pituitary adenylate cyclase-activating polypeptide,垂体腺苷酸环化酶激活多肽,https://en.wikipedia.org/wiki/Pituitary_adenylate_cyclase-activating_peptide,,
PACU,post anesthesia care unit,麻醉后护理单位,https://en.wikipedia.org/wiki/Post-anesthesia_care_unit,,
PAD,peripheral arterial disease,外周动脉疾病,https://en.wikipedia.org/wiki/Peripheral_artery_disease,,
PAH,predicted adult height,预计成人身高,https://en.wikipedia.org/wiki/PAH,,
PAH,pulmonary arterial hypertension,肺动脉高压,https://en.wikipedia.org/wiki/Pulmonary_hypertension,,
PAM,protospacer adjacent motif,原间隔物相邻基序,https://en.wikipedia.org/wiki/Protospacer_adjacent_motif,,
PAMG-1,placental alpha microglobulin-1,胎盘α微球蛋白1,,,
PANDAS,Pediatric Autoimmune Neuropsychiatric Disorders Associated with Streptococcal Infections,与链球菌感染相关的小儿自身免疫性神经精神疾病,https://en.wikipedia.org/wiki/PANDAS,,
PANS,Pediatric Acute-onset Neuropsychiatric Syndrome,小儿急性发作神经精神病综合症,https://en.wikipedia.org/wiki/PANDAS,,
PAOD,Peripheral Arterial Occlusive Disease,周围动脉闭塞性疾病,https://en.wikipedia.org/wiki/Peripheral_artery_disease,,
PAP,positive airway pressure,气道正压,https://en.wikipedia.org/wiki/Positive_airway_pressure,,
PAPR,Powered Air Purifying Respirator,电动空气净化呼吸器,https://en.wikipedia.org/wiki/Powered_air-purifying_respirator,,
PARDS,pediatric acute respiratory distress syndrome,小儿急性呼吸窘迫综合征,https://en.wikipedia.org/wiki/Acute_respiratory_distress_syndrome#Terminology,,
PAS,personal assistance service(s),个人协助服务,https://en.wikipedia.org/wiki/PAS,,
PAU,Penetrating Aortic Ulcer,穿透性主动脉溃疡,https://en.wikipedia.org/wiki/Pau,,
PAWP,pulmonary arterial wedge pressure,肺动脉楔压,https://en.wikipedia.org/wiki/Pulmonary_wedge_pressure,,
PAWS,post-acute-withdrawal syndrome,急性戒断后综合征,https://en.wikipedia.org/wiki/Post-acute-withdrawal_syndrome,,
PBC,primary biliary cholangitis,原发性胆源性胆管炎,https://en.wikipedia.org/wiki/Primary_biliary_cholangitis,,
PBP,penicillin-binding protein,青霉素结合蛋白,https://en.wikipedia.org/wiki/Penicillin-binding_proteins,,
PBP,preoperative bowel preparation,术前肠道准备,https://en.wikipedia.org/wiki/PBP,,
PBRT,proton beam radiation therapy,质子束放射治疗,https://en.wikipedia.org/wiki/Proton_therapy,,
PBS,pencil-beam scanning,笔束扫描,https://en.wikipedia.org/wiki/Pencil-beam_scanning,,
PBS,phosphate-buffered saline,磷酸盐缓冲溶液,https://en.wikipedia.org/wiki/Phosphate-buffered_saline,,
PBT,perioperative blood transfusion,围手术期输血,https://en.wikipedia.org/wiki/PBT,,
PBT,proton beam therapy,质子束治疗,https://en.wikipedia.org/wiki/Proton_therapy,,
PCA,Posterior Carotid Artery,颈后动脉,https://en.wikipedia.org/wiki/PCA,,
PCA,patient controlled analgesia,病人自控镇痛,https://en.wikipedia.org/wiki/Patient-controlled_analgesia,,
PCA,personal care aide,个人护理助手,https://en.wikipedia.org/wiki/PCA,,
PCCM,Pediatric Critical Care Medicine,儿科重症监护医学,https://en.wikipedia.org/wiki/Pediatric_Critical_Care_Medicine,,
PCD,pneumatic compression device,气动压缩装置,https://en.wikipedia.org/wiki/PCD,,
PCDAI,Pediatric Crohn's Disease Activity Index,小儿克罗恩病活动指数,,,
PCI,percutaneous coronary intervention,经皮冠状动脉介入治疗,https://en.wikipedia.org/wiki/Percutaneous_coronary_intervention,,
PCKD,polycystic kidney disease,多囊肾,https://en.wikipedia.org/wiki/Polycystic_kidney_disease,,
PCL,posterior cruciate ligament,后十字韧带,https://en.wikipedia.org/wiki/Posterior_cruciate_ligament,,
PCNL,Percutaneous Nephrolithotomy,经皮肾镜取石术,https://en.wikipedia.org/wiki/Percutaneous_nephrolithotomy,,
PCNSL,primary central nervous system lymphoma,原发性中枢神经系统淋巴瘤,https://en.wikipedia.org/wiki/Primary_central_nervous_system_lymphoma,,
PCOS,polycystic ovarian syndrome,多囊卵巢综合征,https://en.wikipedia.org/wiki/Polycystic_ovary_syndrome,,
PCP,pneumocystis pneumonia,肺囊虫性肺炎,https://en.wikipedia.org/wiki/Pneumocystis_pneumonia,,
PCP,primary care provider,初级保健提供者,https://en.wikipedia.org/wiki/Primary_care,,
PCR,pharyngeal constriction ratio,咽收缩率,https://en.wikipedia.org/wiki/Polymerase_chain_reaction,,
PCR,polymerase chain reaction,聚合酶链反应,https://en.wikipedia.org/wiki/Polymerase_chain_reaction,,
PCSK9,proprotein convertase subtilisin kexin 9,前蛋白转化酶枯草杆菌蛋白酶kexin 9,https://en.wikipedia.org/wiki/PCSK9,,
PCT,procalcitonin,降钙素原,https://en.wikipedia.org/wiki/Procalcitonin,,
PCU,progressive care unit,渐进式护理病房,https://en.wikipedia.org/wiki/Coronary_care_unit#Subacute_coronary_care,,
PCa,prostate cancer,前列腺癌,https://en.wikipedia.org/wiki/Prostate_cancer,,
PD,Parkinson's disease,帕金森氏病,https://en.wikipedia.org/wiki/Parkinson%27s_disease,,
PD,Peritoneal Dialysis,腹膜透析,https://en.wikipedia.org/wiki/PD,,
PD,pneumatic dilation,气动扩张,https://en.wikipedia.org/wiki/Esophageal_dilatation,,
PD,postural drainage,姿势引流,https://en.wikipedia.org/wiki/Postural_drainage,,
PD,progressive disease,进行性疾病,https://en.wikipedia.org/wiki/Progressive_disease,,
PDE4,phosphodiesterase 4,磷酸二酯酶4,https://en.wikipedia.org/wiki/Phosphodiesterase_4,,
PDN,private duty nursing,私人护理,https://en.wikipedia.org/wiki/Private_duty_nursing,,
PDT,Photodynamic Therapy,光动力疗法,https://www.cancer.gov/about-cancer/treatment/types/surgery/photodynamic-fact-sheet,,
PE,Pressure Equalizer,压力均衡器,https://en.wikipedia.org/wiki/PE,,
PE,physical examination,身体检查,https://en.wikipedia.org/wiki/Physical_examination,,
