Abbreviation,Meaning,Translation,Wikipedia,Subject,Verified
Q4H,every four hours,每四个小时,,,
Q8H,every eight hours,每八小时,,,
QALY,Quality Adjusted Life Years,质量调整寿命年,https://en.wikipedia.org/wiki/Quality-adjusted_life_year,,
QAM,every morning,每天早上,,,
QD,every day/daily,每天/每天,,,
QH,every hour/hourly,每小时/每小时,,,
QHP,Qualified Healthcare Professional,合格的医疗保健专业人员,,,
QHS,every night/nightly,每晚/每晚,,,
QID,four times per day,每天四次,,,
QN,every night/nightly,每晚/每晚,,,
QOD,every other day,每个另一天,,,
QXH,every X hours,每X小时,,,
Qmax,maximum urine flow rate,最大尿流率,,,
QoL,quality of life,生活质量,https://en.wikipedia.org/wiki/Quality_of_life,,
qPCR,quantitative polymerase chain reaction,即时聚合酶链式反应,https://en.wikipedia.org/wiki/Real-time_polymerase_chain_reaction,,
