Abbreviation,Meaning,Translation,Wikipedia,Subject,Verified
R,right,权利,https://en.wikipedia.org/wiki/Rights,,
R/O,rule out,排除,,,
R0,reproduction number,复制号,,,
RA,rheumatoid arthritis,类风湿性关节炎,https://en.wikipedia.org/wiki/Rheumatoid_arthritis,,
RA,right atrium,心房,https://en.wikipedia.org/wiki/Atrium_(heart),,
RA,room air,室内空气,,,
RA,rotational atherectomy,旋磨术,,,
RAC,recovery audit contractor,恢复审计承包商,,,
RAS,resistance-associated substitution,抗性相关替代,,,
RBAS,radiosurgery-based AVM score,基于放射外科的AVM评分,,,
RBBB,right bundle branch block,右束支传导阻滞,https://en.wikipedia.org/wiki/Right_bundle_branch_block,,
RBC,red blood cells,红细胞,https://en.wikipedia.org/wiki/Red_blood_cell,,
RBC,red blood count,全血细胞计数,https://en.wikipedia.org/wiki/Complete_blood_count,,
RBD,receptor binding domain,受体结合域,,,
RC,radical cystectomy,根治性膀胱切除术,https://en.wikipedia.org/wiki/Cystectomy#Radical_cystectomy,,
RCA,right coronary artery,右冠状动脉,https://en.wikipedia.org/wiki/Right_coronary_artery,,
RCC,renal cell carcinoma,肾细胞癌,https://en.wikipedia.org/wiki/Renal_cell_carcinoma,,
RCG,radiocardiography,放射心动图,,,
RCM,reflectance confocal microcopy,反射共聚焦显微镜,,,
RCM,reflectance confocal microscopy,反射共聚焦显微镜,,,
RCT,randomized controlled trial,随机对照试验,https://en.wikipedia.org/wiki/Randomized_controlled_trial,,
RCT,rotator cuff tear,肩袖撕裂,https://en.wikipedia.org/wiki/Rotator_cuff_tear,,
RD,retinal detachment,视网膜脱落,https://en.wikipedia.org/wiki/Retinal_detachment,,
RDF,roof-dependent flutter,屋顶相关的颤动,,,
RDI,respiratory disturbance index,呼吸障碍指数,https://en.wikipedia.org/wiki/Respiratory_disturbance_index,,
RDS,respiratory distress syndrome,呼吸窘迫综合征,https://en.wikipedia.org/wiki/Respiratory_distress_syndrome,,
RDV,remdesivir,瑞德西韦,https://en.wikipedia.org/wiki/Remdesivir,,
REM,rapid eye movement,眼睛快速运动,https://en.wikipedia.org/wiki/Rapid_eye_movement_sleep,快速动眼期,Y
