Abbreviation,Meaning,Translation,Wikipedia,Subject,Verified
S/P,status post,状态讯息,https://en.wikipedia.org/wiki/Sequela,,
SAAG,serum-ascites albumin gradient,血清腹水白蛋白梯度,https://en.wikipedia.org/wiki/Serum-ascites_albumin_gradient,,
SAB,spontaneous abortion,自然流产,https://en.wikipedia.org/wiki/Miscarriage,,
SABR,spontaneous abortion rate,自然流产率,https://en.wikipedia.org/wiki/Society_for_American_Baseball_Research,,
SACH,"solid ankle, cushioned heel",脚踝结实，脚跟垫,,,
SAD,seasonal affective disorder,季节性情绪失调,https://en.wikipedia.org/wiki/Seasonal_affective_disorder,,
SAE,serious adverse event,严重不良事件,https://en.wikipedia.org/wiki/Serious_adverse_event,,
SAEF,Secondary Aortoenteric Fistula,继发性主肠瘘,,,
SALT,Severity of Alopecia Tool,严重程度的脱发工具,https://en.wikipedia.org/wiki/Strategic_Arms_Limitation_Talks,,
SAMe,S-adenosylmethionine,S-腺苷蛋氨酸,https://en.wikipedia.org/wiki/S-Adenosyl_methionine,,
SARI,Severe Acute Respiratory Infections,严重急性呼吸道感染,,,
SARS,severe acute respiratory syndrome,严重急性呼吸系统综合症,https://en.wikipedia.org/wiki/Severe_acute_respiratory_syndrome,,
SARS-CoV,severe acute respiratory syndrome coronavirus,重症急性呼吸综合征冠状病毒,https://en.wikipedia.org/wiki/Severe_acute_respiratory_syndrome_coronavirus,,
SARS-CoV-2,Severe Acute Respiratory Syndrome Coronavirus-2 Virus,严重急性呼吸系统综合症冠状病毒2病毒,https://en.wikipedia.org/wiki/Severe_acute_respiratory_syndrome_coronavirus_2,,
SAVR,surgical aortic valve replacement,外科主动脉瓣置换,https://en.wikipedia.org/wiki/Aortic_valve_replacement,,
SB,small bowel,小肠,https://en.wikipedia.org/wiki/Small_intestine,,
SBFT,small bowel follow through,小肠通过,https://en.wikipedia.org/wiki/Upper_gastrointestinal_series,,
SBO,small bowel obstruction,小肠梗阻,https://en.wikipedia.org/wiki/Bowel_obstruction#Small_bowel_obstruction,,
SBP,spontaneous bacterial peritonitis,自发性细菌性腹膜炎,https://en.wikipedia.org/wiki/Spontaneous_bacterial_peritonitis,,
SBP,systolic blood pressure,收缩压,https://en.wikipedia.org/wiki/Blood_pressure,,
SBRT,Stereotactic Body Radiation Therapy,立体定向放射疗法,https://en.wikipedia.org/wiki/Radiosurgery#Clinical_applications,,
SC,Sydenham chorea,Sydenham chorea,https://en.wikipedia.org/wiki/Sydenham%27s_chorea,,
SC,subcutaneous,皮下,https://en.wikipedia.org/wiki/Subcutaneous,,
SCA,sudden cardiac arrest,心脏骤停,https://en.wikipedia.org/wiki/Cardiac_arrest,,
SCA,superior cerebellar artery,小脑上动脉,https://en.wikipedia.org/wiki/Superior_cerebellar_artery,,
SCC,squamous cell carcinoma,鳞状细胞癌,https://en.wikipedia.org/wiki/Squamous_cell_carcinoma,,
SCD,sudden cardiac death,心源性猝死,https://en.wikipedia.org/wiki/Cardiac_arrest,,
SCEP,spinal cord evoked potentials,脊髓诱发电位,https://en.wikipedia.org/wiki/SCEP,,
SCI,spinal cord injury,脊髓损伤,https://en.wikipedia.org/wiki/Spinal_cord_injury,,
SCID,Severe Combined Immune Deficiency,严重的综合免疫缺陷,https://en.wikipedia.org/wiki/SCID,,
SCIg,subcutaneous immunoglobulin,皮下免疫球蛋白,https://en.wikipedia.org/wiki/Immunoglobulin_therapy,,
SCS,spinal cord stimulator,脊髓刺激器,https://en.wikipedia.org/wiki/Spinal_cord_stimulator,,
SCT,specialty care transport,专科护理运输,https://en.wikipedia.org/wiki/SCT,,
SCT,stem cell transplantation,干细胞移植,https://en.wikipedia.org/wiki/Hematopoietic_stem_cell_transplantation,,
SCU,special care unit,特别护理单位,https://en.wikipedia.org/wiki/SCU,,
SD,standard deviation,标准偏差,https://en.wikipedia.org/wiki/Standard_deviation,,
SDB,sleep disordered breathing,睡眠呼吸障碍,https://en.wikipedia.org/wiki/Sleep_and_breathing#Sleep-disordered_breathing_(abnormal_sleep_and_breathing_or_sleep-related_breathing_disorders),,
SDH,subdural hematoma,硬膜下血肿,https://en.wikipedia.org/wiki/Subdural_hematoma,,
SDS,standard deviation score,标准差评分,https://en.wikipedia.org/wiki/SDS,,
SEC,spontaneous echo contrast,自发回声对比,https://en.wikipedia.org/wiki/SEC,,
SEC,squamous epithelial cell,鳞状上皮细胞,https://en.wikipedia.org/wiki/Epithelium#Cell_types,,
SECD,Swine Enteric Coronavirus Disease,猪肠道冠状病毒病,https://en.wikipedia.org/wiki/SECD_machine,,
SEMLS,single-event multilevel surgery,单事件多级手术,,,
SEP,somatosensory evoked potential,体感诱发电位,https://en.wikipedia.org/wiki/Somatosensory_evoked_potential,,
SERM,selective-estrogen receptor modulator,选择性雌激素受体调节剂,https://en.wikipedia.org/wiki/SERM,,
SES-CD,Simple Endoscopic Score for Crohn Disease,克罗恩病的简单内镜评分,,,
SFA,superficial femoral artery,股浅动脉,https://en.wikipedia.org/wiki/Femoral_artery,,
SG,sleeve gastrectomy,袖胃切除术,https://en.wikipedia.org/wiki/Sleeve_gastrectomy,,
SGLT-2,sodium-glucose cotransporter-2,钠葡萄糖共转运蛋白2,https://en.wikipedia.org/wiki/Sodium/glucose_cotransporter_2,,
SGOT,serum glutamic oxaloacetic transaminase,血清谷草草酰转氨酶,https://en.wikipedia.org/wiki/Aspartate_transaminase,,
SGPT,serum glutamic pyruvic transaminase,血清谷氨酸丙酮酸转氨酶,https://en.wikipedia.org/wiki/Alanine_transaminase,,
SHBG,Sex Hormone Binding Globulin,性激素结合球蛋白,https://en.wikipedia.org/wiki/Sex_hormone-binding_globulin,,
SHM,sporadic hemiplegic migraine,偶发性偏瘫偏头痛,https://en.wikipedia.org/wiki/Sporadic_hemiplegic_migraine,,
SI,sacroiliac,骶髂,https://en.wikipedia.org/wiki/Sacroiliac_joint,,
SI,suicidal ideation,自杀意念,https://en.wikipedia.org/wiki/Suicidal_ideation,,
SIBO,small intestinal bacterial overgrowth,小肠细菌过度生长,https://en.wikipedia.org/wiki/Small_intestinal_bacterial_overgrowth,,
SIDS,sudden infant death syndrome,婴儿猝死综合症,https://en.wikipedia.org/wiki/Sudden_infant_death_syndrome,,
SIJ,sacroiliac joint,cro关节,https://en.wikipedia.org/wiki/Sacroiliac_joint,,
SIMV,synchronized intermittent mandatory ventilation,同步间歇强制通气,https://en.wikipedia.org/wiki/Intermittent_mandatory_ventilation,,
SIRS,Systemic Inflammatory Response Syndrome,系统性炎症反应综合征,https://en.wikipedia.org/wiki/SIRS,,
SIRT,selective internal radiation therapy,选择性内部放射疗法,https://en.wikipedia.org/wiki/Selective_internal_radiation_therapy,,
SL,stool lactoferrin,大便乳铁蛋白,https://en.wikipedia.org/wiki/SL,,
SL,sublingual,舌下,https://en.wikipedia.org/wiki/Sublingual_administration,,
SLE,systemic lupus erythematosus,系统性红斑狼疮,https://en.wikipedia.org/wiki/Lupus,,
SLNB,sentinel lymph node biopsy,前哨淋巴结活检,https://en.wikipedia.org/wiki/Sentinel_lymph_node,,
SLP,speech and language pathology,言语和语言病理学,https://en.wikipedia.org/wiki/Speech-language_pathology,,
SLRT,Straight Leg Raising Test,直腿抬高测试,https://en.wikipedia.org/wiki/Bukit_Panjang_LRT_line,,
SM,self massage,自我按摩,https://en.wikipedia.org/wiki/SM,,
SM grade,Spetzler-Martin grade,Spetzler-Martin级,,,
SMA,Superior Mesenteric Artery,肠系膜上动脉,https://en.wikipedia.org/wiki/Superior_mesenteric_artery,,
SMA,smooth muscle antibody,平滑肌抗体,https://en.wikipedia.org/wiki/SMA,,
SMA,spinal muscular atrophy,脊髓性肌萎缩,https://en.wikipedia.org/wiki/Spinal_muscular_atrophy,,
SMART,Self-Management and Recovery Training,自我管理和恢复培训,https://en.wikipedia.org/wiki/Smart,,
SMART,Sepsis Management Alert Response Team,败血症管理警报响应团队,https://en.wikipedia.org/wiki/Smart,,
SMBG,Self-Monitoring of Blood Glucose,血糖自我监测,,,
SMILE,submucosal minimally invasive lingual excision,粘膜下微创舌切除,,,
SMX-TMP,sulfamethoxazole-trimethoprim,磺胺甲恶唑三甲氧苄啶,https://en.wikipedia.org/wiki/Trimethoprim/sulfamethoxazole,,
SNC1,serum nadir creatinine level in the first year of life,出生后第一年的血清天底肌酐水平,,,
SND,sinus node dysfunction,窦房结功能障碍,https://en.wikipedia.org/wiki/SND,,
SNF,skilled nursing facility,熟练的护理设施,https://en.wikipedia.org/wiki/Nursing_home,,
SNHL,sensorineural hearing loss,感觉神经性听力损失,https://en.wikipedia.org/wiki/Sensorineural_hearing_loss,,
SNP,Single Nucleotide Polymorphism,单核苷酸多态性,https://en.wikipedia.org/wiki/Single-nucleotide_polymorphism,,
SNRI,serotonin-norepinephrine reuptake inhibitor,血清素去甲肾上腺素再摄取抑制剂,https://en.wikipedia.org/wiki/Serotonin%E2%80%93norepinephrine_reuptake_inhibitor,,
SNV,single nucleotide variant,单核苷酸变异,https://en.wikipedia.org/wiki/Single-nucleotide_polymorphism,,
SOAP,"subjective, objective, assessment, plan",主观，客观，评估，计划,https://en.wikipedia.org/wiki/SOAP,,
SOB,shortness of breath,气促,https://en.wikipedia.org/wiki/Shortness_of_breath,,
SOCS,suppressors of cytokine signaling,细胞因子信号转导抑制剂,https://en.wikipedia.org/wiki/Suppressor_of_cytokine_signalling,,
SOD,sinus ostial dilation,鼻窦扩张,,,
SOS,Son of Sevenless,无情之子,https://en.wikipedia.org/wiki/Son_of_Sevenless,,
SOT,solid organ transplant,实体器官移植,https://en.wikipedia.org/wiki/Sot,,
SPCCT,spectral photon-counting CT,光谱光子计数CT,,,
SPECT,single photon emission computed tomography,单光子发射计算机断层扫描,https://en.wikipedia.org/wiki/Single-photon_emission_computed_tomography,,
SQ,subcutaneous,皮下,https://en.wikipedia.org/wiki/Subcutaneous,,
SR,sinus rhythm,窦性心律,https://en.wikipedia.org/wiki/Sinus_rhythm,,
SR,survival rate,存活率,https://en.wikipedia.org/wiki/Survival_rate,,
