Abbreviation,Meaning,Translation,Wikipedia,Subject,Verified
T,temperature,温度,https://en.wikipedia.org/wiki/Temperature,,
T Bili,total bilirubin,胆红素,https://en.wikipedia.org/wiki/Bilirubin,,
T&A,tonsillectomy and adenoidectomy,扁桃体切除术和腺样体切除术,,,
T-PLL,T-Cell Prolymphocytic Leukemia,T细胞淋巴细胞白血病,,,
T0,Tumor stage - Main tumor cannot be found,肿瘤分期-找不到主要肿瘤,https://www.cancer.gov/about-cancer/diagnosis-staging/staging,,
T1,Stage 1 tumor,1期肿瘤,https://www.cancer.gov/about-cancer/diagnosis-staging/staging,,
T1DM,type 1 Diabetes Mellitus,1型糖尿病,,,
T2,Stage 2 tumor,2期肿瘤,https://www.cancer.gov/about-cancer/diagnosis-staging/staging,,
T2DM,type 2 Diabetes Mellitus,2型糖尿病,,,
T3,Stage 3 tumor,3期肿瘤,https://www.cancer.gov/about-cancer/diagnosis-staging/staging,,
T3,Triiodothyronine,三碘甲状腺原氨酸,https://en.wikipedia.org/wiki/Triiodothyronine,,
T4,Stage 4 tumor,4期肿瘤,https://www.cancer.gov/about-cancer/diagnosis-staging/staging,,
T4,Thyroxine,甲状腺激素,https://en.wikipedia.org/wiki/Thyroid_hormones,,
TA,tibialis anterior,胫前肌,https://en.wikipedia.org/wiki/Tibialis_anterior_muscle,,
TAAA,Thoracoabdominal Aortic Aneurysm,胸腹主动脉瘤,,,
TAH,total abdominal hysterectomy,子宫切除术,https://en.wikipedia.org/wiki/Hysterectomy#Types_of_hysterectomy,,
TALEN,transcription activator-like effector nuclease,类转录活化因子核酸酶,https://en.wikipedia.org/wiki/Transcription_activator-like_effector_nuclease,,
TAVI,transcatheter aortic valve implantation,经皮主动脉瓣置换术,https://en.wikipedia.org/wiki/Percutaneous_aortic_valve_replacement,,
TAVR,transcatheter aortic valve replacement,经皮主动脉瓣置换术,https://en.wikipedia.org/wiki/Percutaneous_aortic_valve_replacement,,
TB,temporal bone,颞骨,https://en.wikipedia.org/wiki/Temporal_bone,,
TB,tuberculosis,结核病,https://en.wikipedia.org/wiki/Tuberculosis,,
TBI,traumatic brain injury,创伤性脑损伤,https://en.wikipedia.org/wiki/Traumatic_brain_injury,,
TBS,tris buffered saline,Tris缓冲盐水,,,
TCA,tricyclic antidepressant,三环类抗抑郁药,https://en.wikipedia.org/wiki/Tricyclic_antidepressant,,
TCAD,transplant coronary artery disease,移植冠状动脉疾病,,,
TCAR,transcarotid artery revascularization,经颈动脉血运重建,,,
TCC,Transitional Cell Carcinoma,移行细胞癌,,,
TCR,T cell receptor,T细胞受体,https://en.wikipedia.org/wiki/T-cell_receptor,,
TCS,template consensus sequence,模板共有序列,,,
TCT,thinnest corneal thickness,最薄的角膜厚度,,,
TEE,transesophageal echocardiogram,经食道超声心动图,https://en.wikipedia.org/wiki/Transesophageal_echocardiogram,,
TEM,Effector memory T,效应记忆T,,,
TEM,Transanal Endoscopic Microsurgery,经肛门内窥镜显微手术,,,
TENS,transcutaneous electrical nerve stimulation,经皮电神经刺激,https://en.wikipedia.org/wiki/Transcutaneous_electrical_nerve_stimulation,,
TEP,tumor educated platelet,肿瘤教育血小板,,,
TF,tissue factor,组织因子,https://en.wikipedia.org/wiki/Tissue_factor,,
TFA,transcervical fibroid ablation,经颈肌瘤消融,,,
TFCAS,transfemoral carotid artery stenting,经股颈动脉支架置入术,,,
TFI,transfemoral intervention,经股介入,,,
TFNE,transient focal neurological episode,短暂性局灶性神经系统发作,,,
TG,triglycerides,甘油三酯,https://en.wikipedia.org/wiki/Triglyceride,,
TGEV,transmissible gastroenteritis virus,猪传染性胃肠炎病毒,https://en.wikipedia.org/wiki/Transmissible_gastroenteritis_virus,,
TGFβ,transforming growth factor beta,乙型轉化生長因子 ( TGF-β ),https://en.wikipedia.org/wiki/Transforming_growth_factor_beta,,
TGFβ3,transforming growth factor β3,转化生长因子β3,,,
TGI,tracheal gas insufflation,气管充气,,,
THA,total hip arthroplasty,全髋关节置换术,https://en.wikipedia.org/wiki/Hip_replacement,,
THC,tetrahydrocannabinol,四氢大麻酚,https://en.wikipedia.org/wiki/Tetrahydrocannabinol,,
THR,total hip replacement,全髋关节置换,https://en.wikipedia.org/wiki/Hip_replacement,,
TIA,transient ischemic attack,短暂性脑缺血发作,https://en.wikipedia.org/wiki/Transient_ischemic_attack,,
TIBC,total iron-binding capacity,总铁结合能,https://en.wikipedia.org/wiki/Total_iron-binding_capacity,,
TID,three times per day,每天三回,,,
TIMI,thrombolysis in myocardial infarction,心肌梗塞溶栓,,,
TIPS,transjugular intrahepatic portosystemic shunt,经颈静脉肝内门脉系统静脉分流术,https://en.wikipedia.org/wiki/Transjugular_intrahepatic_portosystemic_shunt,,
TIV,tumor in vein,静脉肿瘤,,,
TKA,total knee arthroplasty,全膝关节置换,https://en.wikipedia.org/wiki/Knee_replacement,,
TKI,Tyrosine Kinase Inhibitor,酪氨酸激酶抑制剂,,,
TKO,to keep open,保持开放,,,
TKR,total knee replacement,全膝关节置换,https://en.wikipedia.org/wiki/Knee_replacement,,
TLH,total laparoscopic hysterectomy,全腹腔镜子宫切除术,,,
TLIF,Transforaminal Lumbar Interbody Fusion,经椎间孔腰椎椎体间融合术,,,
TLR,toll-like receptor,Toll样受体,https://en.wikipedia.org/wiki/Toll-like_receptor,Immunology,Y
TM,tectorial membrane,保护膜,https://en.wikipedia.org/wiki/Tectorial_membrane,,
TM,transformed migraine,转化偏头痛,,,
TM,tympanic membrane (eardrum),鼓膜（鼓膜）,,,
TMA,transmetatarsal amputation,经子宫截肢,,,
TMB,tumor mutational burden,肿瘤突变负担,,,
TMEM43,transmembrane protein 43,跨膜蛋白43,,,
TMJ,temporomandibular joint,颞下颌关节,https://en.wikipedia.org/wiki/Temporomandibular_joint,,
TMN,tuberomammillary nucleus,结核母核,https://en.wikipedia.org/wiki/Tuberomammillary_nucleus,,
TMP-SMX,trimethoprim-sulfamethoxazole,复方新诺明,https://en.wikipedia.org/wiki/Trimethoprim/sulfamethoxazole,,
TMR,Transmyocardial Revascularization,经心肌血运重建,,,
TMS,transcranial magnetic stimulation,经颅磁刺激,https://en.wikipedia.org/wiki/Transcranial_magnetic_stimulation,,
TN,true negative,测试结果呈虚假的反应,https://en.wikipedia.org/wiki/False_positives_and_false_negatives#true_negative,,
TNE,transnasal esophagoscopy,经鼻食管镜,https://en.wikipedia.org/wiki/Transnasal_esophagoscopy,,
TNF,tumor necrosis factor,肿瘤坏死因子-α,https://en.wikipedia.org/wiki/Tumor_necrosis_factor,,
TNF-α,tumor necrosis factor alpha,肿瘤坏死因子-α,https://en.wikipedia.org/wiki/Tumor_necrosis_factor,,
TNFi,tumor necrosis factor inhibitor,肿瘤坏死因子抑制剂,,,
TNM,Tumor-Node-Metastasis,肿瘤结点转移,,,
TNTC,too numerous to count,数不清,,,
TOF,tetralogy of fallot,法乐氏四联症,https://en.wikipedia.org/wiki/Tetralogy_of_Fallot,,
TONIC,treatment of nonalcoholic fatty liver disease in children,治疗儿童非酒精性脂肪肝,,,
TORCH,"Toxoplasmosis, Other (syphilis, varicella-zoster, parvovirus B19), Rubella, Cytomegalovirus (CMV), and Herpes",弓形虫病，其他（梅毒，水痘带状疱疹，细小病毒B19），风疹，巨细胞病毒（CMV）和疱疹,,,
TP,total protein,总蛋白,,,
TP,true positive,测试结果呈虚假的反应,https://en.wikipedia.org/wiki/False_positives_and_false_negatives#true_positive,,
TPA,total parenteral alimentation,全肠外营养,,,
TPE,therapeutic plasma exchange,治疗性血浆置换,,,
TPN,Total Parenteral Nutrition,全胃肠外营养,,,
TPO,thrombopoietin,促血小板生成素,https://en.wikipedia.org/wiki/Thrombopoietin,,
TPR,"temperature, pulse, respiration",温度，脉搏，呼吸,,,
TRALI,transfusion-related acute lung injury,输血相关急性肺损伤,https://en.wikipedia.org/wiki/Transfusion-related_acute_lung_injury,,
TRD,tongue retaining device,锁舌装置,,,
TRESK,TWIK-related spinal cord potassium channel,TWIK相关的脊髓钾通道,,,
TRI,trans-radial intervention,-动脉介入,,,
TRM,resident memory T,常驻记忆T,,,
TRM,tissue-resident memory,组织驻留记忆,,,
TRP,transient receptor potential,瞬时受体电位,https://en.wikipedia.org/wiki/Transient_receptor_potential_channel,,
TRP,treatment-related pneumonitis,治疗相关性肺炎,,,
TRS,transcription regulatory sequence,转录调控序列,,,
TRUS,Transrectal Ultrasound,经直肠超声,,,
TSH,thyroid stimulating hormone,促甲状腺激素,https://en.wikipedia.org/wiki/Thyroid-stimulating_hormone,,
TSS,therapeutic staff support,治疗人员支持,,,
TSS-NS,therapeutic staff support non-school,治疗人员支持非学校,,,
TSS-S,therapeutic staff support in school,在校治疗人员的支持,,,
TTE,Transthoracic Echocardiogram,经胸超声心动图,,,
TTF,tumor treating fields,肿瘤治疗领域,https://en.wikipedia.org/wiki/Alternating_electric_field_therapy,,
TTP,Thrombotic Thrombocytopenic Purpura,血栓性血小板减少性紫癜,,,
TTP,tender to palpitation,温柔心pa,,,
TTP,tissue tolerable plasmas,组织耐受血浆,,,
TTS,temporary threshold shift,临时阈值偏移,,,
TTS,through-the-scope,通过范围,,,
TURBT,Transurethral Resection of Bladder Tumor,经尿道膀胱肿瘤切除术,,,
TURP,transurethral resection of prostate gland,经尿道前列腺切除术,,,
TVC,true vocal cord,声带,https://en.wikipedia.org/wiki/Vocal_cords,,
TVF,target vessel failure,目标船故障,,,
TVP,transvenous pacemaker,静脉起搏器,,,
TVR,Tricuspid Valve Replacement,三尖瓣置换,,,
TVUS,Transvaginal Ultrasound,经阴道超声,,,
TVV,Tricuspid Valve Valvuloplasty,三尖瓣瓣膜成形术,,,
TX,Tumor stage - Main tumor cannot be measured,肿瘤分期-无法测量主要肿瘤,https://www.cancer.gov/about-cancer/diagnosis-staging/staging,,
TZD,Thiazolidinediones,噻唑烷二酮类,https://en.wikipedia.org/wiki/Thiazolidinedione,,
Tdap,"tetanus, diptheria, and tetanus",破伤风，白喉和破伤风,,,
Tx,treatment,治疗,https://en.wikipedia.org/wiki/Treatment,,
t-EMG,triggered EMG,触发肌电图,,,
t-MeHa,tele‐methylhistamine,端甲基组胺,,,
tMax,temperature maximum,最高温度,,,
tPA,tissue plasminogen activator,组织纤溶酶原激活物,https://en.wikipedia.org/wiki/Tissue_plasminogen_activator,,
tPSA,total prostate specific antigen,总前列腺特异性抗原,,,
tSSS,transformed Symptom Severity Score,症状严重程度评分,,,
