Abbreviation,Meaning,Translation,Wikipedia,Subject,Verified
V/Q,ventilation/perfusion,通气/灌注,,,
VA,venoarterial,静脉动脉,,,
VA,ventricular arrhythmia,心律失常,https://en.wikipedia.org/wiki/Arrhythmia#Ventricular,,
VA,vertebral artery,椎动脉,https://en.wikipedia.org/wiki/Vertebral_artery,,
VA,visual acuity,视力,https://en.wikipedia.org/wiki/Visual_acuity,,
VAC,vacuum-assisted closure,真空辅助愈合,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3516930/,,Y
VAP,ventilator-associated pneumonia,呼吸机相关性肺炎,https://en.wikipedia.org/wiki/Ventilator-associated_pneumonia,,
VAS,Visual Analogue Scale,视觉模拟量表,,,
VATS,Video Assisted Thoracoscopy,电视胸腔镜,,,
VB-MAPP,Verbal Behavior Milestones Assessment and Placement Program,言语行为里程碑评估和安置计划,https://en.wikipedia.org/wiki/Verbal_Behavior_Milestones_Assessment_and_Placement_Program,,
VBAC,vaginal birth after a previous cesarean delivery,先前剖宫产后的阴道分娩,,,
VBG,venous blood gas,静脉血气,,,
VC,vital capacity,肺活量,https://en.wikipedia.org/wiki/Vital_capacity,,
VCD,vascular closure device,血管闭合装置,https://en.wikipedia.org/wiki/Vascular_closure_device,,
VD,vascular dementia,血管性失智症,https://en.wikipedia.org/wiki/Vascular_dementia,,
VD,venereal disease,性感染疾病,https://en.wikipedia.org/wiki/Sexually_transmitted_infection,,
VDRF,ventilator-dependent respiratory failure,呼吸机依赖性呼吸衰竭,,,
VDRL,Venereal Disease Research Laboratory (serological test for syphilis),性病研究实验室（梅毒血清学检测）,,,
VDZ,vedolizumab,维多珠单抗,https://en.wikipedia.org/wiki/Vedolizumab,,
VED,Vascular Ehlerse-Danlos Syndrome,血管性Ehlerse-Danlos综合征,,,
VEEG,video EEG,视频脑电图,,,
VEEV,Venezuelan equine encephalitis virus,委内瑞拉马脑炎病毒,https://en.wikipedia.org/wiki/Venezuelan_equine_encephalitis_virus,,
VEGF,vascular endothelial growth factor,血管内皮生长因子,https://en.wikipedia.org/wiki/Vascular_endothelial_growth_factor,,
VEO-IBD,Very Early Onset Inflammatory Bowel Disease,早发性炎症性肠病,,,
VF,ventricular fibrillation,心室颤动,https://en.wikipedia.org/wiki/Ventricular_fibrillation,,
VF,visual field,视野,https://en.wikipedia.org/wiki/Visual_field,,
VHD,valvular heart disease,瓣膜性心脏病,https://en.wikipedia.org/wiki/Valvular_heart_disease,,
VHL,von Hippel-Lindau syndrome,希佩尔-林道综合征,https://en.wikipedia.org/wiki/Von_Hippel%E2%80%93Lindau_disease,,
VIDISCA,Virus-Discovery-cDNA-AFLP,病毒发现cDNA-AFLP,,,
VMAT,volume modulated arc therapy,容积调制电弧疗法,,,
VMAT2,vesicular monoamine transporter,囊泡单胺转运蛋白,https://en.wikipedia.org/wiki/Vesicular_monoamine_transporter,,
VNS,vagus nerve stimulator,迷走神经刺激,https://en.wikipedia.org/wiki/Vagus_nerve_stimulation,,
VOC,vasoocclusive crisis,血管闭塞性危机,,,
VOGM,Vein of Galen malformation,盖伦畸形静脉,,,
VP,Ventriculo-Peritoneal,心室-腹膜,,,
VPB,ventricular premature beat,心室过早搏动,https://en.wikipedia.org/wiki/Premature_ventricular_contraction,,
VPC,ventricular premature complexes,室性早搏,https://en.wikipedia.org/wiki/Premature_ventricular_contraction,,
VRAS,Virginia Radiosurgery AVM Scale,弗吉尼亚放射外科AVM量表,,,
VRE,vancomycin-resistant enterococci,抗万古霉素肠球菌,https://en.wikipedia.org/wiki/Vancomycin-resistant_Enterococcus,,
VS,Vertiflex Superion,Vertiflex Superion,,,
VS,Vertiflex Superion,Vertiflex Superion,,,
VS,Vertiflex Superion,Vertiflex Superion,,,
VS,vascular surgery,血管外科,https://en.wikipedia.org/wiki/Vascular_surgery,,
VS,vital signs,生命体征,https://en.wikipedia.org/wiki/Vital_signs,,
VSD,ventricular septal defect,心室中隔缺损,https://en.wikipedia.org/wiki/Ventricular_septal_defect,,
VSS,Venous Sinus Stenting,静脉窦支架,,,
VSS,vital signs stable,生命体征稳定,,,
VT,ventricular tachycardia,心室性心搏过速,https://en.wikipedia.org/wiki/Ventricular_tachycardia,,
VT,vest therapy,背心疗法,,,
VTE,venous thromboembolism,静脉血栓栓塞,https://en.wikipedia.org/wiki/Venous_thrombosis,,
VV,venovenous,静脉,,,
VVC,vulvovaginal candidiasis,念珠菌性外阴阴道炎,https://en.wikipedia.org/wiki/Vaginal_yeast_infection,,
VVI,"ventricle paced, ventricle sensed, pacing is inhibited if beat is sensed",如果感觉到搏动，则心室起搏，感觉到心室，起搏被抑制,,,
VWF,von Willebrand factor,冯·威兰布兰德因子,https://en.wikipedia.org/wiki/Von_Willebrand_factor,,
VWF:Ag,von Willebrand antigen,von Willebrand抗原,,,
VWF:CB,von Willebrand collagen binding,von Willebrand胶原蛋白结合,,,
VWF:RCo,von Willebrand factor ristocetin cofactor,von Willebrand因子ristocetin辅因子,,,
VZV,Varicella-Zoster Virus,水痘带状疱疹病毒,,,
vIGA,Validated Investigator Global Assessment,经过验证的研究者全球评估,,,
