Abbreviation,Meaning,Translation,Wikipedia,Subject,Verified
WB,weight bearing,负重,https://en.wikipedia.org/wiki/Weight-bearing,,
WBAT,weight bearing as tolerated,承受重量,,,
WBC,white blood cells,白细胞,https://en.wikipedia.org/wiki/White_blood_cell,,
WBC,white blood count,白血球计数,,,
WBE,wastewater-based epidemiology,基于废水的流行病学,https://en.wikipedia.org/wiki/Wastewater-based_epidemiology,,
WBRT,whole-brain radiation therapy,全脑放射治疗,,,
WC,wheelchair,轮椅,https://en.wikipedia.org/wiki/Wheelchair,,
WCD,wearable cardioverter defibrillator,穿戴式心脏复律除颤器,https://en.wikipedia.org/wiki/Wearable_cardioverter_defibrillator,,
WD,wound dehiscence,伤口裂开,https://en.wikipedia.org/wiki/Wound_dehiscence,,
WDS,Word Discrimination Score,单词歧视分数,,,
WES,Whole Exome Sequencing,整个外显子组测序,,,
WGS,whole genome sequencing,全基因组测序,https://en.wikipedia.org/wiki/Whole_genome_sequencing,,
WHO,World Health Organization,世界卫生组织,https://en.wikipedia.org/wiki/World_Health_Organization,,
WIRB,Western Institutional Review Board,西方机构审查委员会,,,
WMA,wall motion abnormality,壁运动异常,,,
WMH,white matter hyperintensity,白质过高,https://en.wikipedia.org/wiki/Leukoaraiosis,,
WNL,within normal limits,在正常范围内,,,
WPW,Wolff-Parkinson-White,沃夫巴金森怀特症候群,https://en.wikipedia.org/wiki/Wolff%E2%80%93Parkinson%E2%80%93White_syndrome,,
WS,Williams Syndrome,威廉斯氏综合征,https://en.wikipedia.org/wiki/Williams_syndrome,,
WWTP,wastewater treatment plant,水污染控制,https://en.wikipedia.org/wiki/Wastewater_treatment#Types_of_treatment_plants,,
Wt,weight,重量,https://en.wikipedia.org/wiki/Weight,,
w/u,workup,检查,https://en.wikipedia.org/wiki/Workup,,
