Abbreviation,Meaning,Translation,Wikipedia,Verified
T,temperature,,https://en.wikipedia.org/wiki/Temperature,
T Bili,total bilirubin,,https://en.wikipedia.org/wiki/Bilirubin,
T&A,tonsillectomy and adenoidectomy,,https://en.wikipedia.org/wiki/T_%26_A,
T-PLL,T-Cell Prolymphocytic Leukemia,,https://en.wikipedia.org/wiki/T-cell_prolymphocytic_leukemia,
T1DM,type 1 Diabetes Mellitus,,https://en.wikipedia.org/wiki/Type_1_diabetes,
T2DM,type 2 Diabetes Mellitus,,https://en.wikipedia.org/wiki/Type_2_diabetes,
T3,Triiodothyronine,,https://en.wikipedia.org/wiki/Triiodothyronine,
T4,Thyroxine,,https://en.wikipedia.org/wiki/Thyroid_hormones,
TA,tibialis anterior,,https://en.wikipedia.org/wiki/Tibialis_anterior_muscle,
TAAA,Thoracoabdominal Aortic Aneurysm,,,
TAH,total abdominal hysterectomy,,https://en.wikipedia.org/wiki/Hysterectomy#Types_of_hysterectomy,
TALEN,transcription activator-like effector nuclease,,https://en.wikipedia.org/wiki/Transcription_activator-like_effector_nuclease,
TAVI,transcatheter aortic valve implantation,,https://en.wikipedia.org/wiki/Percutaneous_aortic_valve_replacement,
TAVR,transcatheter aortic valve replacement,,https://en.wikipedia.org/wiki/Percutaneous_aortic_valve_replacement,
TB,temporal bone,,https://en.wikipedia.org/wiki/Temporal_bone,
TB,tuberculosis,,https://en.wikipedia.org/wiki/Tuberculosis,
TBI,traumatic brain injury,,https://en.wikipedia.org/wiki/Traumatic_brain_injury,
TBS,tris buffered saline,,https://en.wikipedia.org/wiki/TBS,
TCA,tricyclic antidepressant,,https://en.wikipedia.org/wiki/Tricyclic_antidepressant,
TCAR,transcarotid artery revascularization,,https://en.wikipedia.org/wiki/TCAR,
TCC,Transitional Cell Carcinoma,,https://en.wikipedia.org/wiki/TCC,
TCR,T cell receptor,,https://en.wikipedia.org/wiki/T-cell_receptor,
TCS,template consensus sequence,,https://en.wikipedia.org/wiki/TCS,
TCT,thinnest corneal thickness,,https://en.wikipedia.org/wiki/TCT,
TEE,transesophageal echocardiogram,,https://en.wikipedia.org/wiki/Transesophageal_echocardiogram,
TEM,Effector memory T,,https://en.wikipedia.org/wiki/Tem,
TEM,Transanal Endoscopic Microsurgery,,https://en.wikipedia.org/wiki/Tem,
