Abbreviation,Meaning,Translation,Wikipedia,Verified
UA,urinalysis,,https://en.wikipedia.org/wiki/Clinical_urine_tests,
UAE,uterine artery embolization,,https://en.wikipedia.org/wiki/Uterine_artery_embolization,
UAS,Uniform Assessment System,,https://en.wikipedia.org/wiki/UAS,
UAS,upper airway stimulation,,https://en.wikipedia.org/wiki/UAS,
UC,ulcerative colitis,,https://en.wikipedia.org/wiki/Ulcerative_colitis,
UCVA,uncorrected visual acuity,,,
UCx,urine culture,,https://en.wikipedia.org/wiki/Bacteriuria#Diagnosis,
UDCA,Ursodeoxycholic Acid,,https://en.wikipedia.org/wiki/UDCA,
UDS,urine drug screen,,https://en.wikipedia.org/wiki/Drug_test#Urine_drug_screen,
UDVA,uncorrected distance visual acuity,,,
UE,unplanned extubation,,https://en.wikipedia.org/wiki/Unplanned_extubation,
UF,ultrafiltration,,https://en.wikipedia.org/wiki/Ultrafiltration,
UFE,uterine fibroid embolization,,https://en.wikipedia.org/wiki/Uterine_artery_embolization,
UGI,upper gastrointestinal,,https://en.wikipedia.org/wiki/Ugi,
ULN,upper limits of normal,,https://en.wikipedia.org/wiki/ULN,
UM,uveal melanoma,,https://en.wikipedia.org/wiki/Uveal_melanoma,
UNE,ulnar neuropathy at the elbow,,https://en.wikipedia.org/wiki/UNE,
UNOS,United Network for Organ Sharing,,https://en.wikipedia.org/wiki/United_Network_for_Organ_Sharing,
UO,urinary output,,https://en.wikipedia.org/wiki/Urination,
UPD,uniparental disomy,,https://en.wikipedia.org/wiki/Uniparental_disomy,
UPF,uvulopalatal flap,,https://en.wikipedia.org/wiki/UPF,
UPJ,Ureteropelvic Junction,,https://en.wikipedia.org/wiki/UPJ,
UPPP,uvulopalatopharyngoplasty,,https://en.wikipedia.org/wiki/Uvulopalatopharyngoplasty,
URI,upper respiratory infection,,https://en.wikipedia.org/wiki/Upper_respiratory_tract_infection,
US,ultrasound,,https://en.wikipedia.org/wiki/Ultrasound,
USOH,usual state of health,,,
USPSTF,US Preventive Services Task Force,,https://en.wikipedia.org/wiki/United_States_Preventive_Services_Task_Force,
UST,ustekinumab,,https://en.wikipedia.org/wiki/Ustekinumab,
UTI,urinary tract infection,,https://en.wikipedia.org/wiki/Urinary_tract_infection,
UV,ultraviolet,,https://en.wikipedia.org/wiki/Ultraviolet,
uSAID,undifferentiated Systemic Autoinflammatory Disease,,https://en.wikipedia.org/wiki/United_States_Agency_for_International_Development,
uSAID,undifferentiated Systemic Autoinflammatory Disease,,https://en.wikipedia.org/wiki/United_States_Agency_for_International_Development,
upE,region upstream of the E gene,,,
