Abbreviation,Meaning,Translation,More
V/Q,ventilation/perfusion,,
VA,ventricular arrhythmia,,
VA,visual acuity,,
VA,vertebral artery,,
VA,venoarterial,,
VAC,vacuum-assisted closure,,
VAP,ventilator-associated pneumonia,,
VAS,Visual Analogue Scale,,
VATS,Video Assisted Thoracoscopy,,
VB-MAPP,Verbal Behavior Milestones Assessment and Placement Program,,
VBAC,vaginal birth after a previous cesarean delivery,,
VBG,venous blood gas,,
VC,vital capacity,,
VCD,vascular closure device,,
VD,vascular dementia,,
VD,venereal disease,,
VDRF,ventilator-dependent respiratory failure,,
VDRL,Venereal Disease Research Laboratory (serological test for syphilis),,
VDZ,vedolizumab,,
VED,Vascular Ehlerse-Danlos Syndrome,,
VEEG,video EEG,,
VEEV,Venezuelan equine encephalitis virus,,
VEGF,vascular endothelial growth factor,,
VEO-IBD,Very Early Onset Inflammatory Bowel Disease,,
VF,visual field,,
VF,ventricular fibrillation,,https://en.wikipedia.org/wiki/Ventricular_fibrillation
VHL,von Hippel-Lindau syndrome,,
VIDISCA,Virus-Discovery-cDNA-AFLP,,
vIGA,Validated Investigator Global Assessment,,
VMAT,volume modulated arc therapy,,
VMAT2,vesicular monoamine transporter,,
VNS,vagus nerve stimulator,,
VOC,vasoocclusive crisis,,
VOGM,Vein of Galen malformation,,
VP,Ventriculo-Peritoneal,,
VPB,ventricular premature beat,,
VPC,ventricular premature complexes,,
VRAS,Virginia Radiosurgery AVM Scale,,
VRE,vancomycin-resistant enterococci,,
VS,Vertiflex Superion,,
VS,Vertiflex Superion,,
VS,Vertiflex Superion,,
VS,vascular surgery,,
VS,vital signs,,
VSD,ventricular septal defect,,
VSS,Venous Sinus Stenting,,
VSS,vital signs stable,,
VT,vest therapy,,
VT,ventricular tachycardia,,
VTE,venous thromboembolism,,
VV,venovenous,,
VVC,vulvovaginal candidiasis,,
VVI,"ventricle paced, ventricle sensed, pacing is inhibited if beat is sensed",,
VWF,von Willebrand factor,,
VWF:Ag,von Willebrand antigen,,
VWF:CB,von Willebrand collagen binding,,
VWF:RCo,von Willebrand factor ristocetin cofactor,,
VZV,Varicella-Zoster Virus,,
