Abbreviation,Meaning,Translation,More
WB,weight bearing,,https://en.wikipedia.org/wiki/Weight-bearing
WBAT,weight bearing as tolerated,,https://en.wikipedia.org/wiki/WBAT
WBC,white blood cells,,https://en.wikipedia.org/wiki/White_blood_cell
WBC,white blood count,,https://en.wikipedia.org/wiki/WBC
WBE,wastewater-based epidemiology,,https://en.wikipedia.org/wiki/Wastewater-based_epidemiology
WBRT,whole-brain radiation therapy,,https://en.wikipedia.org/wiki/WBRT
WC,wheelchair,,https://en.wikipedia.org/wiki/Wheelchair
WCD,wearable cardioverter defibrillator,,https://en.wikipedia.org/wiki/Wearable_cardioverter_defibrillator
WDS,Word Discrimination Score,,https://en.wikipedia.org/wiki/WDS
WES,Whole Exome Sequencing,,https://en.wikipedia.org/wiki/Wes
WGS,whole genome sequencing,,https://en.wikipedia.org/wiki/Whole_genome_sequencing
WHO,World Health Organization,,https://en.wikipedia.org/wiki/World_Health_Organization
WMA,wall motion abnormality,,https://en.wikipedia.org/wiki/WMA
WMH,white matter hyperintensity,,https://en.wikipedia.org/wiki/Leukoaraiosis
WNL,within normal limits,,https://en.wikipedia.org/wiki/WNL
WPW,Wolff-Parkinson-White,,https://en.wikipedia.org/wiki/Wolff%E2%80%93Parkinson%E2%80%93White_syndrome
WS,Williams Syndrome,,https://en.wikipedia.org/wiki/Williams_syndrome
WWTP,wastewater treatment plant,,https://en.wikipedia.org/wiki/Wastewater_treatment#Types_of_treatment_plants
Wt,weight,,https://en.wikipedia.org/wiki/Weight
w/u,workup,,https://en.wikipedia.org/wiki/Workup
